feature,importance_mean,importance_std
Feature_2,0.05627080049045367,0.0015076952688540019
Feature_1,0.05345178665265373,0.0013724925062116105
Center_2_y,0.03457807847258717,0.00023800074665338597
Nose_2_y,0.021071444210895074,0.004634330557180998
Ear_right_2_y,0.01448644683832547,0.0028785284646372293
M1_smallest_euclidean_distance_hull_sum_15,0.012967463653879852,7.384577839396226e-05
Centroid_distance_mean_5,0.011588062708004923,0.006671459055716486
Tail_end_2_x,0.011478586442459268,0.0031446164019003635
M1_largest_euclidean_distance_hull_mean_15,0.010219609388684566,0.0020099369799927618
Mouse_2_Ear_distance,0.009327377824487651,0.0005909817404227225
Mouse_1_poly_area_deviation,0.009294534944823962,0.002263072617333667
Ear_right_2_x,0.009059160973900878,0.0028695601429006186
M2_largest_euclidean_distance_hull_sum_15,0.008823787002977776,0.0007719338312407059
Mouse_1_poly_area_sum_2,0.0081477710632335,0.005809482612863554
Mouse_1_poly_area_mean_5,0.008021873357856054,0.00043509068902693946
Total_angle_both_mice_mean_15,0.007693444561219139,0.0034025088599424465
Mouse_1_poly_area_median_6,0.006834055876685952,0.005004087827905508
Ear_left_2_y,0.006639735505342452,0.002241404559256206
M2_mean_euclidean_distance_hull_median_8,0.006114249430723417,0.0018122745108958872
M1_smallest_euclidean_distance_hull_mean_15,0.006034879138202813,0.0017035743407035528
Mouse_1_poly_area_sum_15,0.006026668418286936,0.0039132386445754
M2_mean_euclidean_distance_hull_deviation,0.005955508845682245,0.0008231585125100333
Mouse_2_Nose_to_lat_right,0.005854243300052557,0.00037614298788336766
Center_2_x,0.005547709756524781,0.0023123962061034832
Lat_right_1_y,0.0053807584515677504,0.0018539547796521426
M1_smallest_euclidean_distance_hull_mean_8,0.005372547731651763,0.0006446446475962137
M2_largest_euclidean_distance_hull_median_8,0.0049291688561919345,0.0011286944576103667
Centroid_distance_deviation,0.004611687686109663,0.001601298562114299
Sum_euclidean_distance_hull_M1_M2_deviation_6,0.0045980031529164744,0.0006448770022200556
M1_smallest_euclidean_distance_hull_median_15,0.004447473287791233,0.0024223834824211796
M1_smallest_euclidean_distance_hull_sum_2,0.004176519530565766,0.0018567163340340897
Total_movement_all_bodyparts_both_mice_median_5,0.0040615694517428524,0.00025230063663713565
M2_mean_euclidean_distance_hull_mean_5,0.004001357505692786,0.0009307816699007929
Total_movement_centroids_median_8,0.00399862059905413,0.0023855309079510827
M1_smallest_euclidean_distance_hull_median_8,0.0037221930285514238,0.00257973740753465
Nose_to_nose_distance,0.0036674548957786324,0.00155594526500233
Movement_mouse_2_tail_end_median_8,0.0036373489227535436,0.0006373056215748653
Centroid_distance,0.0034977666841828534,0.0011835594457645564
Movement_mouse_1_tail_end_median_6,0.003311657032755285,0.0004342807684329855
Total_movement_all_bodyparts_both_mice_sum_15,0.0032541819933438556,0.0011965197412040158
