re_tech,re_cf,lcoe_re,electricity_cost,electrolyzer_capex,electrolyzer_om,water_cost,infrastructure,ammonia_conversion,storage,port_handling,shipping,cracking,lcoh_production,total_delivered,hex_id,lat,lon,country,scenario
PV,0.6634,0.012236,0.6274,0.6318,0.2107,0.0316,0.0425,0.4609,0.0002,0.0453,0.6209,0.6559,1.544,3.3273,hex_000,-19.71252741732844,21.42667018270944,Namibia,Optimistic (4%)
PV,0.8468,0.009586,0.4915,0.6318,0.2107,0.0307,0.0462,0.457,0.0002,0.0453,0.6209,0.6559,1.411,3.1903,hex_001,-23.73345872297537,24.54513625407894,Botswana,Optimistic (4%)
PV,0.5817,0.013955,0.7156,0.6318,0.2107,0.0287,0.0075,0.4635,0.0002,0.0453,0.6209,0.6559,1.5943,3.3801,hex_002,-18.69682496106341,15.561555013934129,Namibia,Optimistic (4%)
PV,0.7165,0.011329,0.5809,0.6318,0.2107,0.0322,0.029,0.4596,0.0002,0.0453,0.6209,0.6559,1.4847,3.2666,hex_003,-20.631583651287634,16.186435884488162,Namibia,Optimistic (4%)
PV,0.7663,0.010594,0.5432,0.6318,0.2107,0.0316,0.0057,0.4585,0.0002,0.0453,0.6209,0.6559,1.423,3.2038,hex_004,-27.86987182534821,17.57378135786131,Namibia,Optimistic (4%)
PV,0.8086,0.010039,0.5148,0.6318,0.2107,0.0317,0.0349,0.4576,0.0002,0.0453,0.6209,0.6559,1.4239,3.2039,hex_005,-17.292531780358928,13.65259902718,Namibia,Optimistic (4%)
PV,0.8211,0.009886,0.5069,0.6318,0.2107,0.0272,0.0165,0.4574,0.0002,0.0453,0.6209,0.6559,1.3932,3.173,hex_006,-19.866323576115764,12.818901074696605,Namibia,Optimistic (4%)
PV,0.8293,0.009788,0.5019,0.6318,0.2107,0.0272,0.0299,0.4573,0.0002,0.0453,0.6209,0.6559,1.4015,3.1812,hex_007,-19.567228336676557,17.65986896716307,Namibia,Optimistic (4%)
PV,0.7151,0.011351,0.5821,0.6318,0.2107,0.033,0.0322,0.4596,0.0002,0.0453,0.6209,0.6559,1.4898,3.2717,hex_008,-27.46263640789345,14.176730886712376,Namibia,Optimistic (4%)
PV,0.7038,0.011535,0.5915,0.6318,0.2107,0.0297,0.0401,0.4599,0.0002,0.0453,0.6209,0.6559,1.5038,3.286,hex_009,-23.5953687452532,20.377395925555145,Botswana,Optimistic (4%)
PV,0.8358,0.009712,0.498,0.6318,0.2107,0.029,0.0073,0.4572,0.0002,0.0453,0.6209,0.6559,1.3768,3.1563,hex_010,-24.550423709209024,17.12012686421263,Namibia,Optimistic (4%)
PV,0.7309,0.011107,0.5695,0.6318,0.2107,0.0302,0.0506,0.4593,0.0002,0.0453,0.6209,0.6559,1.4929,3.2744,hex_011,-17.878820133816777,22.657494744809725,Namibia,Optimistic (4%)
PV,0.6224,0.013042,0.6687,0.6318,0.2107,0.0315,0.0176,0.4622,0.0002,0.0453,0.6209,0.6559,1.5603,3.3448,hex_012,-21.273618559032023,20.803711428031487,Namibia,Optimistic (4%)
PV,0.6367,0.01275,0.6538,0.6318,0.2107,0.0333,0.0066,0.4617,0.0002,0.0453,0.6209,0.6559,1.5361,3.3202,hex_013,-19.12686064075004,15.373132979348576,Namibia,Optimistic (4%)
PV,0.6581,0.012336,0.6325,0.6318,0.2107,0.0291,0.0313,0.4611,0.0002,0.0453,0.6209,0.6559,1.5354,3.3188,hex_014,-23.67902961407203,22.651637219532816,Botswana,Optimistic (4%)
PV,0.7997,0.010151,0.5205,0.6318,0.2107,0.0329,0.0164,0.4578,0.0002,0.0453,0.6209,0.6559,1.4122,3.1924,hex_015,-26.27313533858268,22.266701004955227,Botswana,Optimistic (4%)
PV,0.7642,0.010622,0.5447,0.6318,0.2107,0.0266,0.0474,0.4585,0.0002,0.0453,0.6209,0.6559,1.4612,3.242,hex_016,-22.344982555809985,16.42469730642244,Namibia,Optimistic (4%)
PV,0.819,0.009911,0.5082,0.6318,0.2107,0.0306,0.0404,0.4575,0.0002,0.0453,0.6209,0.6559,1.4217,3.2015,hex_017,-28.23419292674989,15.036593455023418,South Africa,Optimistic (4%)
PV,0.7073,0.011477,0.5885,0.6318,0.2107,0.0312,0.0238,0.4598,0.0002,0.0453,0.6209,0.6559,1.486,3.2682,hex_018,-19.06842593608901,20.554937055649656,Namibia,Optimistic (4%)
PV,0.7659,0.010599,0.5435,0.6318,0.2107,0.0271,0.0414,0.4585,0.0002,0.0453,0.6209,0.6559,1.4545,3.2353,hex_019,-21.420027210535224,12.956534770530338,Namibia,Optimistic (4%)
PV,0.8126,0.00999,0.5123,0.6318,0.2107,0.0273,0.0189,0.4576,0.0002,0.0453,0.6209,0.6559,1.401,3.1809,hex_020,-19.902947118975515,13.798714834651516,Namibia,Optimistic (4%)
PV,0.7191,0.011289,0.5789,0.6318,0.2107,0.0298,0.0283,0.4595,0.0002,0.0453,0.6209,0.6559,1.4795,3.2614,hex_021,-24.74568838244158,11.103071776514078,Namibia,Optimistic (4%)
PV,0.7957,0.010202,0.5231,0.6318,0.2107,0.0331,0.0232,0.4579,0.0002,0.0453,0.6209,0.6559,1.422,3.2022,hex_022,-17.35162370726116,22.016941285029937,Namibia,Optimistic (4%)
PV,0.6838,0.011871,0.6087,0.6318,0.2107,0.031,0.0469,0.4604,0.0002,0.0453,0.6209,0.6559,1.5291,3.3118,hex_023,-18.282546544133627,20.30791199228845,Namibia,Optimistic (4%)
PV,0.7137,0.011374,0.5832,0.6318,0.2107,0.033,0.0135,0.4597,0.0002,0.0453,0.6209,0.6559,1.4723,3.2542,hex_024,-19.659398035114855,20.87231530076869,Namibia,Optimistic (4%)
PV,0.7118,0.011404,0.5848,0.6318,0.2107,0.0322,0.0059,0.4597,0.0002,0.0453,0.6209,0.6559,1.4654,3.2474,hex_025,-26.66433550577639,21.93020643430755,Botswana,Optimistic (4%)
PV,0.6304,0.012877,0.6603,0.6318,0.2107,0.0303,0.023,0.4619,0.0002,0.0453,0.6209,0.6559,1.556,3.3402,hex_026,-23.39934795527559,17.42482085753676,Namibia,Optimistic (4%)
PV,0.7987,0.010164,0.5212,0.6318,0.2107,0.032,0.0486,0.4578,0.0002,0.0453,0.6209,0.6559,1.4443,3.2244,hex_027,-28.47435481055325,18.962376743340517,Botswana,Optimistic (4%)
