hex_id,lat,lon,country,re_tech,re_cf,lcoh_production,total_delivered
hex_010,-24.550423709209024,17.12012686421263,Namibia,PV,0.8358,1.7563,3.8134
hex_006,-19.866323576115764,12.818901074696605,Namibia,PV,0.8211,1.78,3.8375
hex_020,-19.902947118975515,13.798714834651516,Namibia,PV,0.8126,1.791,3.8488
hex_007,-19.567228336676557,17.65986896716307,Namibia,PV,0.8293,1.7919,3.8492
hex_015,-26.27313533858268,22.266701004955227,Botswana,PV,0.7997,1.8039,3.8619
hex_001,-23.73345872297537,24.54513625407894,Botswana,PV,0.8468,1.8054,3.8622
hex_022,-17.35162370726116,22.016941285029937,Namibia,PV,0.7957,1.8188,3.877
hex_017,-28.23419292674989,15.036593455023418,South Africa,PV,0.819,1.8197,3.8772
hex_004,-27.86987182534821,17.57378135786131,Namibia,PV,0.7663,1.8186,3.8776
hex_005,-17.292531780358928,13.65259902718,Namibia,PV,0.8086,1.822,3.8798
