sample_id,constant_feature,composition_descriptor,x_sq,x_cu,sin_x,cos_x,graph_nodes,graph_edges,avg_degree,target_property
0,5,-2.0,4.0,-8.0,-0.9092974268256817,-0.4161468365471424,5,10,4.0,-1.2345
1,5,-1.5,2.25,-3.375,-0.9974949866040544,0.0707372016677029,5,10,4.0,-0.8765
2,5,-1.0,1.0,-1.0,-0.8414709848078965,0.5403023058681398,5,10,4.0,0.1234
3,5,-0.5,0.25,-0.125,-0.479425538604203,0.8775825618903728,5,10,4.0,-0.5678
4,5,0.0,0.0,0.0,0.0,1.0,5,10,4.0,0.9876
5,5,0.5,0.25,0.125,0.479425538604203,0.8775825618903728,5,10,4.0,-0.3456
6,5,1.0,1.0,1.0,0.8414709848078965,0.5403023058681398,5,10,4.0,0.6543
7,5,1.5,2.25,3.375,0.9974949866040544,0.0707372016677029,5,10,4.0,-0.789
8,5,2.0,4.0,8.0,0.9092974268256817,-0.4161468365471424,5,10,4.0,0.4321
9,5,-1.8,3.24,-5.832000000000001,-0.9738476308781951,-0.2272020946930871,5,10,4.0,-0.2109
10,5,-1.3,1.6900000000000002,-2.197,-0.963558185417193,0.26749882862458735,5,10,4.0,0.8765
11,5,-0.8,0.6400000000000001,-0.5120000000000001,-0.7173560908995228,0.6967067093471654,5,10,4.0,-0.5432
12,5,-0.3,0.09,-0.026999999999999996,-0.29552020666133955,0.955336489125606,5,10,4.0,0.321
13,5,0.2,0.04000000000000001,0.008000000000000002,0.19866933079506122,0.9800665778412416,5,10,4.0,-0.0987
14,5,0.7,0.48999999999999994,0.3429999999999999,0.644217687237691,0.7648421872844885,5,10,4.0,0.7654
15,5,1.2,1.44,1.7279999999999998,0.9320390859672263,0.3623577544766736,5,10,4.0,-0.4567
16,5,1.7,2.8899999999999997,4.912999999999999,0.9916648104524686,-0.12884449429552464,5,10,4.0,0.2345
17,5,2.2,4.840000000000001,10.648000000000003,0.8084964038195901,-0.5885011172553458,5,10,4.0,-0.6789
18,5,-1.6,2.5600000000000005,-4.096000000000001,-0.9995736030415051,-0.029199522301288815,5,10,4.0,0.9012
19,5,-1.1,1.2100000000000002,-1.3310000000000004,-0.8912073600614354,0.4535961214255773,5,10,4.0,-0.3456
20,5,-0.6,0.36,-0.21599999999999997,-0.5646424733950354,0.8253356149096783,5,10,4.0,0.5678
21,5,-0.1,0.010000000000000002,-0.0010000000000000002,-0.09983341664682815,0.9950041652780258,5,10,4.0,-0.1234
22,5,0.4,0.16000000000000003,0.06400000000000002,0.3894183423086505,0.9210609940028851,5,10,4.0,0.789
23,5,0.9,0.81,0.7290000000000001,0.7833269096274834,0.6216099682706644,5,10,4.0,-0.4567
24,5,1.4,1.9599999999999997,2.7439999999999993,0.9854497299884601,0.16996714290024104,5,10,4.0,0.2345
25,5,1.9,3.61,6.858999999999999,0.9463000876874145,-0.32328956686350335,5,10,4.0,-0.6789
26,5,2.4,5.76,13.823999999999998,0.675463180551151,-0.7373937155412454,5,10,4.0,0.9012
27,5,-1.4,1.9599999999999997,-2.7439999999999993,-0.9854497299884601,0.16996714290024104,5,10,4.0,-0.3456
28,5,-0.9,0.81,-0.7290000000000001,-0.7833269096274834,0.6216099682706644,5,10,4.0,0.5678
29,5,-0.4,0.16000000000000003,-0.06400000000000002,-0.3894183423086505,0.9210609940028851,5,10,4.0,-0.1234
30,5,0.1,0.010000000000000002,0.0010000000000000002,0.09983341664682815,0.9950041652780258,5,10,4.0,0.789
31,5,0.6,0.36,0.21599999999999997,0.5646424733950354,0.8253356149096783,5,10,4.0,-0.4567
32,5,1.1,1.2100000000000002,1.3310000000000004,0.8912073600614354,0.4535961214255773,5,10,4.0,0.2345
33,5,1.6,2.5600000000000005,4.096000000000001,0.9995736030415051,-0.029199522301288815,5,10,4.0,-0.6789
34,5,2.1,4.41,9.261000000000001,0.8632093666488737,-0.5048461045998576,5,10,4.0,0.9012
35,5,2.6,6.760000000000001,17.576,0.5155013718214642,-0.8568887533689473,5,10,4.0,-0.3456
36,5,-1.2,1.44,-1.7279999999999998,-0.9320390859672263,0.3623577544766736,5,10,4.0,0.5678
37,5,-0.7,0.48999999999999994,-0.3429999999999999,-0.644217687237691,0.7648421872844885,5,10,4.0,-0.1234
38,5,-0.2,0.04000000000000001,-0.008000000000000002,-0.19866933079506122,0.9800665778412416,5,10,4.0,0.789
39,5,0.3,0.09,0.026999999999999996,0.29552020666133955,0.955336489125606,5,10,4.0,-0.4567
40,5,0.8,0.6400000000000001,0.5120000000000001,0.7173560908995228,0.6967067093471654,5,10,4.0,0.2345
41,5,1.3,1.6900000000000002,2.197,0.963558185417193,0.26749882862458735,5,10,4.0,-0.6789
42,5,1.8,3.24,5.832000000000001,0.9738476308781951,-0.2272020946930871,5,10,4.0,0.9012
43,5,2.3,5.289999999999999,12.166999999999998,0.7457052121767203,-0.6662760212798241,5,10,4.0,-0.3456
44,5,2.8,7.839999999999999,21.951999999999995,0.3349881501559051,-0.9422223406686581,5,10,4.0,0.5678
45,5,-1.0,1.0,-1.0,-0.8414709848078965,0.5403023058681398,5,10,4.0,-0.1234
46,5,-0.5,0.25,-0.125,-0.479425538604203,0.8775825618903728,5,10,4.0,0.789
47,5,0.0,0.0,0.0,0.0,1.0,5,10,4.0,-0.4567
48,5,0.5,0.25,0.125,0.479425538604203,0.8775825618903728,5,10,4.0,0.2345
49,5,1.0,1.0,1.0,0.8414709848078965,0.5403023058681398,5,10,4.0,-0.6789
50,5,1.5,2.25,3.375,0.9974949866040544,0.0707372016677029,5,10,4.0,0.9012
51,5,2.0,4.0,8.0,0.9092974268256817,-0.4161468365471424,5,10,4.0,-0.3456
52,5,2.5,6.25,15.625,0.5984721441039565,-0.8011436155469337,5,10,4.0,0.5678
53,5,3.0,9.0,27.0,0.1411200080598672,-0.9899924966004454,5,10,4.0,-0.1234
54,5,-0.8,0.6400000000000001,-0.5120000000000001,-0.7173560908995228,0.6967067093471654,5,10,4.0,0.789
55,5,-0.3,0.09,-0.026999999999999996,-0.29552020666133955,0.955336489125606,5,10,4.0,-0.4567
56,5,0.2,0.04000000000000001,0.008000000000000002,0.19866933079506122,0.9800665778412416,5,10,4.0,0.2345
57,5,0.7,0.48999999999999994,0.3429999999999999,0.644217687237691,0.7648421872844885,5,10,4.0,-0.6789
58,5,1.2,1.44,1.7279999999999998,0.9320390859672263,0.3623577544766736,5,10,4.0,0.9012
