iteration,temperature_C,time_h,predicted_yield
0,350.0,20.0,81.99736383660003
1,350.2962108819337,19.892726108480208,82.0954672402624
2,350.5878180438608,19.796449197175697,82.18161735243238
3,350.87489270968746,19.7100172229104,82.25793813742857
4,351.15750504100527,19.632403698995525,82.32613803397032
5,351.43572415034737,19.5626930558509,82.38759392897835
6,351.70961811442737,19.50006789247531,82.44341769627574
7,351.9792539873514,19.443797840726035,82.49450903979185
8,352.2446978137953,19.393229810953596,82.54159754625911
9,352.5060146421379,19.34777942548457,82.58527621280884
10,352.76326853754307,19.306923477445967,82.6260282224372
