snapshot,MW
2025-01-06 00:00:00,17687.57680132617
2025-01-06 01:00:00,13216.902766082207
2025-01-06 02:00:00,13866.389562012262
2025-01-06 03:00:00,14744.65477034876
2025-01-06 04:00:00,11551.224967250217
2025-01-06 05:00:00,13520.890317889785
2025-01-06 06:00:00,10783.540447836114
2025-01-06 07:00:00,13470.712232480491
2025-01-06 08:00:00,16362.799946054374
2025-01-06 09:00:00,16910.299689731713
2025-01-06 10:00:00,8658.521860640716
2025-01-06 11:00:00,10421.042863333803
2025-01-06 12:00:00,9911.695519309027
2025-01-06 13:00:00,10727.603536680235
2025-01-06 14:00:00,10319.017456093785
2025-01-06 15:00:00,12359.333488555478
2025-01-06 16:00:00,7833.802566025831
2025-01-06 17:00:00,11510.958637937396
2025-01-06 18:00:00,7425.650971006817
2025-01-06 19:00:00,8843.563546390867
2025-01-06 20:00:00,9505.922633997001
2025-01-06 21:00:00,7543.9424066414795
2025-01-06 22:00:00,12798.429937136667
2025-01-06 23:00:00,13244.045213132904
2025-01-07 00:00:00,11452.13685541146
2025-01-07 01:00:00,13726.483319096113
2025-01-07 02:00:00,16305.133800563299
2025-01-07 03:00:00,13353.930180125742
2025-01-07 04:00:00,10534.511425094199
2025-01-07 05:00:00,13908.729159373881
2025-01-07 06:00:00,14876.235542002203
2025-01-07 07:00:00,15708.978357531138
2025-01-07 08:00:00,17422.01247885694
2025-01-07 09:00:00,16063.20756383533
2025-01-07 10:00:00,14619.837623028194
2025-01-07 11:00:00,10805.517148575818
2025-01-07 12:00:00,9862.027614765288
2025-01-07 13:00:00,13268.910078206405
2025-01-07 14:00:00,15760.293197614046
2025-01-07 15:00:00,16331.704461273719
2025-01-07 16:00:00,20085.379112691047
2025-01-07 17:00:00,14296.753276529114
2025-01-07 18:00:00,15880.350501738736
2025-01-07 19:00:00,16398.208436007488
2025-01-07 20:00:00,14577.224991798621
2025-01-07 21:00:00,10063.436556615252
2025-01-07 22:00:00,13558.761130408135
2025-01-07 23:00:00,15656.44313464773
2025-01-08 00:00:00,12904.718655791774
2025-01-08 01:00:00,14345.871688633388
2025-01-08 02:00:00,12818.08511741327
2025-01-08 03:00:00,10713.869275067449
2025-01-08 04:00:00,14263.648245745873
2025-01-08 05:00:00,11774.898390696126
2025-01-08 06:00:00,12089.39854711057
2025-01-08 07:00:00,15184.936357870136
2025-01-08 08:00:00,13849.257062778355
2025-01-08 09:00:00,12067.674027050387
2025-01-08 10:00:00,11809.993416511807
2025-01-08 11:00:00,7745.958511198953
2025-01-08 12:00:00,14081.45003270236
2025-01-08 13:00:00,13109.88583309689
2025-01-08 14:00:00,13746.29468951185
2025-01-08 15:00:00,6819.678768114409
2025-01-08 16:00:00,10269.222045940012
2025-01-08 17:00:00,10069.464214540356
2025-01-08 18:00:00,14529.971539628441
2025-01-08 19:00:00,17462.979315300123
2025-01-08 20:00:00,9599.119548651626
2025-01-08 21:00:00,13274.805986668569
2025-01-08 22:00:00,14902.031975064234
2025-01-08 23:00:00,12558.553206572235
2025-01-09 00:00:00,13512.002588581265
2025-01-09 01:00:00,14243.80425026872
2025-01-09 02:00:00,12917.667830923161
2025-01-09 03:00:00,13977.308181483595
2025-01-09 04:00:00,13419.79682690898
2025-01-09 05:00:00,13337.039623484998
2025-01-09 06:00:00,14323.294422841922
2025-01-09 07:00:00,18023.218665199394
2025-01-09 08:00:00,19416.96929836273
