snapshot,MW
2025-01-06 00:00:00,31393.639490586527
2025-01-06 01:00:00,24573.38821480868
2025-01-06 02:00:00,25397.3640175938
2025-01-06 03:00:00,26657.92950350785
2025-01-06 04:00:00,21962.50464485813
2025-01-06 05:00:00,25105.751844760183
2025-01-06 06:00:00,21153.047465720443
2025-01-06 07:00:00,25198.79770815757
2025-01-06 08:00:00,29415.527262660617
2025-01-06 09:00:00,30084.198319780873
2025-01-06 10:00:00,17651.08944120037
2025-01-06 11:00:00,20390.201474532747
2025-01-06 12:00:00,19810.337604777982
2025-01-06 13:00:00,21176.76319776529
2025-01-06 14:00:00,20565.21174729357
2025-01-06 15:00:00,23492.734620975694
2025-01-06 16:00:00,16545.42214437441
2025-01-06 17:00:00,22003.107830274475
2025-01-06 18:00:00,15967.15509853572
2025-01-06 19:00:00,18269.82984096534
2025-01-06 20:00:00,19391.79354120872
2025-01-06 21:00:00,16433.640965927938
2025-01-06 22:00:00,24168.56979121716
2025-01-06 23:00:00,24669.64074434585
2025-01-07 00:00:00,21919.46118484914
2025-01-07 01:00:00,25418.181986413787
2025-01-07 02:00:00,29452.40428723245
2025-01-07 03:00:00,25139.146358003927
2025-01-07 04:00:00,20878.19533363559
2025-01-07 05:00:00,25779.3296278989
2025-01-07 06:00:00,27055.796399402316
2025-01-07 07:00:00,28239.472117468824
2025-01-07 08:00:00,30892.74699969097
2025-01-07 09:00:00,29012.83181902582
2025-01-07 10:00:00,26948.502467867984
2025-01-07 11:00:00,21181.183167273026
2025-01-07 12:00:00,19595.522353462624
2025-01-07 13:00:00,24527.121102243833
2025-01-07 14:00:00,28199.303656691267
2025-01-07 15:00:00,29140.417296827225
2025-01-07 16:00:00,34925.18379916615
2025-01-07 17:00:00,26334.39524120391
2025-01-07 18:00:00,28654.614353575565
2025-01-07 19:00:00,29255.79186889537
2025-01-07 20:00:00,26346.892899746555
2025-01-07 21:00:00,19517.07869537913
2025-01-07 22:00:00,24849.451834579595
2025-01-07 23:00:00,28151.29214952825
2025-01-08 00:00:00,24112.521916228685
2025-01-08 01:00:00,26215.209677936873
2025-01-08 02:00:00,23748.37345942547
2025-01-08 03:00:00,20421.5273761953
2025-01-08 04:00:00,25698.189363749654
2025-01-08 05:00:00,22064.896406121075
2025-01-08 06:00:00,22697.861809393537
2025-01-08 07:00:00,27431.42427398279
2025-01-08 08:00:00,25369.79678254189
