snapshot,Bus1_onshore_wind,Bus2_onshore_wind,Bus3_onshore_wind,Bus4_onshore_wind,Bus5_onshore_wind,Bus6_onshore_wind,Bus7_onshore_wind,Bus8_onshore_wind,Bus9_onshore_wind,Bus10_onshore_wind,Bus11_onshore_wind,Bus12_onshore_wind,Bus13_onshore_wind,Bus14_onshore_wind,Bus15_onshore_wind,Bus16_onshore_wind,Bus17_onshore_wind,Bus18_onshore_wind,Bus19_onshore_wind,Bus20_onshore_wind,Bus1_gas,Bus2_gas,Bus3_gas,Bus4_gas,Bus5_gas,Bus6_gas,Bus7_gas,Bus8_gas,Bus9_gas,Bus10_gas,Bus11_gas,Bus12_gas,Bus13_gas,Bus14_gas,Bus15_gas,Bus16_gas,Bus17_gas,Bus18_gas,Bus19_gas,Bus20_gas,Bus2_nuclear,Bus8_nuclear,Bus14_nuclear
0,1539.4587208165533,1594.1372803082108,3001.4477718028,2794.3704899162863,-0.0,169.52386500871512,45.022957363922046,184.11182327862872,187.69245898326994,133.38919047321565,265.9862734032509,70.79234419979474,51.199028077785705,306.0139130117445,211.25681631083322,89.92944841754215,203.42309783896584,223.95658839851197,25.0,202.3900184317736,-0.0,-0.0,-0.0,-0.0,-0.0,571.3480415791242,370.4621124873813,701.0984903770199,337.2753218398854,793.4434683002587,686.1223846483288,399.3578407670862,302.7610585618012,707.7307142274171,653.4286719238086,664.5035840204937,685.6351733429728,337.0223258670452,479.23286427213634,357.93452976256486,-0.0,1200.0,1200.0
1,1655.4168888124723,1913.924589312584,3338.305625152081,1719.7746321421691,155.17927668701714,59.377792672980895,177.7420408320272,306.94917852131636,153.83048312119556,39.0231183115952,307.816349973504,81.7611218461919,71.81539062960145,135.60770791968835,236.16075629854623,166.40073363544326,142.71934372070254,272.12128942442087,25.0,197.62374740164896,-0.0,-0.0,-0.0,-0.0,-0.0,571.3480415791242,370.4621124873813,701.0984903770199,337.2753218398854,793.4434683002587,686.1223846483288,399.3578407670862,302.7610585618012,707.7307142274171,653.4286719238086,664.5035840204937,685.6351733429728,337.0223258670452,479.23286427213634,357.93452976256486,-0.0,1200.0,1200.0
2,2004.2322081253894,2169.0854192374277,3834.2811682202046,-0.0,-0.0,110.8096327483694,106.94426271391035,307.88085359519556,157.88681460582725,125.5681471694795,219.24390577184914,67.43561325723326,125.35519604999934,299.86560117490546,91.87371916373691,101.2640899842884,227.3628475019122,160.251100521862,66.8230666193058,224.39743384939533,-0.0,-0.0,-0.0,-0.0,-0.0,571.3480415791242,370.4621124873813,701.0984903770199,337.2753218398854,793.4434683002587,686.1223846483288,399.3578407670862,302.7610585618012,707.7307142274171,653.4286719238086,664.5035840204937,685.6351733429728,337.0223258670452,479.23286427213634,357.93452976256486,-0.0,1200.0,1200.0
3,2072.0681880379725,2500.6936037272894,3361.6377207757687,-0.0,-0.0,66.1630762781292,158.7278167970586,193.64611374333936,61.39383898362155,53.09794294893625,216.52256677068223,123.8283475122518,162.96160137745065,227.8480152920858,90.90780816724644,107.8282091103293,204.28754129230626,191.37030858770055,94.382458899369,254.1589850933864,-0.0,-0.0,-0.0,-0.0,-0.0,571.3480415791242,370.4621124873813,701.0984903770199,337.2753218398854,793.4434683002587,686.1223846483288,399.3578407670862,302.7610585618012,707.7307142274171,653.4286719238086,664.5035840204937,685.6351733429728,337.0223258670452,479.23286427213634,357.93452976256486,-0.0,1200.0,1200.0
4,1900.6075448895137,2070.5074111433196,4042.6864661052987,569.0667258442431,-0.0,82.1719449866707,150.3242474445089,245.49199597579886,25.0,154.94254326439625,227.26890645884228,193.6094824662095,105.06355519984395,179.67437114111627,176.7467991596081,92.81886208606944,307.2909592335805,151.56977788389818,80.42793467097675,227.26406883691536,-0.0,-0.0,-0.0,-0.0,-0.0,571.3480415791242,370.4621124873813,701.0984903770199,337.2753218398854,793.4434683002587,686.1223846483288,399.3578407670862,302.7610585618012,707.7307142274171,653.4286719238086,664.5035840204937,685.6351733429728,337.0223258670452,479.23286427213634,357.93452976256486,-0.0,1200.0,1200.0
5,1585.9910562360737,1798.8362285351059,3430.924334051512,1590.5949280883092,724.4154614263789,141.1278067693105,187.729606713546,292.6644076767347,160.21564369619335,140.94845873619525,278.9952855468121,209.823712447276,99.6531186926712,158.3945205059849,129.0648966035651,164.990587904172,301.60271570145744,200.2641824551172,150.0895432676179,222.58643513444116,-0.0,-0.0,-0.0,-0.0,-0.0,571.3480415791242,370.4621124873813,701.0984903770199,337.2753218398854,793.4434683002587,686.1223846483288,399.3578407670862,302.7610585618012,707.7307142274171,653.4286719238086,664.5035840204937,685.6351733429728,337.0223258670452,479.23286427213634,357.93452976256486,-0.0,1200.0,1200.0
6,1226.2877620693757,1538.6568416860448,3036.131014663394,1249.365830678651,2277.3568532680265,84.87628793751335,178.61223030915767,185.1054188489084,64.09957329655624,73.24776555264765,170.06597759861685,122.6059052087857,132.94499015155606,214.057377956621,133.47048593010274,168.0169849119428,201.4468471276869,88.66162062968564,25.0,175.95392026151242,-0.0,-0.0,-0.0,-0.0,-0.0,571.3480415791242,370.4621124873813,701.0984903770199,337.2753218398854,793.4434683002587,686.1223846483288,399.3578407670862,302.7610585618012,707.7307142274171,653.4286719238086,664.5035840204937,685.6351733429728,337.0223258670452,479.23286427213634,357.93452976256486,-0.0,1200.0,1200.0
7,1189.1856709407996,1456.449418242397,4076.645859854281,1196.0076316071927,928.7770797276903,77.44748122608725,120.9551145183292,185.47788705767914,64.3536702326573,223.42462441923274,222.3825375038092,109.53068885352255,174.121085086108,266.53724265235104,114.32968128903576,92.1230916461672,217.2911162047125,151.56027570020285,112.05094786511854,187.63907430729105,-0.0,-0.0,-0.0,-0.0,-0.0,571.3480415791242,370.4621124873813,701.0984903770199,337.2753218398854,793.4434683002587,686.1223846483288,399.3578407670862,302.7610585618012,707.7307142274171,653.4286719238086,664.5035840204937,685.6351733429728,337.0223258670452,479.23286427213634,357.93452976256486,-0.0,1200.0,1200.0
8,1377.0170500896688,1778.7480298437688,3207.5115592299935,1488.7401305672777,1339.0318229236289,25.0,244.45807337878568,157.13583090848047,141.61940054666735,139.29804350102435,251.88756263486616,25.0,83.1444259947244,209.42590904476853,109.4299048342202,68.25919588433985,219.53981236527358,95.0887291702772,25.0,284.1737146167069,-0.0,-0.0,-0.0,-0.0,-0.0,571.3480415791242,370.4621124873813,701.0984903770199,337.2753218398854,793.4434683002587,686.1223846483288,399.3578407670862,302.7610585618012,707.7307142274171,653.4286719238086,664.5035840204937,685.6351733429728,337.0223258670452,479.23286427213634,357.93452976256486,-0.0,1200.0,1200.0
9,1771.0915175437246,1962.624823196489,3461.446444468202,1720.9465493851103,78.8563585360098,117.09099650465619,178.48766364975648,125.2262190344405,103.02628848419396,145.76658135702564,219.64496918812347,49.47491495070085,51.683885422170356,285.2221777225194,25.0,135.2438134868718,197.4027935366531,93.14903442033271,162.64537570608925,296.54884766063344,-0.0,-0.0,-0.0,-0.0,-0.0,571.3480415791242,370.4621124873813,701.0984903770199,337.2753218398854,793.4434683002587,686.1223846483288,399.3578407670862,302.7610585618012,707.7307142274171,653.4286719238086,664.5035840204937,685.6351733429728,337.0223258670452,479.23286427213634,357.93452976256486,-0.0,1200.0,1200.0
