,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
rep0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rep9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
