repetition,cell_id,p_response_agg
0,0,0.9533046170448187
0,1,0.8746194779889327
0,2,0.8857469526640969
0,3,0.9685089795224825
0,4,0.9715636687427724
0,5,0.8698586144096958
0,6,0.9735535627753173
0,7,0.9512520084918703
0,8,0.9414363465518377
0,9,0.9500142860382192
0,10,0.9125250075093427
0,11,0.9648934339989115
0,12,0.9696405817285357
0,13,0.9728820817940629
0,14,0.9841315106684443
0,15,0.9999999810167266
0,16,0.9125250075093427
0,17,0.9362306900870943
0,18,0.8589469146966197
0,19,0.9816386082513873
0,20,0.9529822944504978
0,21,0.9435658911925329
0,22,0.9328165512105014
0,23,0.9614395752087935
0,24,0.9343937528984139
0,25,0.9872490369435849
0,26,0.9437788819140508
0,27,0.9723535673379079
0,28,0.9404932101326374
0,29,0.9773316246962631
0,30,0.9383033249613197
0,31,0.9672118157890952
0,32,0.9915948225695075
0,33,0.9544504995529518
0,34,0.9710742152772737
0,35,0.9539331296711949
0,36,0.9676166145734846
0,37,0.9492208622085844
0,38,0.984434868889356
0,39,0.9375178698706403
0,40,0.9466697474108927
0,41,0.9710742152772737
0,42,0.9790155526620219
0,43,0.7796046533913953
0,44,0.9600114117243498
0,45,0.9756158367157813
0,46,0.9535121436311922
0,47,0.9785734961309925
0,48,0.9622107766866195
0,49,0.9437660611710315
0,50,0.9166904989462347
0,51,0.972334963193722
0,52,0.9228615868118627
0,53,0.879498762903439
0,54,0.961738403849166
0,55,0.9335887927444265
0,56,0.9806474958233302
0,57,0.9453530408876826
0,58,0.8871317964935895
0,59,0.9862258152463733
0,60,0.9741734153523967
0,61,0.9654419729955986
0,62,1.9899802980782866e-05
0,63,0.8606883382868344
0,64,0.956262498287485
0,65,0.9583452369766909
0,66,0.9679669535643002
0,67,0.947093021964253
0,68,0.9644626916836188
0,69,0.9606362412420477
0,70,0.9297076065333194
0,71,0.9688977636871219
0,72,0.9640102629540823
0,73,0.9741851806337252
0,74,0.9746947202868461
0,75,0.9848202863103547
0,76,0.9780583984434804
