scenario,country,n_sites,min_delivered,median_delivered,competitive_sites,competitive_share
baseline_2030,Angola,1,4.818425598120961,4.818425598120961,0,0.0
baseline_2030,Botswana,5,4.550332240452783,5.3699259958558825,0,0.0
baseline_2030,Namibia,23,4.770936978005153,5.08514041979401,0,0.0
baseline_2030,South Africa,1,5.415671501398439,5.415671501398439,0,0.0
derisked_africa,Angola,1,4.5094535841595595,4.5094535841595595,0,0.0
derisked_africa,Botswana,5,4.251707306763703,4.953206439689484,0,0.0
derisked_africa,Namibia,23,4.434776690219535,4.717708528533829,0,0.0
derisked_africa,South Africa,1,4.983584869008869,4.983584869008869,0,0.0
derisking_plus_policy,Angola,1,3.7594535841595595,3.7594535841595595,0,0.0
derisking_plus_policy,Botswana,5,3.501707306763703,4.203206439689484,0,0.0
derisking_plus_policy,Namibia,23,3.684776690219535,3.967708528533829,0,0.0
derisking_plus_policy,South Africa,1,4.233584869008869,4.233584869008869,0,0.0
eu_import_policy_credit,Angola,1,4.068425598120961,4.068425598120961,0,0.0
eu_import_policy_credit,Botswana,5,3.800332240452783,4.6199259958558825,0,0.0
eu_import_policy_credit,Namibia,23,4.020936978005153,4.33514041979401,0,0.0
eu_import_policy_credit,South Africa,1,4.665671501398439,4.665671501398439,0,0.0
high_africa_risk,Angola,1,5.363618130966536,5.363618130966536,0,0.0
high_africa_risk,Botswana,5,5.077291123469208,6.024678846187531,0,0.0
high_africa_risk,Namibia,23,5.284321062986901,5.726287347638109,0,0.0
high_africa_risk,South Africa,1,6.17799675658936,6.17799675658936,0,0.0
high_global_rates,Angola,1,5.507602204361118,5.507602204361118,0,0.0
high_global_rates,Botswana,5,5.2164622401614436,6.197617019213439,0,0.0
high_global_rates,Namibia,23,5.419906784753704,5.898299567756488,0,0.0
high_global_rates,South Africa,1,6.379309283758277,6.379309283758277,0,0.0
