,hex_id,lat,lon,theo_pv,theo_wind,grid_dist_km,road_dist_km,ocean_dist_km,waterbody_dist_km,country
count,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30
unique,30,,,,,,,,,4
top,hex_000,,,,,,,,,Namibia
freq,1,,,,,,,,,23
mean,,-22.290335092158653,17.72671932102079,0.7370909847323384,0.5072368701976243,110.50578190815716,64.60290523167042,216.06799380232118,157.3288148709508,
std,,3.5508205761541967,3.780035240760345,0.07132500820919285,0.11963632352464645,66.37900463888374,37.57095763961018,135.90432335074993,91.7538507627306,
min,,-28.47435481055325,11.103071776514078,0.5817130228384195,0.2909019365211477,10.294959570680955,5.452094184965394,16.13196659160868,10.261851273211382,
25%,,-24.69687221413344,14.391696528790137,0.7032360296681816,0.41101254642288654,52.698717333031304,32.21158940236904,90.76635492065695,70.3257721623393,
50%,,-21.346822884783624,17.499301107699033,0.7249674567699074,0.5091647024673855,122.08462265498213,66.9788724693667,202.36776131673156,172.60641110328976,
75%,,-19.59027076128613,20.85516433258439,0.7994613678236718,0.603889685593847,147.91799659436435,98.79203552825943,346.9109598450189,233.12898343581764,
max,,-17.292531780358928,24.54513625407894,0.8468278354591481,0.7448842446679098,239.8470072441541,119.0926921226446,437.6036274668256,290.0384140822386,
