africa_wacc,best_delivered_eur_kg,median_delivered_eur_kg,best_production_eur_kg
0.03,3.982926989999945,4.385491314658521,1.339835799098155
0.034999999999999996,4.034063667742149,4.445758946572287,1.3884771835117529
0.04,4.086545656071694,4.5082219190808335,1.4383941371930313
0.045,4.140338298214402,4.576542108398657,1.4895538785419307
0.05,4.195404955414623,4.646479430686735,1.5419217675329402
0.055,4.251707306763703,4.717985233893986,1.5954615864102233
0.06,4.309205646190438,4.791009113811214,1.6501358177208116
0.065,4.367859172812075,4.865499281755827,1.705905916156603
0.07,4.427626271304171,4.941402919618511,1.7627325710990478
0.075,4.488464779439695,5.018666518667883,1.82057595721427
0.08,4.550332240452783,5.096053032051259,1.8793959709131847
0.08499999999999999,4.613186138384972,5.1716587706934,1.9391524509562243
0.09,4.676984115056767,5.2483993709994134,1.9998053819319725
0.095,4.741684167764353,5.326224359949629,2.061315079763116
0.1,4.807244827220768,5.405083907036905,2.1236423587831452
0.105,4.87362531563748,5.484929013710316,2.1867486802775944
0.11,4.940785685171509,5.56571167929825,2.250596282690529
0.115,5.008686937244126,5.647385044014876,2.3151482939589934
0.12,5.077291123469208,5.729903509932031,2.3803688266551295
0.125,5.1465614291146755,5.815064366575773,2.4462230567892695
0.13,5.2164622401614436,5.901529004184198,2.5126772872597525
0.135,5.286959195124914,5.988731216326946,2.5796989970301127
0.14,5.3580192228681085,6.076630029755927,2.6472568771751956
0.14500000000000002,5.429610567667631,6.165186103816646,2.7153208549688332
0.15,5.5017028027984685,6.254361747170123,2.783862107191338
