Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,pred_kpa,unc_kpa,nearest_train_l2,score,estimated_gt_1mpa,matches_published_ranked_candidate
0.0,0.5,0.0,0.05,0.45,0.0,196.94900488197118,72.63641271511439,0.019423570476849672,180.09089388172634,False,False
0.0,0.5,0.0,0.1,0.4,0.0,188.5134517673081,73.74113618998473,0.06917986252789253,165.46364102596405,False,False
0.0,0.6,0.0,0.05,0.35,0.0,189.5755324859521,72.15189627056692,0.08822054134242668,164.55868827074752,False,False
0.0,0.55,0.0,0.1,0.35,0.0,187.81747273810817,71.08474100694313,0.07605510974542827,164.47391136726816,False,False
0.0,0.45,0.0,0.1,0.45,0.0,181.186881174092,76.38609249332389,0.05252108779197258,159.60713214039052,False,False
0.0,0.5,0.05,0.05,0.4,0.0,182.22644086364068,80.37534628627299,0.07652400012080146,156.96849159188992,False,False
0.0,0.55,0.05,0.05,0.35,0.0,179.5377239722139,78.08407100658695,0.07611601944173452,154.78698743788837,False,False
0.0,0.45,0.05,0.05,0.45,0.0,175.26944093148856,82.45608888485248,0.061875147498510294,151.35320545469682,False,False
0.0,0.6,0.0,0.1,0.3,0.0,177.57793401654786,68.25824664975582,0.12142386848783067,149.35542046805702,False,False
0.0,0.5,0.0,0.15,0.35,0.0,177.64149733359037,74.8143173138647,0.11741335325263241,148.58903148050155,False,False
0.0,0.6,0.0,0.15,0.25,0.0,169.52018067631082,63.57837377062469,0.08599979570991567,146.484530436996,False,False
0.0,0.5,0.05,0.1,0.35,0.0,172.15622886348095,77.13838252573606,0.09378253685677744,145.47464793552044,False,False
0.0,0.65,0.0,0.05,0.3,0.0,177.5273212664881,72.5961866103495,0.14745250094492018,145.31378383102776,False,False
0.0,0.45,0.0,0.15,0.4,0.0,172.24086746408906,78.22546922890868,0.11030431973481843,143.3592552501291,False,False
0.0,0.45,0.05,0.1,0.4,0.0,168.80116948527197,79.29654383333691,0.09075853771007644,142.0508361933954,False,False
0.0,0.6,0.0,0.0,0.4,0.0,172.05194962696788,89.08441338774335,0.10402870753283266,141.75162204547928,False,False
0.0,0.55,0.05,0.1,0.3,0.0,168.00112791643573,72.21689896137502,0.11293600107783916,140.00542799482002,False,False
0.0,0.6,0.0,0.2,0.2,0.0,162.3986040089596,60.52184142907371,0.09183745365100876,139.2737412850238,False,False
0.0,0.6,0.05,0.05,0.3,0.0,167.22577348837066,74.85607302440512,0.12146202919355237,137.67911538026334,False,False
0.05,0.5,0.0,0.1,0.35,0.0,164.44606606261962,80.02334236362314,0.09378253685677744,137.1874931670817,False,False
0.0,0.7,0.0,0.15,0.15,0.0,159.9562544645419,55.84098362580252,0.10229024026569612,136.51322890749788,False,False
0.0,0.5,0.1,0.05,0.35,0.0,166.59433627359323,83.99669039300935,0.1174922674756011,135.69592609791923,False,False
0.0,0.45,0.1,0.05,0.4,0.0,166.45166602017784,84.93640361286653,0.11961263053031516,135.11086963396673,False,False
0.05,0.45,0.0,0.1,0.4,0.0,161.9846575411054,81.48938664709925,0.09075853771007644,134.79575568647638,False,False
0.0,0.7,0.0,0.05,0.25,0.0,170.81984145859482,72.0283490584424,0.18210437428421491,134.56164673280054,False,False
0.0,0.7,0.0,0.1,0.2,0.0,165.55358953376322,61.7708679028848,0.15556399379162064,134.53173669819176,False,False
0.0,0.6,0.05,0.1,0.25,0.0,160.9806139344827,66.1396827796903,0.11108578236150862,134.4223834951636,False,False
0.0,0.7,0.0,0.2,0.1,0.0,148.76610146462104,49.482313390442506,0.03786973500722997,134.32527058566492,False,False
0.0,0.55,0.05,0.15,0.25,0.0,159.05883785727562,68.30184344422928,0.09724727197828921,133.72879653103504,False,False
0.0,0.6,0.05,0.15,0.2,0.0,155.71964054677136,59.65907353050608,0.09153253013995849,132.8039222238751,False,False
0.0,0.65,0.0,0.0,0.35,0.0,166.9763115694996,87.81428359988733,0.14064618057776226,132.53591318019065,False,False
0.05,0.6,0.0,0.05,0.3,0.0,162.23323793639298,76.18785870523212,0.12146202919355237,132.42022269212026,False,False
0.0,0.5,0.05,0.0,0.45,0.0,159.97278104249054,93.76222312235328,0.08029535668505035,131.58489361581385,False,False
