method,frame,TP,FP,FN,IDSW,mean_iou,n_pred,n_gt
SparseTrack-inspired,0,44,0,156,0,0.8387662485989644,44,200
SparseTrack-inspired,1,60,0,140,0,0.8437682499173568,60,200
SparseTrack-inspired,2,71,0,129,14,0.8443172257687107,71,200
SparseTrack-inspired,3,74,0,126,26,0.8385617588593316,74,200
SparseTrack-inspired,4,68,0,132,34,0.8463352940724886,68,200
SparseTrack-inspired,5,73,0,127,44,0.8441860215280895,73,200
SparseTrack-inspired,6,82,0,118,46,0.8313163653963023,82,200
SparseTrack-inspired,7,82,0,118,48,0.8387304174143929,82,200
SparseTrack-inspired,8,83,0,117,47,0.8305936205128259,83,200
SparseTrack-inspired,9,86,0,114,64,0.8241200832579462,86,200
SparseTrack-inspired,10,76,0,124,57,0.8448695183067331,76,200
SparseTrack-inspired,11,70,0,130,59,0.8361853530850414,70,200
SparseTrack-inspired,12,78,0,122,64,0.8420935792771382,78,200
SparseTrack-inspired,13,72,0,128,57,0.8204212938137158,72,200
SparseTrack-inspired,14,74,0,126,57,0.8364481772889092,74,200
SparseTrack-inspired,15,68,0,132,53,0.8343930625147465,68,200
SparseTrack-inspired,16,67,0,133,53,0.8304453689480533,67,200
SparseTrack-inspired,17,66,1,134,50,0.8338376214562817,67,200
SparseTrack-inspired,18,71,0,129,58,0.8376110746466888,71,200
SparseTrack-inspired,19,68,0,132,52,0.8304859335227449,68,200
SparseTrack-inspired,20,78,0,122,66,0.8462034730094027,78,200
SparseTrack-inspired,21,72,0,128,54,0.8299911588548345,72,200
SparseTrack-inspired,22,69,1,131,52,0.8471828865761442,70,200
SparseTrack-inspired,23,70,0,130,55,0.8380760531238673,70,200
SparseTrack-inspired,24,71,0,129,57,0.8340926875121772,71,200
SparseTrack-inspired,25,67,0,133,47,0.8333022472613527,67,200
SparseTrack-inspired,26,61,0,139,47,0.8276308368577688,61,200
SparseTrack-inspired,27,64,0,136,52,0.843323142028522,64,200
SparseTrack-inspired,28,59,0,141,44,0.8188011198597781,59,200
SparseTrack-inspired,29,70,0,130,55,0.8316235916401028,70,200
SparseTrack-inspired,30,80,0,120,50,0.8513577282600331,80,200
SparseTrack-inspired,31,78,0,122,52,0.8352696045003294,78,200
SparseTrack-inspired,32,75,1,125,50,0.8256174339980338,76,200
SparseTrack-inspired,33,78,0,122,48,0.8351340660327187,78,200
SparseTrack-inspired,34,84,0,116,59,0.8398692458503887,84,200
SparseTrack-inspired,35,81,0,119,57,0.8423955439145787,81,200
SparseTrack-inspired,36,77,0,123,57,0.8360139012219596,77,200
SparseTrack-inspired,37,71,0,129,54,0.835905722707922,71,200
SparseTrack-inspired,38,73,1,127,55,0.8467282600571515,74,200
SparseTrack-inspired,39,76,1,124,55,0.8224511052752724,77,200
SparseTrack-inspired,40,74,0,126,58,0.8449469886231487,74,200
SparseTrack-inspired,41,76,0,124,62,0.8279966169257756,76,200
SparseTrack-inspired,42,72,0,128,56,0.844750401469091,72,200
SparseTrack-inspired,43,72,0,128,57,0.8231995299785988,72,200
SparseTrack-inspired,44,67,0,133,53,0.8303840672705678,67,200
SparseTrack-inspired,45,68,0,132,51,0.8414373924220091,68,200
SparseTrack-inspired,46,73,0,127,52,0.8304077730233992,73,200
