rep,mean_p_response,std_p_response,median_p_response,min_p_response,max_p_response,n_cells,coverage_50,coverage_80,coverage_90,coverage_95
0,0.9426851051143266,0.10132445477665264,0.961974518019542,1.7999838891502584e-05,0.9999999810166904,100,0.99,0.98,0.9,0.67
1,0.9321466295897786,0.10190330970320836,0.948915887213367,1.7999838891502584e-05,0.9999999765375406,100,0.99,0.98,0.88,0.44
2,0.8927035099236038,0.0880166845495228,0.9102584353546734,0.1479439762004031,0.9999999834325788,100,0.99,0.96,0.6,0.09
3,0.9260332978362632,0.08925658215713662,0.9465919295128284,0.1735682478069135,0.9999999954865018,100,0.99,0.97,0.82,0.45
4,0.9764399539697292,0.026508406927738235,0.9851990856136397,0.8377150029201976,0.999999998265884,100,1.0,1.0,0.97,0.88
5,0.9372315856376983,0.13934205444863,0.9635603180074399,1.7999838891502584e-05,0.9999999969254016,100,0.98,0.97,0.95,0.69
6,0.9669038206238555,0.045045864921142674,0.9758442156458653,0.568395800465879,0.9999999982516012,100,1.0,0.99,0.99,0.82
7,0.9726328255454676,0.01946638943619843,0.9777007034796884,0.91850005231169,0.9999999941058088,100,1.0,1.0,1.0,0.83
8,0.9141367089439814,0.12701602645126558,0.9403493830339884,1.7999838891502584e-05,0.999999993931855,100,0.98,0.96,0.78,0.37
9,0.9665568629318829,0.05033231116792967,0.9759426859200078,0.5144453787044814,0.9999999935532284,100,1.0,0.99,0.98,0.82
