entity,Electricity [kW],Heat [mmBTU],Cooling Energy [Ton],PV Power Generation [kW],Greenhouse Gas Emission [Ton]
BN001,52.018,10.996,21.504,3.439,31.889
BN002,53.973,12.02,22.978,2.553,33.912
BN003,56.023,13.004,24.51,2.864,35.383
BN004,58.017,13.995,25.986,3.517,36.645
BN005,59.957,15.0,27.524,4.847,37.56
BN006,61.956,15.994,29.0,4.899,39.127
BN007,64.036,16.994,30.501,4.143,41.145
BN008,65.931,18.021,31.984,4.779,42.379
BN009,68.008,19.001,33.526,5.825,43.497
BN010,70.041,20.006,34.953,4.467,45.78
