ML,n,max,mean,median
RFR-GP,10,321.18895966029726,185.47770700636943,167.98301486199574
GP-GP-2rd-ei,9,281.6135881104034,217.3720217032319,239.26397735314933
old-SM-GP,10,269.10120311394195,195.24416135881103,202.94409058740268
GP-RFR,10,254.04104741684358,103.73389950460015,88.69072894550601
GP-GP-3rd-ei,10,250.98372257607926,175.45081387119603,212.7388535031847
GP-GP,10,248.54918612880397,160.43595187544233,167.0488322717622
RFR-GP-3rd-ei,9,229.69568294409058,128.64669340253204,117.310686482661
RFR-GP-2rd-ei,10,221.20311394196744,94.49398443029017,93.38995046001415
CLMin,5,198.21656050955414,137.02476999292284,123.42533616418967
RFR-RFR,10,182.9865534324133,101.58811040339702,104.37367303609342
LP_df,10,153.82873319179052,118.61854210898795,116.06510969568295
CLMax,5,145.84571832979475,130.3326256192498,128.29440905874026
ENU-GP,5,136.10757254069355,106.39490445859872,114.93276716206653
ENU-RFR,5,122.12314225053079,113.30219391365888,111.76220806794055
