cell_type,group
Am,wide-field/modulatory
C2,wide-field/modulatory
C3,wide-field/modulatory
CT1(Lo1),wide-field/modulatory
CT1(M10),wide-field/modulatory
L1,lamina
L2,lamina
L3,lamina
L4,lamina
L5,lamina
Lawf1,lamina
Lawf2,lamina
Mi1,medulla/intermediate
Mi10,medulla/intermediate
Mi11,medulla/intermediate
Mi12,medulla/intermediate
Mi13,medulla/intermediate
Mi14,medulla/intermediate
Mi15,medulla/intermediate
Mi2,medulla/intermediate
Mi3,medulla/intermediate
Mi4,medulla/intermediate
Mi9,medulla/intermediate
R1,photoreceptor/retina
R2,photoreceptor/retina
R3,photoreceptor/retina
R4,photoreceptor/retina
R5,photoreceptor/retina
R6,photoreceptor/retina
R7,photoreceptor/retina
R8,photoreceptor/retina
T1,medulla/intermediate
T2,medulla/intermediate
T2a,medulla/intermediate
T3,medulla/intermediate
T4a,ON motion output (T4)
T4b,ON motion output (T4)
T4c,ON motion output (T4)
T4d,ON motion output (T4)
T5a,OFF motion output (T5)
T5b,OFF motion output (T5)
T5c,OFF motion output (T5)
T5d,OFF motion output (T5)
Tm1,medulla/intermediate
Tm16,medulla/intermediate
Tm2,medulla/intermediate
Tm20,medulla/intermediate
Tm28,medulla/intermediate
Tm3,medulla/intermediate
Tm30,medulla/intermediate
Tm4,medulla/intermediate
Tm5Y,medulla/intermediate
Tm5a,medulla/intermediate
Tm5b,medulla/intermediate
Tm5c,medulla/intermediate
Tm9,medulla/intermediate
TmY10,medulla/intermediate
TmY13,medulla/intermediate
TmY14,medulla/intermediate
TmY15,medulla/intermediate
TmY18,medulla/intermediate
TmY3,medulla/intermediate
TmY4,medulla/intermediate
TmY5a,medulla/intermediate
TmY9,medulla/intermediate
