n_eff_m^-2,D_s_conv,D_s_geom,D_s_exp_hole,D_s_exp_electron,ratio_hole_over_conv,ratio_geom_over_conv
500000000000000.0,1146423680.0,4913244330.0,38560434300.0,36632412600.0,33.635413305489294,4.285714274499284
591836735000000.0,1246965640.0,5346281590.0,42426582100.0,40305252900.0,34.02385818746377,4.287432964071087
683673469000000.0,1340397780.0,5746277900.0,45242323800.0,42980207600.0,33.752908632838825,4.286994492038028
775510204000000.0,1427821720.0,6119235970.0,49380853200.0,46911800500.0,34.58474717697949,4.285714304724262
867346939000000.0,1510026340.0,6469685590.0,51970402000.0,49371881900.0,34.416884410109034,4.284485256065136
959183673000000.0,1587609490.0,6801040470.0,55795644800.0,53005862500.0,35.14443895141997,4.283824525387537
1051020410000000.0,1661033850.0,7115996370.0,59034137700.0,56082430800.0,35.540598826447756,4.28407667309128
1142857140000000.0,1730665290.0,7416699260.0,63289136500.0,60124679700.0,36.56925279873152,4.285461378843508
1234693880000000.0,1796799610.0,7704855340.0,66653475900.0,63320802100.0,37.0956647191169,4.2880994058096435
1326530610000000.0,1859679410.0,7981823180.0,70528009100.0,67001608600.0,37.92482119270224,4.292042562325299
1418367350000000.0,1919504260.0,8248661410.0,73896121100.0,70201315000.0,38.49750304800053,4.29728736835416
1510204080000000.0,1976439910.0,8506185460.0,78618366300.0,74687448000.0,39.77776703567982,4.303791588584143
1602040820000000.0,2030624130.0,8755031980.0,81473180000.0,77399521000.0,40.12223571872949,4.311498051586731
1693877550000000.0,2082171480.0,8995692580.0,85970919700.0,81672373700.0,41.28906793978371,4.32034184811714
1785714290000000.0,2131177270.0,9228547930.0,89416655200.0,84945822400.0,41.956460618595095,4.330258237973793
1877551020000000.0,2177720570.0,9453887900.0,94249295000.0,89536820300.0,43.27887438745183,4.341185012547317
1969387760000000.0,2221866330.0,9671926980.0,97690438600.0,92805916700.0,43.967738869331534,4.353064290775764
2061224490000000.0,2263667300.0,9882814860.0,102049782000.0,96947294300.0,45.08161689661727,4.365842480474052
2153061220000000.0,2303165900.0,10086648200.0,106107094000.0,100801739000.0,46.07010463293157,4.3794709708058805
2244897960000000.0,2340395890.0,10283112200.0,110086450000.0,104582127000.0,47.03753346618635,4.393749042175937
2336734690000000.0,2375383760.0,10472364600.0,114387728000.0,108668342000.0,48.15547278137491,4.408704301320979
2428571430000000.0,2408150000.0,10654643500.0,118191820000.0,112282229000.0,49.0799244233125,4.424410231920769
2520408160000000.0,2438710160.0,10830185000.0,122351351000.0,116233784000.0,50.1705175985325,4.440947996870608
2612244900000000.0,2467075820.0,10999222500.0,126525799000.0,120199509000.0,51.28573592034962,4.458404727909822
2704081630000000.0,2493255360.0,11161985700.0,130167348000.0,123658981000.0,52.20778829489812,4.4768722366248115
2795918370000000.0,2517254660.0,11318700400.0,134355941000.0,127638144000.0,53.373996336151386,4.496446299159895
2887755100000000.0,2539077650.0,11469587500.0,137852551000.0,130959923000.0,54.29237305916973,4.517225969831998
2979591840000000.0,2558726780.0,11614863000.0,142465133000.0,135341876000.0,55.678134185159074,4.5393134940339355
3071428570000000.0,2576203480.0,11754737500.0,145881941000.0,138587844000.0,56.62671529346743,4.562814075540337
3163265310000000.0,2592508470.0,11889415900.0,150437589000.0,142915709000.0,58.027810030645725,4.586066366834281
3255102040000000.0,2607642110.0,12019097500.0,154495487000.0,146750713000.0,59.24719746146452,4.609182162654982
3346938780000000.0,2621604640.0,12143976300.0,158821246000.0,150880184000.0,60.58169244009272,4.632268388112099
3438775510000000.0,2634396400.0,12264240600.0,163023454000.0,154872282000.0,61.88265896506691,4.655427178688826
3530612240000000.0,2646018000.0,12380073500.0,167471364000.0,159097796000.0,63.29184608721483,4.678756342549446
3622448980000000.0,2656470440.0,12491652500.0,171755524000.0,163167748000.0,64.6555374431345,4.702349520591691
3714285710000000.0,2665755220.0,12599150400.0,175901845000.0,167106753000.0,65.98574530785314,4.72629681280339
3806122450000000.0,2673874350.0,12702734600.0,180239352000.0,171247384000.0,67.40756236357927,4.750684937757079
3897959180000000.0,2680830380.0,12802567900.0,184604118000.0,175373912000.0,68.86079752647387,4.775597887696274
3989795920000000.0,2686626400.0,12898808000.0,188613997000.0,179183298000.0,70.2047731683125,4.8011171184798895
4081632650000000.0,2691266010.0,12991607900.0,192878937000.0,183234991000.0,71.66847732008476,4.827322104811185
4173469390000000.0,2694753310.0,13081116000.0,196996621000.0,187146790000.0,73.10376807738294,4.854290725409666
4265306120000000.0,2697092890.0,13167476100.0,201188574000.0,191129146000.0,74.59460322851542,4.882099592795264
4357142860000000.0,2698289810.0,13250827600.0,205285732000.0,195021445000.0,76.07994190957568,4.910824460327336
4448979590000000.0,2698349570.0,13331305400.0,209374636000.0,198905904000.0,77.5935921452905,4.940540524554793
4540816330000000.0,2697278100.0,13409040400.0,213632989000.0,202951340000.0,79.20317485987077,4.971322905116828
4632653060000000.0,2695081740.0,13484159300.0,217696229000.0,206811417000.0,80.77537158483364,5.003246877402687
4724489800000000.0,2691767220.0,13556784700.0,221767737000.0,210679350000.0,82.38741275703624,5.036388213390904
4816326530000000.0,2687341650.0,13627035600.0,225876875000.0,214583031000.0,84.052161733883,5.070823652065229
4908163270000000.0,2681812480.0,13695026800.0,229888452000.0,218394030000.0,85.72129994711636,5.106631019928731
5000000000000000.0,2675187470.0,13760869700.0,233911617000.0,222216036000.0,87.43746732635526,5.143889859801115
