feature,mlp_importance_mean,mlp_importance_std,xgb_importance_mean,xgb_importance_std
F5,0.014254481621860882,0.0003296236582811457,0.013006355266190539,0.0003031759835455919
F6,0.01414798155273903,0.00027146570971488926,0.013551996021376255,0.00030867403250752536
F9,0.013661130767826369,0.0003030995728733778,0.012287899570188643,0.00017852584919729827
F7,0.013386384032803799,0.000291045079649053,0.01216799834013752,0.000303942383417774
F8,0.013250192554885609,0.0002536152270288268,0.012652336737675107,0.0002471233661671334
F1,0.011316607228711006,0.00032991521041285767,0.012347425394096823,0.0003028399254036293
F4,0.011111533847033728,0.00022381658482627104,0.013707342312691172,0.00036397243552898343
F2,0.01096288042039557,0.0002508582430515469,0.012336099991504024,0.00036121654170576497
F3,0.010195587380641524,0.00023634492557993798,0.011864736061255354,0.00024119295766630714
F0,0.010084799658753219,0.00026322993251134323,0.012914919163138316,0.0002940478901614303
F14,0.00795401591656265,0.00017544378694097187,0.0054015359334886656,9.793089970096079e-05
F17,0.007282824600538617,0.00013653522015435432,0.0051822425661031905,0.0001453284081925921
F16,0.007161358228196779,0.00027780920917722964,0.005266624959274724,0.00016897003530173536
F11,0.006893717839525748,0.00027644235371336606,0.005382765112659682,0.00015202026237681575
F10,0.006742033693678739,0.0001326048531994365,0.005552115241925804,0.0001267277327583157
F15,0.006594390506776881,0.00022379815407368912,0.0051435984123411995,6.632579079868648e-05
F19,0.006506219767442178,0.00026442881146818164,0.005449609202847328,0.00015463344363910155
F13,0.006500615357337991,0.00015881279554108424,0.005082584392629874,0.00010162526392251097
F18,0.00644803955580463,0.0002737069322766857,0.0052916315107714215,0.0001561479080326211
F12,0.005962672950257664,0.0001405048483502053,0.0047563151139702,9.130947536705474e-05
