step,category,average_mismatch,run_id,trace_label
0,MC,0.0,0,single-component MC growth
10,MC,0.01,0,single-component MC growth
20,MC,0.02,0,single-component MC growth
30,MC,0.025,0,single-component MC growth
40,MC,0.03,0,single-component MC growth
50,MC,0.035,0,single-component MC growth
0,Ch1,0.0,1,seeded Ch1 growth
10,Ch1,0.12,1,seeded Ch1 growth
20,Ch1,0.14,1,seeded Ch1 growth
30,Ch1,0.138,1,seeded Ch1 growth
40,Ch1,0.136,1,seeded Ch1 growth
50,Ch1,0.135,1,seeded Ch1 growth
0,MC,0.0,2,mixed Ag/Cu transition
10,MC,0.08,2,mixed Ag/Cu transition
20,Ch1,0.14,2,mixed Ag/Cu transition
30,Ch1,0.15,2,mixed Ag/Cu transition
40,Ch1,0.145,2,mixed Ag/Cu transition
50,Ch1,0.142,2,mixed Ag/Cu transition
