mu_eV,posterior_density,combined_loglike,exclusion_prob_M33_X_7,exclusion_prob_IRAS_09149_6206
1e-21,10250245566.2878,0.0,0.0,0.0
1.0285746523068273e-21,10250245566.2878,0.0,0.0,0.0
1.0579658153681194e-21,10250245566.2878,0.0,0.0,0.0
1.0881968206947726e-21,10250245566.2878,0.0,0.0,0.0
1.1192916664875298e-21,10250245566.2878,0.0,0.0,0.0
1.1512750366873402e-21,10250245566.2878,0.0,0.0,0.0
1.1841723205702206e-21,10250245566.2878,0.0,0.0,0.0
1.2180096329018835e-21,10250245566.2878,0.0,0.0,0.0
1.2528138346684316e-21,10250245566.2878,0.0,0.0,0.0
1.288612554399265e-21,10250245566.2878,0.0,0.0,0.0
1.3254342100994368e-21,10250245566.2878,0.0,0.0,0.0
1.3633080318086136e-21,10250245566.2878,0.0,0.0,0.0
1.40226408480465e-21,10250245566.2878,0.0,0.0,0.0
1.442333293470306e-21,10250245566.2878,0.0,0.0,0.0
1.4835474658417812e-21,10250245566.2878,0.0,0.0,0.0
1.5259393188588975e-21,10250245566.2878,0.0,0.0,0.0
1.5695425043366074e-21,10250245566.2878,0.0,0.0,0.0
1.6143916356788262e-21,10250245566.2878,0.0,0.0,0.0
1.660522315355399e-21,10250245566.2878,0.0,0.0,0.0
1.7079711631644076e-21,10250245566.2878,0.0,0.0,0.0
1.7567758453019324e-21,10250245566.2878,0.0,0.0,0.0
1.806975104262468e-21,10250245566.2878,0.0,0.0,0.0
1.858608789593876e-21,10250245566.2878,0.0,0.0,0.0
1.9117178895309343e-21,10250245566.2878,0.0,0.0,0.0
1.9663445635330385e-21,10250245566.2878,0.0,0.0,0.0
2.0225321757514153e-21,10250245566.2878,0.0,0.0,0.0
2.0803253294529e-21,10250245566.2878,0.0,0.0,0.0
2.139769902427103e-21,10250245566.2878,0.0,0.0,0.0
2.200913083405571e-21,10250245566.2878,0.0,0.0,0.0
2.263803409521451e-21,10250245566.2878,0.0,0.0,0.0
2.328490804839537e-21,10250245566.2878,0.0,0.0,0.0
2.3950266199874906e-21,10250245566.2878,0.0,0.0,0.0
2.463463672919229e-21,10250245566.2878,0.0,0.0,0.0
2.533856290843417e-21,10250245566.2878,0.0,0.0,0.0
2.6062603533497347e-21,10250245566.2878,0.0,0.0,0.0
2.6807333367677942e-21,10250245566.2878,0.0,0.0,0.0
2.757334359793255e-21,10250245566.2878,0.0,0.0,0.0
2.8361242304180157e-21,10250245566.2878,0.0,0.0,0.0
2.917165494201203e-21,10250245566.2878,0.0,0.0,0.0
3.0005224839194763e-21,10250245566.2878,0.0,0.0,0.0
3.0862613706363185e-21,10250245566.2878,0.0,0.0,0.0
3.174450216230244e-21,10250245566.2878,0.0,0.0,0.0
3.2651590274243828e-21,10250245566.2878,0.0,0.0,0.0
3.358459811359533e-21,10250245566.2878,0.0,0.0,0.0
3.454426632755613e-21,10250245566.2878,0.0,0.0,0.0
3.553135672706049e-21,10250245566.2878,0.0,0.0,0.0
3.654665289152609e-21,10250245566.2878,0.0,0.0,0.0
3.759096079088007e-21,10250245566.2878,0.0,0.0,0.0
3.866510942535904e-21,10250245566.2878,0.0,0.0,0.0
3.976995148359443e-21,10250245566.2878,0.0,0.0,0.0
4.090636401949754e-21,10250245566.2878,0.0,0.0,0.0
4.207524914849154e-21,10250245566.2878,0.0,0.0,0.0
4.3277534763632815e-21,10250245566.2878,0.0,0.0,0.0
4.451417527220026e-21,10250245566.2878,0.0,0.0,0.0
4.578615235332893e-21,10250245566.2878,0.0,0.0,0.0
4.709447573729273e-21,10250245566.2878,0.0,0.0,0.0
4.844018400705858e-21,10250245566.2878,0.0,0.0,0.0
4.982434542273902e-21,10250245566.2878,0.0,0.0,0.0
5.124805876960947e-21,10250245566.2878,0.0,0.0,0.0
5.271245423035092e-21,10250245566.2878,0.0,0.0,0.0
5.421869428222318e-21,10250245566.2878,0.0,0.0,0.0
5.576797461986788e-21,10250245566.2878,0.0,0.0,0.0
5.736152510448658e-21,10250245566.2878,0.0,0.0,0.0
5.9000610740137116e-21,10250245566.2878,0.0,0.0,0.0
6.068653267792699e-21,10250245566.2878,0.0,0.0,0.0
6.242062924890619e-21,10250245566.2878,0.0,0.0,0.0
6.420427702646706e-21,10250245566.2878,0.0,0.0,0.0
6.603889191911012e-21,10250245566.2878,0.0,0.0,0.0
6.792593029442683e-21,10250245566.2878,0.0,0.0,0.0
6.986689013520845e-21,10250245566.2878,0.0,0.0,0.0
7.186331222858133e-21,10250245566.2878,0.0,0.0,0.0
7.391678138913003e-21,10250245566.2878,0.0,0.0,0.0
7.60289277169648e-21,10250245566.2878,0.0,0.0,0.0
7.820142789173798e-21,10250245566.2878,0.0,0.0,0.0
8.043600650364249e-21,10250245566.2878,0.0,0.0,0.0
8.273443742243377e-21,10250245566.2878,0.0,0.0,0.0
8.509854520558147e-21,10250245566.2878,0.0,0.0,0.0
8.75302065466478e-21,10250245566.2878,0.0,0.0,0.0
9.003135176506378e-21,10250245566.2878,0.0,0.0,0.0
9.260396633846414e-21,10250245566.2878,0.0,0.0,0.0
9.52500924788189e-21,10250245566.2878,0.0,0.0,0.0
9.79718307535951e-21,10250245566.2878,0.0,0.0,0.0
1.0077134175324243e-20,10250245566.2878,0.0,0.0,0.0
1.0365084780633464e-20,10250245566.2878,0.0,0.0,0.0
1.0661263474370853e-20,10250245566.2878,0.0,0.0,0.0
1.0965905371302568e-20,10250245566.2878,0.0,0.0,0.0
1.127925230451711e-20,10250245566.2878,0.0,0.0,0.0
1.1601553017399667e-20,10250245566.2878,0.0,0.0,0.0
1.1933063361091184e-20,10250245566.2878,0.0,0.0,0.0
1.2274046497589705e-20,10250245566.2878,0.0,0.0,0.0
1.2624773108656266e-20,10250245566.2878,0.0,0.0,0.0
1.2985521610688704e-20,10250245566.2878,0.0,0.0,0.0
1.3356578375737035e-20,10250245566.2878,0.0,0.0,0.0
1.373823795883261e-20,10250245566.2878,0.0,0.0,0.0
1.4130803331814825e-20,10250245566.2878,0.0,0.0,0.0
1.453458612383759e-20,10250245566.2878,0.0,0.0,0.0
1.4949906868749887e-20,10250245566.2878,0.0,0.0,0.0
1.537709525954399e-20,10250245566.2878,0.0,0.0,0.0
1.5816490410074423e-20,10250245566.2878,0.0,0.0,0.0
1.6268441124256702e-20,10250245566.2878,0.0,0.0,0.0
1.673330617295643e-20,10250245566.2878,0.0,0.0,0.0
1.7211454578792488e-20,10250245566.2878,0.0,0.0,0.0
1.7703265909076236e-20,10250245566.2878,0.0,0.0,0.0
1.8209130577123546e-20,10250245566.2878,0.0,0.0,0.0
1.872945015217447e-20,10250245566.2878,0.0,0.0,0.0
1.9264637678170912e-20,10250245566.2878,0.0,0.0,0.0
1.9815118001641814e-20,10250245566.2878,0.0,0.0,0.0
2.0381328108957483e-20,10250245566.2878,0.0,0.0,0.0
2.0963717473222482e-20,10250245566.2878,0.0,0.0,0.0
2.1562748411078375e-20,10250245566.2878,0.0,0.0,0.0
2.2178896449704715e-20,10250245566.2878,0.0,0.0,0.0
2.2812650704304154e-20,10250245566.2878,0.0,0.0,0.0
2.346451426637694e-20,10250245566.2878,0.0,0.0,0.0
2.413500460308725e-20,10250245566.2878,0.0,0.0,0.0
2.4824653968044147e-20,10250245566.2878,0.0,0.0,0.0
2.5534009823818517e-20,10250245566.2878,0.0,0.0,0.0
2.6263635276533245e-20,10250245566.2878,0.0,0.0,0.0
2.701410952287373e-20,10250245566.2878,0.0,0.0,0.0
2.7786028309868404e-20,10250245566.2878,0.0,0.0,0.0
2.8580004407810786e-20,10250245566.2878,0.0,0.0,0.0
2.939666809669157e-20,10250245566.2878,0.0,0.0,0.0
3.0236667666533984e-20,10250245566.2878,0.0,0.0,0.0
3.1100669932022284e-20,10250245566.2878,0.0,0.0,0.0
3.198936076183922e-20,10250245566.2878,0.0,0.0,3.142945729995889e-190
3.290344562312671e-20,10250245566.2878,0.0,0.0,3.204572387623961e-82
3.384365014150416e-20,10250245566.2878,0.0,0.0,1.0014689369108855e-38
3.481072067709183e-20,10250245566.287798,-2.220446049250313e-16,0.0,2.157404372894353e-20
3.580542491698981e-20,10250245297.60068,-2.6212749981098292e-08,0.0,2.621274963447477e-12
3.682855248469131e-20,10248810727.075336,-0.0001399907580400055,0.0,1.3998095979102893e-08
3.788091556690511e-20,10160654003.783562,-0.00877885245426585,0.0,8.740430843812884e-07
3.8963349558294027e-20,9534800975.350004,-0.07235329721191519,0.0,6.9797800092793145e-06
4.007671372463165e-20,8128873309.938362,-0.2318793332914421,0.0,2.06958188721493e-05
4.1221891884913257e-20,6425926076.694249,-0.46696090613896085,0.0,3.730954019454341e-05
4.239979311295463e-20,4940791235.252556,-0.7297761755304526,0.0,5.179831348136352e-05
4.361135245903872e-20,3869415435.243317,-0.974198217676334,0.0,6.225052089604755e-05
4.485753169218662e-20,3206453452.106321,-1.1621361802123067,0.0,6.874205619294716e-05
4.613932006363334e-20,2852595800.993007,-1.2790722758708657,0.0,7.315314536403805e-05
4.7457735092125476e-20,2609434126.788535,-1.368168274815626,0.0,8.089057911916716e-05
4.881382337165248e-20,2339160976.086186,-1.4775093551395795,0.0,9.386052610797187e-05
5.0208661402264746e-20,1989864120.1801388,-1.6392353078954383,0.0,0.00011038152257604204
5.1643356444625683e-20,1535023957.4177146,-1.8987556746284349,0.0,0.00013172062365092004
5.311904739898841e-20,1045062645.7107899,-2.2832248313154864,0.0,0.00015875782672745612
5.463690570928484e-20,648109680.5230072,-2.760996999870413,0.0,0.00018804964491957835
5.619813629304856e-20,402169354.4012216,-3.2381836624554765,0.0,0.00021260842626669767
5.780397849791459e-20,271838046.75299567,-3.62985046935018,0.0,0.00022958258082194058
5.945570708544383e-20,189231398.8885868,-3.9920863430468407,0.0,0.0002507566133915517
6.115463324306746e-20,108389029.91955234,-4.549330058085838,0.0,0.00029887587755912675
6.290210562493965e-20,45499081.06288511,-5.417364812633341,0.0,0.0003744452010194961
6.469951142254015e-20,14534686.213413093,-6.558518996532853,0.0,0.0004608803234853225
6.654827746586085e-20,3434136.0004724893,-8.001291576177138,0.0,0.0005585998446624776
6.84498713560661e-20,497836.4955843633,-9.932540519952932,0.0,0.0006902210881155297
7.040580263051332e-20,40158.13721471383,-12.449987130736398,0.0,0.0008645921020890979
7.241762396106335e-20,1961.4482498085092,-15.469129117596768,0.0,0.0010683085122651411
7.448693238663791e-20,57.45606518136722,-18.999546927990277,0.0,0.0013031961941468034
7.661537058098825e-20,0.9549747062975366,-23.096637924334935,0.0,0.0015767700074427828
7.880462815669936e-20,0.009920098323009356,-27.663759946071252,0.0,0.0018787111356006107
8.105644300644587e-20,8.292400567067597e-05,-32.44815346383986,0.0,0.0021872209259029265
8.33726026825839e-20,6.487128844055764e-07,-37.29884311496891,0.0,0.002500230964245479
8.575494581615401e-20,4.69950539604954e-09,-42.226376068581516,0.0,0.002830592488846082
8.820536357644143e-20,3.197272732924527e-11,-47.21670534740975,0.0,0.003175440852933629
9.072580117223627e-20,1.496988641198914e-13,-52.58071819115383,0.0,0.0035567786230035216
9.331825939599127e-20,2.6301717994663725e-16,-58.92487982078796,0.0,0.004017442611377066
9.598479621211083e-20,1.097366559446698e-19,-66.70677099416787,0.0,0.004574824378090315
9.872752839061358e-20,9.725967418594893e-24,-76.03781036974013,0.0,0.00522103935745598
1.0154863318748862e-19,1.7959274373416118e-28,-86.93742853707097,0.0,0.00595996317872647
1.0445035007305465e-19,5.922824313932772e-34,-99.5596472465424,0.0,0.006818386671092887
1.0743498250971947e-19,4.0504063446068395e-40,-113.75515401160507,0.0,0.007779438305165818
1.1050489978052477e-19,4.821549871466546e-47,-129.69897144417746,0.0,0.008857108395838304
1.1366253886995407e-19,4.4591143277167456e-55,-148.1977974495203,0.0,0.01012554309290835
1.1691040639847522e-19,2.1160947733999165e-64,-169.66644114961497,0.0,0.011598703492216788
1.2025108061236154e-19,6.314540223490582e-75,-193.9015945283802,0.0,0.01323238948316932
1.2368721343038105e-19,1.2317325859115095e-86,-220.86446371275733,0.0,0.01502877060716762
1.2722153254895452e-19,1.2400998158491966e-99,-250.79129983331114,0.0,0.017023006856579384
1.308568436074837e-19,4.296055230015815e-114,-284.0875708879788,0.0,0.01925592894123119
