feature,gini_importance,permutation_ap_mean,permutation_ap_std
Feature_1,0.10329713770717622,-0.004464247459725823,0.008049823107990045
Feature_2,0.10052349912912323,0.0038229184144024765,0.005685342480542291
Tail_end_1_y,0.07482081823250224,0.0006956657572135261,0.003502486951233098
Tail_end_1_x,0.05248703950513206,0.0007864849032221732,0.008656054667098208
Tail_base_1_x,0.03952780000912766,0.0004196740267568999,0.00804149031791316
Tail_base_1_y,0.0355646429425178,-0.003126665078242019,0.004854172664512422
Tail_end_2_x,0.03375786621914865,0.004024524940247942,0.008986788695936289
Center_1_y,0.029766928943020438,-0.005328129765286305,0.004770209730248004
Lat_right_1_x,0.02871714792709929,0.000982915954046082,0.004118042496366556
Tail_base_2_x,0.02729501152145306,0.002849855187231143,0.009553212495223638
Tail_end_2_y,0.02562094153103565,-0.0038458079168580796,0.009890673995291161
Lat_right_1_y,0.025275372843233657,0.0010803890884372059,0.0034233217724667863
Tail_base_2_y,0.023817525145380873,0.005406724907074212,0.01002323013113585
Lat_left_1_x,0.023522848206495216,0.0020783022559728416,0.0068369832405386945
Center_1_x,0.022814016895746185,0.0023929389604263273,0.00316822744067715
Lat_right_2_y,0.02010069319059352,0.006116547434215125,0.008114638615740338
Lat_left_1_y,0.019407555328667423,-0.004738344225425161,0.00797619923720241
Ear_right_1_x,0.01653258543370122,0.00041323627844378483,0.0025855911086237774
Lat_right_2_x,0.016463433517563575,-0.0011405586082129826,0.012921830688312607
Ear_right_2_y,0.016436211147195394,-0.015627141770544972,0.007324575689897103
Ear_left_1_x,0.01552664449102843,0.0013936327171433227,0.0038309585657537596
Nose_2_y,0.01528847983142989,-0.004054386018893996,0.013429709490593527
Lat_left_2_x,0.015105477021521685,-0.05513977477528822,0.021889342392859047
Ear_right_1_y,0.014822560742241734,-0.0020324181839269095,0.005557836679202879
Nose_1_x,0.014703659707240366,-0.008240423568317723,0.009579471047501415
Lat_left_2_y,0.01456574781164282,-0.003411991542363391,0.006715936068448658
Nose_1_y,0.013545689255063529,0.0032376385900265035,0.006109870921970116
Nose_2_x,0.013360178940048002,-0.004180571236963226,0.006731161929408297
Ear_left_2_y,0.013115611870205799,-0.007633403636025482,0.006963730928341583
Center_2_y,0.013071899337587756,0.0023690218497298575,0.0032620105543257004
Ear_right_2_x,0.012928665912776267,-0.00428525273698308,0.005764217809328375
Center_2_x,0.012841655542935015,-0.004980904303452294,0.008166914524938593
Ear_left_1_y,0.012599260807360055,-0.002480135514869297,0.0022322407301793327
Ear_left_2_x,0.011259582734254212,-0.007097948952741651,0.0047426312391929785
Ear_left_1_p,0.006755122495485977,0.00042077057084254353,0.005932316240413261
Tail_end_2_p,0.006613241422006366,0.0033052871004045636,0.008844831377015945
Lat_right_2_p,0.006219802373657529,-0.0038614954283750615,0.00475548477811927
Tail_end_1_p,0.006110483290357642,-0.005986341458210353,0.008719539455974694
Center_2_p,0.005787951090507704,0.0022387372043509157,0.002728515623747392
Lat_right_1_p,0.00523985964145674,-0.009704688038295573,0.0066494317818322785
Center_1_p,0.004316137494364196,-0.005536214242688342,0.009025556269628142
Lat_left_2_p,0.004124195631148038,0.014217283654243818,0.006394753878688645
Ear_right_1_p,0.003915196592144351,-0.011736846547457158,0.006591777813203936
Nose_2_p,0.0038347159320381422,-0.008022240922585022,0.0056478496691036535
Lat_left_1_p,0.0037316037476957716,-0.0010651809143444658,0.0032237982591809358
Tail_base_1_p,0.00342163288312937,-0.028887162465237738,0.0064912664583858986
Ear_right_2_p,0.0031695252958326933,-0.0018845975933376002,0.005890643671165568
Tail_base_2_p,0.0028791594289903602,-0.0005285530463159827,0.0063525988881119886
Nose_1_p,0.002742969097037643,-0.038995236591539514,0.015026655535949071
Ear_left_2_p,0.0026542142028983797,-0.03988329668348485,0.01456724107895019
