feature,gini_importance,permutation_ap_mean,permutation_ap_std
Tail_end_2_x,0.10431592884944785,-0.011332474239584323,0.012550376296868058
Feature_1,0.06351795369910995,-0.006555036729704056,0.011031508379904178
Feature_2,0.061121049765185016,-0.008729499194600787,0.0124877926382869
Tail_end_1_x,0.058166876381556036,-0.009332329069606581,0.012853477845478408
Tail_end_2_y,0.050704751221429395,-0.001687903902704524,0.011669604830874444
Center_2_y,0.04986235286369931,0.004575931481090279,0.006223399439871637
Tail_base_2_x,0.04917814419426276,-0.015464768948326369,0.017631132636039736
Tail_base_1_x,0.04058992835649114,-0.019749482336202107,0.01382809801087751
Lat_left_2_y,0.032894123855040334,-0.006900250573700495,0.005116933646889866
Center_2_x,0.03248779399938337,-0.019561557841824662,0.02240519727183327
Lat_left_1_x,0.028545042723733538,-0.013792129934695386,0.019054976491310632
Lat_left_2_x,0.02735747865287036,-0.011642838252845145,0.012591411513294326
Lat_right_1_x,0.027219024785298276,-0.01310182431552399,0.020700460057916474
Lat_right_2_x,0.025075206883244276,-0.007854007756586779,0.014682461296254497
Nose_2_y,0.024036773557097664,-0.008156586875532746,0.013828445284397271
Lat_right_2_y,0.022830601509110166,-0.017824407068374827,0.02087409406059085
Center_1_x,0.021146768640302672,-0.028703708381054748,0.01901058052997045
Ear_right_1_x,0.020746466756297672,-0.005386428686932699,0.010459118861082401
Tail_end_1_y,0.01844097897353184,-0.02050099443794483,0.030346188364648297
Tail_base_2_y,0.01774488242578226,-0.026689640590805797,0.025065099139237695
Tail_base_1_y,0.017582998812614065,-0.0003394824362632276,0.001042281091634614
Nose_1_x,0.01755396916761918,-0.012625767449487024,0.026570874910858786
Lat_right_1_y,0.017037368868104433,-0.009936066301174374,0.012569079319517206
Ear_left_1_x,0.016102901264387414,-0.012489608491270432,0.016958231194714343
Ear_left_2_y,0.014549322987999753,-0.014714412941087196,0.010025999871342854
Ear_right_2_y,0.013603242667431913,-0.034206781738045054,0.017827736901109007
Ear_left_2_x,0.013018327801848643,-0.003954693288714473,0.005790394827745763
Ear_left_1_y,0.012433707537436587,-0.004936758286249876,0.009226697223246755
Ear_right_1_y,0.012242890740563634,-0.020519086760683425,0.01865940797060962
Lat_left_1_y,0.011930201064139903,-0.0004282562416134561,0.0026187781122787497
Ear_right_2_x,0.011577993499588898,-0.005591975072693656,0.011843523722540437
Nose_1_y,0.011249029974169537,-0.010642964895383656,0.014764692080569006
Center_1_y,0.011169482258481852,-0.004571201908852884,0.002093747535192241
Nose_2_x,0.010956490593142283,-0.011618572239443913,0.02746634320384778
Ear_right_2_p,0.004612817923117592,-0.04110169664673487,0.026635746151023938
Lat_right_1_p,0.0034817394335192164,-0.00023078437475873014,0.002718448314003526
Tail_end_1_p,0.003112369943606613,-0.014296044402516727,0.025551731347231495
Tail_end_2_p,0.0030553486624643987,-0.02607693146600003,0.02582143548676884
Center_1_p,0.002977740255335836,0.0011140855099942004,0.011873541865710541
Lat_left_1_p,0.002514666590681412,-0.013800901276771504,0.024281689357175923
Tail_base_2_p,0.0021954125969433263,-0.017589305985465174,0.022016665091341193
Lat_left_2_p,0.0016383157366594233,0.004822257718656598,0.004622592426316455
Nose_2_p,0.0014998172367367004,-0.013427589366512727,0.024919111279346044
Lat_right_2_p,0.001462542444184453,-0.01933933388182797,0.026610185960554214
Nose_1_p,0.0013932900509848964,0.013710345664116075,0.006796491846648043
Ear_right_1_p,0.0011504042855690658,-0.05439698247490116,0.035511762165651384
Center_2_p,0.0011352715047479314,-0.020703506735101705,0.032760044974036034
Ear_left_1_p,0.0010183587709733666,0.0015553672359884918,0.0035670549342538297
Tail_base_1_p,0.0009287830045166889,-0.04392939105975251,0.030553459815397366
Ear_left_2_p,0.0008330662295570521,-0.05021661475547873,0.025545547181070768
