type,host,method,anchor,observed,sigma,z,const,variant,model_value,residual,normalized_residual
primary_distance,NGC1309,Cepheid,N4258,32.5,0.11235657524150514,,,baseline_all_primary,31.82424451735558,0.6757554826444192,6.014383058507389
primary_distance,NGC1365,Cepheid,N4258,31.33,0.09499473669630334,,,baseline_all_primary,31.363350319013506,-0.0333503190135076,-0.3510754403175835
primary_distance,NGC1448,Cepheid,N4258,31.31,0.10355674772799695,,,baseline_all_primary,31.353904909874583,-0.043904909874584064,-0.4239695706735121
primary_distance,NGC1559,Cepheid,N4258,31.42,0.08674099376880576,,,baseline_all_primary,31.618263186312912,-0.19826318631291073,-2.285691893746912
primary_distance,M101,Cepheid,N4258,29.12,0.07889233169326408,,,baseline_all_primary,29.258019523827468,-0.13801952382746663,-1.749466910980537
primary_distance,NGC1316,TRGB,N4258,31.39,0.11629273408085306,,,baseline_all_primary,31.356336888470995,0.03366311152900536,0.28946874278147877
primary_distance,NGC1365,TRGB,N4258,31.32,0.1338805437694365,,,baseline_all_primary,31.363350319013506,-0.04335031901350561,-0.3237984982206356
primary_distance,NGC5643,TRGB,N4258,30.53,0.10781465577554844,,,baseline_all_primary,30.907291423162086,-0.3772914231620845,-3.499444676125854
primary_distance,M101,TRGB,N4258,29.13,0.09961927524329818,,,baseline_all_primary,29.258019523827468,-0.12801952382746862,-1.285087886002072
primary_distance,NGC1309,Cepheid,LMC,32.51,0.11651609330903606,,,baseline_all_primary,31.82424451735558,0.6857554826444172,5.885500132806422
primary_distance,NGC1365,Cepheid,LMC,31.34,0.09785703858180055,,,baseline_all_primary,31.363350319013506,-0.023350319013506038,-0.23861665294507217
snia_calibrator,NGC1309,SN Ia,calibrator,12.1,0.05,,,baseline_all_primary,12.360104408424075,-0.2601044084240751,-5.202088168481502
snia_calibrator,NGC1365,SN Ia,calibrator,11.93,0.06,,,baseline_all_primary,11.899210210082,0.030789789917999855,0.5131631652999976
snia_calibrator,NGC1448,SN Ia,calibrator,11.9,0.05,,,baseline_all_primary,11.889764800943077,0.010235199056923605,0.2047039811384721
snia_calibrator,NGC1559,SN Ia,calibrator,12.22,0.05,,,baseline_all_primary,12.154123077381406,0.06587692261859424,1.3175384523718847
snia_calibrator,M101,SN Ia,calibrator,9.85,0.04,,,baseline_all_primary,9.793879414895962,0.05612058510403806,1.4030146276009514
snia_calibrator,NGC1316,SN Ia,calibrator,11.88,0.07,,,baseline_all_primary,11.89219677953949,-0.01219677953948839,-0.17423970770697697
snia_calibrator,NGC5643,SN Ia,calibrator,11.56,0.06,,,baseline_all_primary,11.44315131423058,0.11684868576942087,1.9474780961570146
snia_hubble_flow,z=0.034,SN Ia,Hubble flow,15.12,0.08022807016555653,0.034,45.04149809985091,baseline_all_primary,-29.65525655975927,-0.26624154009164513,-3.3185584489597733
snia_hubble_flow,z=0.042,SN Ia,Hubble flow,15.68,0.06602172728809108,0.042,45.500349966629145,baseline_all_primary,-29.65525655975927,-0.16509340686987528,-2.500592057361314
snia_hubble_flow,z=0.055,SN Ia,Hubble flow,16.35,0.05986636354198765,0.055,46.08591696211086,baseline_all_primary,-29.65525655975927,-0.08066040235158667,-1.3473409370357863
snia_hubble_flow,z=0.068,SN Ia,Hubble flow,17.02,0.05664923486352102,0.068,46.54664807817082,baseline_all_primary,-29.65525655975927,0.12860848158845073,2.2702598172471964
snia_hubble_flow,z=0.082,SN Ia,Hubble flow,17.55,0.06393483165721142,0.082,46.95317277655822,baseline_all_primary,-29.65525655975927,0.2520837832010514,3.9428239140849923
