channel,kind,mean_mae,mean_diff_std,mean_corr,n_levels
MSL,surface,11.302837371826172,14.166513442993164,-0.0032187930773943663,1
R,upper_air,11.279298782348633,14.133848923903246,0.0018294565558720094,13
T,upper_air,11.283727132357084,14.141578821035532,-9.991369202347974e-05,13
T2M,surface,11.330135345458984,14.174736976623535,-0.007876013405621052,1
TP,surface,6.611654281616211,8.520357131958008,0.0027718902565538883,1
U,upper_air,11.272969759427584,14.126685582674467,0.0012394188077171119,13
U10,surface,11.329686164855957,14.185836791992188,-0.004829570185393095,1
V,upper_air,11.26870844914363,14.13033969585712,0.0014533856525444067,13
V10,surface,11.270472526550293,14.109737396240234,-0.001168243121355772,1
Z,upper_air,11.269857186537523,14.132977852454552,0.0013299642495649795,13
