index,name,channel,kind,pressure_hpa,input_prev_mean,input_curr_mean,forecast_mean,input_curr_std,forecast_std,forecast_minus_latest_mean,forecast_minus_latest_std,forecast_minus_latest_mae,input_tendency_std,forecast_to_latest_corr
0,Z50,Z,upper_air,50.0,-0.013563878834247589,0.012458390556275845,-0.030800623819231987,10.008930206298828,10.03687572479248,-0.04325901344418526,14.158950805664062,11.28886890411377,14.185534477233887,0.002198333153501153
1,Z100,Z,upper_air,100.0,-0.05587483197450638,0.0455087274312973,0.005991913843899965,10.052701950073242,9.996031761169434,-0.03951681777834892,14.116392135620117,11.255379676818848,14.164446830749512,0.00848336424678564
2,Z150,Z,upper_air,150.0,0.047502484172582626,0.027372712269425392,0.019106389954686165,9.979031562805176,9.98963451385498,-0.00826631486415863,14.122408866882324,11.250139236450195,14.11318302154541,-0.00034391411463730037
3,Z200,Z,upper_air,200.0,0.012838312424719334,0.03789951279759407,-0.04024263471364975,9.986062049865723,10.023402214050293,-0.07814212888479233,14.128596305847168,11.286091804504395,14.080245971679688,0.002861165441572666
4,Z250,Z,upper_air,250.0,-0.006700369529426098,-0.04372056946158409,-0.013976704329252243,10.058788299560547,9.940933227539062,0.029743866994976997,14.143518447875977,11.277328491210938,14.143369674682617,-0.00018866133177652955
5,Z300,Z,upper_air,300.0,0.0012230040738359094,0.05243027210235596,-0.043732352554798126,9.972245216369629,9.973688125610352,-0.09616264700889587,14.096653938293457,11.232598304748535,14.140745162963867,0.001027926104143262
6,Z400,Z,upper_air,400.0,-0.022476932033896446,0.05846897512674332,-0.05708009749650955,9.958715438842773,9.991804122924805,-0.11554905027151108,14.106718063354492,11.24972915649414,14.131467819213867,6.361848500091583e-05
7,Z500,Z,upper_air,500.0,-0.01747925765812397,0.048029858618974686,0.0282217375934124,9.982317924499512,9.988780975341797,-0.01980811171233654,14.145947456359863,11.29648494720459,14.123805046081543,-0.003436930477619171
8,Z600,Z,upper_air,600.0,-0.04248889163136482,-0.08025744557380676,-0.001528476132079959,9.998695373535156,9.992197036743164,0.07872896641492844,14.141676902770996,11.276252746582031,14.144953727722168,-0.000846479379106313
9,Z700,Z,upper_air,700.0,-0.04888376593589783,0.009150141850113869,0.013957181014120579,10.015880584716797,9.954410552978516,0.004807052668184042,14.104650497436523,11.246644020080566,14.205848693847656,0.0023418422788381577
10,Z850,Z,upper_air,850.0,0.019376272335648537,0.01017684955149889,-0.0137937618419528,10.034246444702148,9.997249603271484,-0.023970600217580795,14.125824928283691,11.283093452453613,14.129524230957031,0.0054435646161437035
11,Z925,Z,upper_air,925.0,0.055374037474393845,0.01995663344860077,0.021314037963747978,10.059625625610352,9.97015380859375,0.001357414061203599,14.176215171813965,11.29041576385498,14.21590805053711,-0.0018198833568021655
12,Z1000,Z,upper_air,1000.0,-0.04842575266957283,-0.08137713372707367,-0.016078246757388115,10.009028434753418,10.032954216003418,0.0652988851070404,14.161158561706543,11.275116920471191,14.194610595703125,0.0015055895783007145
13,T50,T,upper_air,50.0,0.023191258311271667,0.012064681388437748,0.006783426273614168,10.024507522583008,9.941187858581543,-0.005281249526888132,14.133866310119629,11.27596378326416,14.146064758300781,-0.00224888464435935
14,T100,T,upper_air,100.0,0.09767625480890274,0.026884449645876884,-0.029391199350357056,9.966402053833008,10.022900581359863,-0.05627564340829849,14.154147148132324,11.282365798950195,14.101055145263672,-0.0027638983447104692
15,T150,T,upper_air,150.0,0.019067658111453056,0.07246468961238861,0.013643152080476284,9.978034019470215,9.964920043945312,-0.05882154777646065,14.096007347106934,11.247848510742188,14.126568794250488,0.000821510620880872
16,T200,T,upper_air,200.0,0.028084591031074524,0.021573904901742935,-0.0012886833865195513,10.010851860046387,10.029097557067871,-0.022862577810883522,14.179545402526855,11.315585136413574,14.173622131347656,-0.0012925673509016633
17,T250,T,upper_air,250.0,0.00949170719832182,-0.06316360831260681,0.014840743504464626,9.981966972351074,9.950343132019043,0.07800435274839401,14.066322326660156,11.228915214538574,14.129356384277344,0.0039646560326218605
18,T300,T,upper_air,300.0,0.04494457319378853,-0.03880703076720238,-0.010510185733437538,9.980319023132324,10.042694091796875,0.028296833857893944,14.150877952575684,11.296106338500977,14.124499320983887,0.0010731957154348493
19,T400,T,upper_air,400.0,0.06341513246297836,0.013421761803328991,-0.005811785347759724,10.003665924072266,10.005851745605469,-0.01923356018960476,14.123069763183594,11.26722526550293,14.174201965332031,0.003643031930550933
20,T500,T,upper_air,500.0,0.03238441050052643,0.003018793649971485,0.0240204818546772,10.041655540466309,9.995355606079102,0.021001677960157394,14.187355995178223,11.322574615478516,14.151649475097656,-0.0026854993775486946
21,T600,T,upper_air,600.0,-0.06757178157567978,-0.015707582235336304,0.009114592336118221,9.998778343200684,9.961479187011719,0.02482217364013195,14.11427116394043,11.27365779876709,14.17800521850586,-3.0316125048557296e-05
22,T700,T,upper_air,700.0,0.0030173968989402056,0.008990117348730564,-0.011845552362501621,9.97407054901123,9.989604949951172,-0.020835693925619125,14.141237258911133,11.27552604675293,14.149042129516602,-0.0035143375862389803
23,T850,T,upper_air,850.0,-0.01330592855811119,0.009794902056455612,-0.03626975789666176,10.016653060913086,10.021663665771484,-0.046064674854278564,14.139108657836914,11.29112434387207,14.114465713500977,0.00424725329503417
24,T925,T,upper_air,925.0,0.05585744231939316,-0.002447879407554865,0.00529315322637558,10.020153045654297,10.023306846618652,0.00774103170260787,14.217309951782227,11.341204643249512,14.228177070617676,-0.006281326990574598
25,T1000,T,upper_air,1000.0,0.001258785487152636,-0.009321823716163635,-0.031131891533732414,9.988536834716797,10.042479515075684,-0.021810071542859077,14.137405395507812,11.270355224609375,14.134507179260254,0.003768304828554392
26,U50,U,upper_air,50.0,0.02450251579284668,-0.004118442535400391,0.06054572016000748,10.020877838134766,10.005410194396973,0.06466417759656906,14.108146667480469,11.27285099029541,14.154500007629395,0.007412715349346399
27,U100,U,upper_air,100.0,-0.014188429340720177,-0.0003739916137419641,0.030703913420438766,9.960469245910645,10.044310569763184,0.031077902764081955,14.077630996704102,11.223628997802734,14.103461265563965,0.009592708200216293
28,U150,U,upper_air,150.0,0.00948780495673418,-0.025938469916582108,-0.00964371394366026,9.965420722961426,9.99703598022461,0.016294771805405617,14.096912384033203,11.261068344116211,14.095132827758789,0.002647027838975191
29,U200,U,upper_air,200.0,-0.01411652471870184,-0.016106413677334785,0.02741609886288643,9.992807388305664,10.006796836853027,0.04352251812815666,14.140101432800293,11.262768745422363,14.104984283447266,0.00024847208987921476
30,U250,U,upper_air,250.0,-0.024057256057858467,-0.010291333310306072,0.0190920177847147,10.016046524047852,9.979520797729492,0.029383348301053047,14.182355880737305,11.317877769470215,14.079814910888672,-0.006138697732239962
31,U300,U,upper_air,300.0,0.04604354873299599,-0.01636972278356552,-0.0945720449090004,9.980939865112305,9.997687339782715,-0.07820232212543488,14.100029945373535,11.230523109436035,14.15110969543457,0.00381850847043097
