base_method,round,n_samples,mean_pred,max_pred,std_pred
CLMax,1,5,130.3326256192498,145.84571832979475,9.773713416637612
CLMin,1,5,137.02476999292284,198.21656050955414,49.07208252005144
ENU-GP,1,5,106.39490445859872,136.10757254069355,30.21855005284497
ENU-RFR,1,5,113.30219391365888,122.12314225053079,7.6001401918398885
GP-GP,1,10,160.43595187544233,248.54918612880397,56.600869255077555
GP-GP,2,10,219.74805378627033,281.6135881104034,54.042523211847865
GP-GP,3,10,175.45081387119603,250.98372257607926,73.72050168758442
GP-RFR,1,10,103.73389950460015,254.04104741684358,61.95980419968194
LP_df,1,10,118.61854210898795,153.82873319179052,20.948395529205126
RFR-GP,1,10,185.47770700636943,321.18895966029726,77.38571056002279
RFR-GP,2,10,94.49398443029017,221.20311394196744,56.78097232633432
RFR-GP,3,9,128.64669340253204,229.69568294409058,47.303006046898886
RFR-RFR,1,10,101.58811040339702,182.9865534324133,46.97993550662005
old-SM-GP,1,10,195.24416135881103,269.10120311394195,64.73136369503385
