cell_type,family,model_id,umap1,umap2,cluster,valid
Am,amacrine,000,0.7579747484599905,0.6469511290109285,0,True
Am,amacrine,001,0.7742251881653628,0.1217238759532154,2,True
Am,amacrine,002,0.900985396030203,0.0007783252659241957,2,True
Am,amacrine,003,0.0488138347247935,0.24739086457159123,1,True
Am,amacrine,004,0.687789371881703,0.518233803531224,0,True
Am,amacrine,005,0.015131866306266895,0.23053288829389101,1,True
Am,amacrine,006,0.9424542792463684,0.1521034590540561,2,True
Am,amacrine,007,0.8660873298630355,0.4227881085871025,2,True
Am,amacrine,008,0.5893819636320374,0.40206365482976714,0,True
Am,amacrine,009,0.11603661867223258,0.126634112739867,1,True
Am,amacrine,010,0.6705671895550627,0.4192477290899852,0,True
Am,amacrine,011,0.8995740436487216,0.7551935204508666,0,True
Am,amacrine,012,0.574830021530964,0.445227954319215,0,True
Am,amacrine,013,0.9534773843975339,0.25464890772360255,2,True
Am,amacrine,014,0.9377067409565876,0.0,2,True
Am,amacrine,015,0.8440744219931853,0.9935788768249708,0,True
Am,amacrine,016,0.7999287822185956,0.7580431386182647,0,True
Am,amacrine,017,0.8871088725652707,0.13983818645311172,2,True
Am,amacrine,018,0.9726468176127858,0.4313793923566407,2,True
Am,amacrine,019,0.06636718797231461,0.014442236878474513,1,True
Am,amacrine,020,0.8700723836607323,0.9512688078642861,0,True
Am,amacrine,021,0.8228249106078279,0.7162467209395211,0,True
Am,amacrine,022,0.06757940239844001,0.10455637562555378,1,True
Am,amacrine,023,0.7248292080925735,0.1874140783898393,2,True
Am,amacrine,024,0.07196485028276617,0.18584120884197003,1,True
Am,amacrine,025,0.6193656851559203,0.45806197732011017,0,True
Am,amacrine,026,0.8315183164408313,0.844102067995526,0,True
Am,amacrine,027,0.8728102142914447,1.0,0,True
Am,amacrine,028,0.5538416488752147,0.3895150784749925,0,True
Am,amacrine,029,0.7057258207791939,0.2351126576067145,2,True
Am,amacrine,030,0.8699067540716269,0.8650817871003831,0,True
Am,amacrine,031,0.9924606470127204,0.2962689373251149,2,True
Am,amacrine,032,0.8305670789392092,0.09468628070265758,2,True
Am,amacrine,033,0.10172466296070215,0.19285127917678435,1,True
Am,amacrine,034,0.9013605485204821,0.32944813010013385,2,True
Am,amacrine,035,0.7384846175270054,0.5789663442962006,0,True
Am,amacrine,036,0.8643406878852782,0.7594520902990167,0,True
Am,amacrine,037,0.8019058052464922,0.15738712160841423,2,True
Am,amacrine,038,0.030608406904888696,0.014373021457503687,1,True
Am,amacrine,039,0.8827814980040163,0.4980892097310561,2,True
Am,amacrine,040,0.0,0.15722235997745784,1,True
