cell_type,family,n_models,n_valid_models,n_clusters,largest_cluster_fraction
Am,amacrine,50,50,3,0.4
C2,centrifugal/columnar,50,49,2,0.5714285714285714
C3,centrifugal/columnar,50,50,3,0.36
CT1(Lo1),centrifugal tangential,50,50,3,0.58
CT1(M10),centrifugal tangential,50,50,3,0.44
L1,lamina,50,50,3,0.66
L2,lamina,50,50,2,0.74
L3,lamina,50,50,4,0.3
L4,lamina,50,50,2,0.66
L5,lamina,50,50,3,0.42
Lawf1,wide-field lamina,50,50,3,0.52
Lawf2,wide-field lamina,50,50,3,0.74
Mi1,medulla intrinsic,50,50,2,0.76
Mi10,medulla intrinsic,50,50,4,0.3
Mi11,medulla intrinsic,50,50,2,0.74
Mi12,medulla intrinsic,50,50,3,0.5
Mi13,medulla intrinsic,50,50,5,0.34
Mi14,medulla intrinsic,50,50,4,0.46
Mi15,medulla intrinsic,50,50,2,0.68
Mi2,medulla intrinsic,50,50,5,0.26
Mi3,medulla intrinsic,50,50,4,0.44
Mi4,medulla intrinsic,50,50,2,0.76
Mi9,medulla intrinsic,50,50,2,0.52
R1,photoreceptor,50,50,3,0.46
R2,photoreceptor,50,50,2,0.66
R3,photoreceptor,50,50,4,0.38
R4,photoreceptor,50,50,4,0.34
R5,photoreceptor,50,50,3,0.44
R6,photoreceptor,50,50,4,0.34
R7,photoreceptor,50,50,5,0.28
R8,photoreceptor,50,50,5,0.28
T1,transmedullary,50,50,3,0.46
T2,transmedullary,50,50,4,0.28
T2a,transmedullary,50,50,4,0.34
T3,transmedullary,50,50,2,0.64
T4a,ON motion detector,50,50,3,0.46
T4b,ON motion detector,50,50,4,0.32
T4c,ON motion detector,50,50,3,0.62
T4d,ON motion detector,50,50,4,0.46
T5a,OFF motion detector,50,50,4,0.46
T5b,OFF motion detector,50,50,3,0.48
T5c,OFF motion detector,50,50,4,0.48
T5d,OFF motion detector,50,50,4,0.42
Tm1,transmedullary,50,50,3,0.6
Tm16,transmedullary,50,50,4,0.5
Tm2,transmedullary,50,50,3,0.7
Tm20,transmedullary,50,50,3,0.7
Tm28,transmedullary,50,50,3,0.38
Tm3,transmedullary,50,50,3,0.52
Tm30,transmedullary,50,49,3,0.5102040816326531
Tm4,transmedullary,50,50,4,0.28
Tm5Y,transmedullary,50,50,4,0.28
Tm5a,transmedullary,50,50,4,0.4
Tm5b,transmedullary,50,50,4,0.3
Tm5c,transmedullary,50,50,2,0.68
Tm9,transmedullary,50,50,3,0.38
TmY10,transmedullary Y,50,50,4,0.3
TmY13,transmedullary Y,50,50,4,0.52
TmY14,transmedullary Y,50,50,4,0.32
TmY15,transmedullary Y,50,50,2,0.52
TmY18,transmedullary Y,50,50,3,0.58
TmY3,transmedullary Y,50,50,4,0.44
TmY4,transmedullary Y,50,50,4,0.4
TmY5a,transmedullary Y,50,50,3,0.52
TmY9,transmedullary Y,50,50,2,0.66
