sign_index,sign,syn_strength_model000
0,-1.0,0.006883954629302025
1,-1.0,0.006281414069235325
2,-1.0,0.003382885130122304
3,-1.0,0.010790041647851467
4,-1.0,0.032186221331357956
5,-1.0,0.006851338781416416
6,-1.0,0.006325086113065481
7,-1.0,0.003422003472223878
8,-1.0,0.010601052083075047
9,-1.0,0.030391693115234375
10,-1.0,0.006986481137573719
11,-1.0,0.006016135681420565
12,-1.0,0.0001243014121428132
13,-1.0,0.013502473942935467
14,-1.0,0.050727877765893936
15,-1.0,0.006827679928392172
16,-1.0,0.00640211021527648
17,-1.0,0.006484157405793667
18,-1.0,0.009840554557740688
19,-1.0,0.027353329584002495
20,-1.0,0.00683774147182703
21,-1.0,0.006382536608725786
22,-1.0,0.011712955310940742
23,-1.0,0.009927275590598583
24,-1.0,0.02608952298760414
25,-1.0,0.006865931674838066
26,-1.0,0.006338044535368681
27,-1.0,0.010017878375947475
28,-1.0,0.01009966991841793
29,-1.0,0.028651604428887367
30,-1.0,0.02396777831017971
31,-1.0,0.1453671157360077
32,-1.0,3.1123734515858814e-05
33,-1.0,0.0834275558590889
34,-1.0,0.056350454688072205
35,-1.0,0.029763948172330856
36,-1.0,0.008177070878446102
37,-1.0,0.0102297468110919
38,1.0,0.1755271852016449
39,1.0,0.06370801478624344
40,1.0,0.028528667986392975
41,1.0,0.042964283376932144
42,-1.0,0.07741304486989975
43,-1.0,0.01642346940934658
44,-1.0,0.0002473123022355139
45,-1.0,0.0011894640047103167
46,-1.0,0.0014294161228463054
47,-1.0,0.0
48,-1.0,0.0006826901808381081
49,-1.0,0.003595290007069707
50,1.0,0.014986852183938026
51,1.0,0.009722319431602955
52,1.0,0.0010714333038777113
53,1.0,0.002384813502430916
54,1.0,0.0014394012978300452
55,1.0,0.016119334846735
56,1.0,0.003370161633938551
57,1.0,0.012177509255707264
58,1.0,0.006297620944678783
59,1.0,0.011821292340755463
60,1.0,0.0
61,1.0,0.0023441568482667208
62,1.0,0.0
63,1.0,0.0009736274369060993
64,1.0,0.0009909808868542314
65,1.0,0.0006623279768973589
66,1.0,0.0050353193655610085
67,1.0,0.055776968598365784
68,1.0,2.286698145326227e-05
69,1.0,0.0639086589217186
70,1.0,0.11367037892341614
71,1.0,0.11382981389760971
72,1.0,0.014009225182235241
73,1.0,2.612187927297782e-05
74,1.0,0.04095585271716118
75,1.0,0.004234987311065197
76,1.0,0.02170425094664097
77,1.0,0.03925008326768875
