strategy,dataset,NO,predicted_strength_kPa,rf_pred_from_initial,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm
RFR-RFR,EI,1,115.3857041755131,129.55218275499226,0.06884542092530306,0.32659784674289927,0.029678038914051935,0.33709696774407394,0.22780497069414712,0.009976754979524381
RFR-RFR,EI,2,182.9865534324133,154.5683857753214,0.0705569241329276,0.28289794171587374,0.019934387044717033,0.040593946600422585,0.38380140523527995,0.20221539527078194
RFR-RFR,EI,3,149.58244869072894,188.48425037850848,0.019795136119078297,0.45561467165176217,0.0693951389729064,0.049429891497451035,0.16830769773315357,0.2374574640256487
RFR-RFR,EI,4,87.98301486199576,111.82357987246175,0.07000394945633134,0.3797019603386503,0.03986354608559462,0.05035568111607122,0.13997395371555724,0.32010090928779855
RFR-RFR,EI,5,123.14225053078556,106.27597220818028,0.09135703872266165,0.42406318890205646,0.060534257477514106,0.2320105921667729,0.14137585140767983,0.05065907132331367
RFR-RFR,EI,6,37.310686482661005,93.10468207161766,0.09943975697769035,0.08119328219560237,0.1790867092533545,0.06978178038710518,0.14936616968528024,0.4211323015009711
RFR-RFR,EI,7,65.84571832979476,83.65684902133592,0.227224803109542,0.09873085979990148,0.2572130615716996,0.07912182520738337,0.14841845038052473,0.18929099993094667
RFR-RFR,EI,8,37.14083510261854,151.92540266684645,0.02050118733233578,0.319769269353473,0.04003455579891344,0.04053218574791113,0.059931601695884,0.5192312000714863
RFR-RFR,EI,9,93.36164189667375,143.35555724058904,0.12129440786166334,0.34304732594513415,0.04073460810304279,0.040604246190731726,0.4543194118994327,0.0
RFR-RFR,EI,10,123.14225053078556,95.6445782327029,0.1793287325198463,0.2501117032747501,0.12054717063892714,0.15981108323826002,0.2699873548489832,0.020213955479231358
RFR-GP,EI,1,121.27388535031847,192.36116137503726,0.0,0.2527142641696688,0.03983828851648235,0.11149497883067107,0.3333308161401877,0.26262165234298546
