strategy,dataset,NO,predicted_strength_kPa,rf_pred_from_initial,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm
RFR-GP-2rd-pred,PRED,9,221.20311394196744,236.23852283719748,0.0,0.5501050144621554,0.0,0.06018156396831008,0.3098132536408657,0.07990016792866723
RFR-GP-2rd-ei,EI,1,221.20311394196744,236.23852283719748,0.0,0.5501050144621554,0.0,0.06018156396831008,0.3098132536408657,0.07990016792866723
GP-GP-2rd-ei,EI,1,221.20311394196744,236.23852283719748,0.0,0.5501050144621554,0.0,0.06018156396831008,0.3098132536408657,0.07990016792866723
old-SM-GP,PRED,9,195.78202406227885,235.92615442555098,0.03907273745472384,0.5346089048230481,0.0,0.05942050861521831,0.27780921421484706,0.08908863489216619
RFR-GP-3rd-pred,PRED,4,101.3446567586695,235.7334559379622,0.0,0.539657245652324,0.0,0.06001198946971338,0.25011739945820494,0.15021336541975822
RFR-GP-3rd-ei,EI,1,101.3446567586695,235.7334559379622,0.0,0.539657245652324,0.0,0.06001198946971338,0.25011739945820494,0.15021336541975822
GP-GP-3rd-ei,EI,1,101.6277423920736,235.7334559379622,0.0,0.5444484379756863,0.0,0.0603759927335358,0.25242859298617726,0.14274697630459565
old-SM-GP,PRED,4,308.9030431705591,234.63345567924995,0.0,0.5698486315050519,0.0,0.06012094390784448,0.3700304245871038,0.0
GP-GP-2rd-ei,EI,8,241.13234253361642,233.34386986049216,0.0,0.6402880697187442,0.0,0.04991790454403562,0.30979402573722414,0.0
GP-GP-2rd-ei,EI,6,253.70134465675866,233.34386986049216,0.0,0.610219200084122,0.0,0.050019276625789845,0.3397615232900878,0.0
GP-GP-3rd-pred,PRED,8,200.08492569002124,233.34386986049216,0.0,0.6299155888485775,0.0,0.05005227827225272,0.32003213287917,0.0
GP-GP-2rd-pred,PRED,4,241.13234253361642,233.34386986049216,0.0,0.6402880697187442,0.0,0.04991790454403562,0.30979402573722414,0.0
GP-GP-3rd-ei,EI,6,200.08492569002124,233.34386986049216,0.0,0.6299155888485775,0.0,0.05005227827225272,0.32003213287917,0.0
GP-GP-2rd-pred,PRED,5,253.70134465675866,233.34386986049216,0.0,0.610219200084122,0.0,0.050019276625789845,0.3397615232900878,0.0
GP-GP-2rd-ei,EI,2,263.722576079264,233.13258125918233,0.009907477744653136,0.605806079851102,0.0,0.060777477665002556,0.3235089647392457,0.0
GP-GP-2rd-ei,EI,5,281.6135881104034,233.13258125918233,0.0,0.629477516904649,0.0,0.060727362401018864,0.30979512069433035,0.0
GP-GP-2rd-pred,PRED,10,281.6135881104034,233.13258125918233,0.0,0.629477516904649,0.0,0.060727362401018864,0.30979512069433035,0.0
RFR-GP,PRED,7,303.86411889596604,232.8485088292925,0.0,0.65651189340022,0.0,0.06067586529899036,0.2828122413007896,0.0
GP-GP-2rd-pred,PRED,7,206.70912951167728,232.3418929791522,0.0,0.6060517709231227,0.0,0.04048352420304563,0.3534647048738314,0.0
GP-GP-2rd-pred,PRED,3,196.4614295824487,232.3418929791522,0.0,0.6100651329642471,0.0,0.03997199321789556,0.34996287381786156,0.0
