level,family,rmse_persistence,rmse_linear,mae_persistence,mae_linear,corr_persistence,corr_linear,increment_mean_abs,input_tendency_mean_abs,linear_rmse_improvement_frac
R100,R,14.195806188166843,24.587617459937967,11.334341733032208,19.62086491417155,-0.004520378741176376,-0.0023358764437005257,11.334341733032208,11.319104746383319,-0.7320338932517545
R1000,R,14.094760201223862,24.447580471723168,11.21735208924958,19.46093907611478,0.005625768319363123,0.00532332268553246,11.21735208924958,11.27184490077686,-0.7345155307857143
R150,R,14.202067379174961,24.690255925710566,11.322157316909404,19.7029277625263,-0.007731519405536657,-0.011307809126668693,11.322157316909404,11.345761480208392,-0.738497309336445
R200,R,14.061332132793435,24.380502500247655,11.216832150698272,19.482023767736802,0.004040386638556716,0.0011139027197644878,11.216832150698272,11.22906362373585,-0.7338686171410564
R250,R,14.130360736822084,24.42898757229557,11.252762907937122,19.455414009745912,0.0018933731683874271,0.0016871355890045426,11.252762907937122,11.242424142832526,-0.7288297183126016
R300,R,14.123043792692735,24.45718036266174,11.263718923229078,19.4783594976618,0.006765890774716425,0.007948967619442929,11.263718923229078,11.281533110460593,-0.7317216261352875
R400,R,14.090543721083705,24.428440223774796,11.253370344280626,19.496711985259605,0.006782516225963542,0.005776875692220324,11.253370344280626,11.280627060053094,-0.7336761949946955
R50,R,14.184759561748786,24.58917203228979,11.325323096718172,19.60159446545511,-0.00392048927019024,-0.0038750810993818433,11.325323096718172,11.298869125533615,-0.7334923391016073
R500,R,14.143078671865855,24.51936604854207,11.292270934671116,19.550329850724566,0.0010376162085934653,-0.002150148096010736,11.292270934671116,11.275960106452336,-0.7336653933289126
R600,R,14.098050911996857,24.485153735606378,11.2495566763898,19.513877369143135,0.010613321631780099,0.010721361682733773,11.2495566763898,11.3237738277985,-0.7367758059924813
R700,R,14.205899113553896,24.597015456439532,11.330128499196457,19.626931579048815,-0.003567229143739365,-0.0014347153915656016,11.330128499196457,11.338524676021235,-0.731464883695495
R850,R,14.131276036463293,24.491600064120227,11.292054805445778,19.568541256059085,-0.0017849182743763028,-0.003398698970859622,11.292054805445778,11.281875868514941,-0.7331485140424634
R925,R,14.07363625336299,24.37744914502152,11.226397504617378,19.426797907029492,0.008310816509312402,0.007223858341811281,11.226397504617378,11.193359250676592,-0.7321357967594454
T100,T,14.154654011097255,24.429602096903988,11.284159461802489,19.48146914516497,-0.00258172342583659,-0.0013198184261612187,11.284159461802489,11.246449524692883,-0.7259059866635502
T1000,T,14.11406459227115,24.46708365239088,11.247668904329277,19.540907798796795,0.005875003368521681,0.0028047614873234305,11.247668904329277,11.304715918012285,-0.7335249879605222
T150,T,14.122189862752569,24.476071257228497,11.264321389512515,19.54618251993668,0.000284554289759176,0.0008036191471797904,11.264321389512515,11.279086648869269,-0.7331640131665702
T200,T,14.207845552069845,24.641526723044855,11.332033845525197,19.641361588269994,-0.0011832505926491423,-0.003321267077287038,11.332033845525197,11.33134810647596,-0.7343605427534365
T250,T,14.065988845563382,24.413084193527357,11.23093632817069,19.498736680640352,0.003013731282503687,-0.00013944395146159246,11.23093632817069,11.245489372951454,-0.7356109450653802
T300,T,14.12945819550359,24.479349199974983,11.284783649183488,19.52793911877123,0.0011133735535045054,-0.001033383154596275,11.284783649183488,11.276737954492134,-0.7325044500124593
T400,T,14.170113951807373,24.592466848051572,11.301247871396837,19.594491007240503,-0.000907282371378967,-0.003193395944447254,11.301247871396837,11.318989548458424,-0.7355165196053237
T50,T,14.130469963509706,24.56462001279143,11.26875081463292,19.589359904486837,-0.002781661363056543,-0.002872683429731371,11.26875081463292,11.304787326752418,-0.7384149342680536
