UMAP1,UMAP2,annotated_age,state,phase,pseudotime
23.79464,6.729696,6.933333332999999,cycling,S,0.4482168
25.850395,4.91457,16.26666667,cycling,G2,0.7031802
25.064592,7.2849183,2.666666667,arrested,G0,0.5208226
19.99821,9.512642,0.26666666699999997,cycling,G1,0.16400193
22.670513,8.367889,12.8,cycling,G2,0.29215813
26.328491,7.229955,10.13333333,cycling,S,0.59993577
22.095375,8.304587,4.533333333,cycling,G1,0.3452685
24.25895,8.435547,18.66666667,cycling,G2,0.48047683
26.829086,7.119436,1.6,cycling,G1,0.6642361
26.200684,7.234576,15.46666667,cycling,G1,0.58403724
20.603283,5.2462206,5.066666667,cycling,G1,0.40443045
20.272957,4.426032,6.4,cycling,G1,0.41351986
20.81301,4.612114,0.26666666699999997,cycling,G1,0.41501117
26.378275,4.9009323,7.733333332999999,cycling,S,0.69065183
23.264776,5.0907774,5.333333333,cycling,S,0.4887749
22.954947,8.018192,8.533333333,cycling,S,0.31573415
20.649359,6.757133,9.333333332999999,cycling,S,0.41975662
24.781025,6.2073812,16.26666667,cycling,G2,0.5576286
21.294573,7.766034,18.13333333,cycling,G2,0.26791635
20.89991,5.6540794,4.8,cycling,G1,0.42263976
22.269327,7.649626,3.4666666669999997,cycling,G1,0.2910325
21.207827,4.6159763,6.933333332999999,cycling,G1,0.38503033
21.931889,7.472882,7.2,cycling,S,0.3982275
22.269466,7.137837,16.8,cycling,S,0.680235
22.24007,7.1576214,20.0,cycling,G2,0.41832802
22.705307,6.6216707,10.93333333,cycling,S,0.37175876
22.137997,7.9705286,4.8,cycling,G1,0.2915707
25.757008,5.5544214,8.0,cycling,S,0.73030555
20.845446,7.3806176,9.6,cycling,S,0.27368754
20.060432,9.847139,5.6,cycling,S,0.065283865
26.556389,5.3637743,5.066666667,cycling,G1,0.7686415
21.586927,8.949479,4.266666667,cycling,G1,0.20593302
22.231108,7.000902,18.93333333,arrested,G0,0.4642169
24.56963,6.673537,5.8666666670000005,cycling,G1,0.50883424
20.903082,4.1246905,8.0,cycling,S,0.47247955
19.040352,7.2566624,7.2,cycling,S,0.22434668
19.64155,7.317589,10.93333333,cycling,S,0.23347408
26.049,5.4683094,4.266666667,cycling,G1,0.64434975
21.169281,4.4608827,13.86666667,cycling,G2,0.46739638
19.76239,7.948056,8.266666667,arrested,G0,0.17556158
20.78588,9.105411,7.2,cycling,S,0.051008783
21.264431,6.5586944,18.4,cycling,G2,0.3846271
26.134895,5.197994,9.6,cycling,S,0.70436233
21.00825,8.389393,5.066666667,cycling,G1,0.21902752
28.792736,5.0203013,3.2,cycling,G1,0.7422858
24.84113,7.0856776,1.333333333,cycling,G1,0.5169326
18.7814,5.9957337,4.266666667,cycling,G1,0.32305637
25.635277,4.8991914,5.8666666670000005,cycling,S,0.7013724
23.203972,7.2052383,2.133333333,cycling,G1,0.49176198
21.946236,7.1887856,14.13333333,cycling,S,0.39562875
21.670547,7.531869,17.33333333,cycling,G2,0.35345095
20.072811,8.263729,9.866666667,cycling,G1,0.13747737
