alignment_source,bin,mean_predicted_probability,observed_fraction_positive
Nanopolish,1,0.008891538360410985,0.004
Nanopolish,2,0.09438150661792767,0.012
Nanopolish,3,0.16382475489232523,0.036
Nanopolish,4,0.22269708865080354,0.038
Nanopolish,5,0.2789650415354814,0.07
Nanopolish,6,0.3326375854976361,0.102
Nanopolish,7,0.39141881795135824,0.134
Nanopolish,8,0.4580745447223546,0.244
Nanopolish,9,0.565104867422076,0.514
Nanopolish,10,0.7748109507789808,0.894
Uncalled4,1,0.002465074292809355,0.0
Uncalled4,2,0.06364718453874538,0.0
Uncalled4,3,0.12289198073819066,0.0
Uncalled4,4,0.1724690373253714,0.0
Uncalled4,5,0.21997428386673862,0.0
Uncalled4,6,0.27110244675269085,0.002
Uncalled4,7,0.33218033119825974,0.004
Uncalled4,8,0.44360084488031626,0.104
Uncalled4,9,0.6976268503978091,0.938
Uncalled4,10,0.9076688882364361,1.0
