alignment_source,fpr,tpr,threshold
Nanopolish,0.0,0.0,inf
Nanopolish,0.0,0.0263671875,1.0
Nanopolish,0.0,0.05859375,0.9118713338075338
Nanopolish,0.00025150905432595576,0.05859375,0.9115030231341592
Nanopolish,0.00025150905432595576,0.078125,0.885231110583381
Nanopolish,0.0005030181086519115,0.078125,0.883966595579669
Nanopolish,0.0005030181086519115,0.0947265625,0.8634467312651894
Nanopolish,0.0007545271629778672,0.0947265625,0.8621103080574722
Nanopolish,0.0007545271629778672,0.125,0.8324261554639356
Nanopolish,0.001006036217303823,0.125,0.8322116244847187
Nanopolish,0.001006036217303823,0.1279296875,0.8278876066847431
Nanopolish,0.0012575452716297787,0.1279296875,0.826878802814377
Nanopolish,0.0012575452716297787,0.1748046875,0.7871453815591859
Nanopolish,0.0015090543259557343,0.1748046875,0.7869858134469375
Nanopolish,0.0015090543259557343,0.236328125,0.7571578362061924
Nanopolish,0.0017605633802816902,0.236328125,0.7563428568301847
Nanopolish,0.0017605633802816902,0.2470703125,0.7505206919088296
Nanopolish,0.002012072434607646,0.2470703125,0.7496701633982392
Nanopolish,0.002012072434607646,0.298828125,0.7219334467756601
Nanopolish,0.0022635814889336017,0.298828125,0.721237812035834
Nanopolish,0.0022635814889336017,0.3017578125,0.7189501158618813
Nanopolish,0.0025150905432595573,0.3017578125,0.7185753061038829
Nanopolish,0.0025150905432595573,0.3046875,0.7172521982527612
Nanopolish,0.002766599597585513,0.3046875,0.716374360188035
Nanopolish,0.002766599597585513,0.306640625,0.7151928857793994
Nanopolish,0.0030181086519114686,0.306640625,0.7146838068798831
Nanopolish,0.0030181086519114686,0.3076171875,0.7140961067093653
Nanopolish,0.0032696177062374247,0.3076171875,0.7140615922018879
Nanopolish,0.0032696177062374247,0.3115234375,0.7111823730127704
Nanopolish,0.003772635814889336,0.3115234375,0.7104766354347822
Nanopolish,0.003772635814889336,0.3125,0.7102996588623427
Nanopolish,0.004024144869215292,0.3125,0.7097336263238834
Nanopolish,0.004024144869215292,0.330078125,0.7002687380276355
Nanopolish,0.004275653923541248,0.330078125,0.6997127189010207
Nanopolish,0.004275653923541248,0.337890625,0.6955973269918092
Nanopolish,0.004527162977867203,0.337890625,0.6947805649783645
Nanopolish,0.004527162977867203,0.33984375,0.6943058032722456
Nanopolish,0.004778672032193159,0.33984375,0.6936673671371416
Nanopolish,0.004778672032193159,0.3408203125,0.6936198628360266
Nanopolish,0.005030181086519115,0.3408203125,0.6932826121849175
Nanopolish,0.005030181086519115,0.341796875,0.6931065348211014
Nanopolish,0.00528169014084507,0.341796875,0.6925761354517974
Nanopolish,0.00528169014084507,0.34375,0.6919386485373662
Nanopolish,0.005533199195171026,0.34375,0.691737398040345
Nanopolish,0.005533199195171026,0.3447265625,0.6914067537890376
Nanopolish,0.005784708249496982,0.3447265625,0.691357734036402
Nanopolish,0.005784708249496982,0.3486328125,0.689911347473295
Nanopolish,0.006036217303822937,0.3486328125,0.6892451747622655
Nanopolish,0.006036217303822937,0.349609375,0.6890971077248129
Nanopolish,0.006287726358148894,0.349609375,0.6889812552045735
Nanopolish,0.006287726358148894,0.3505859375,0.6875909211535716
Nanopolish,0.006539235412474849,0.3505859375,0.6873621893994795
Nanopolish,0.006539235412474849,0.3671875,0.6794228911907411
Nanopolish,0.006790744466800805,0.3671875,0.6791318882585211
Nanopolish,0.006790744466800805,0.3681640625,0.6786542433243415
Nanopolish,0.007042253521126761,0.3681640625,0.6774107212884958
Nanopolish,0.007042253521126761,0.3720703125,0.6738381029032348
Nanopolish,0.007293762575452716,0.3720703125,0.6736946643599855
Nanopolish,0.007293762575452716,0.3876953125,0.6669743833197224
Nanopolish,0.007545271629778672,0.3876953125,0.6669733104863054
Nanopolish,0.007545271629778672,0.390625,0.6661315056419399
Nanopolish,0.007796780684104628,0.390625,0.666012571934389
Nanopolish,0.007796780684104628,0.3935546875,0.6651175885435893
Nanopolish,0.008048289738430584,0.3935546875,0.6644099395933551
Nanopolish,0.008048289738430584,0.39453125,0.6636811968555216
Nanopolish,0.00829979879275654,0.39453125,0.6636702092203222
Nanopolish,0.00829979879275654,0.3984375,0.6622432144821601
Nanopolish,0.008551307847082495,0.3984375,0.662106712407307
Nanopolish,0.008551307847082495,0.3994140625,0.6618966522694538
Nanopolish,0.008802816901408451,0.3994140625,0.6616899843512962
Nanopolish,0.008802816901408451,0.40234375,0.6605998562810375
Nanopolish,0.009557344064386318,0.40234375,0.658921790886795
Nanopolish,0.009557344064386318,0.404296875,0.6584400292576127
Nanopolish,0.009808853118712274,0.404296875,0.6582692386162442
Nanopolish,0.009808853118712274,0.4072265625,0.6554362762476712
Nanopolish,0.01006036217303823,0.4072265625,0.6551833380387527
Nanopolish,0.01006036217303823,0.412109375,0.6540580291671676
Nanopolish,0.010311871227364185,0.412109375,0.6537557059549397
Nanopolish,0.010311871227364185,0.4140625,0.6524290347181386
Nanopolish,0.01056338028169014,0.4140625,0.6519110240224408
Nanopolish,0.01056338028169014,0.4150390625,0.6518844493192111
Nanopolish,0.010814889336016096,0.4150390625,0.6518166817241369
Nanopolish,0.010814889336016096,0.416015625,0.6515279504804188
Nanopolish,0.011066398390342052,0.416015625,0.6511757425965474
Nanopolish,0.011066398390342052,0.4169921875,0.6506729147950802
Nanopolish,0.011317907444668008,0.4169921875,0.6504081221214317
Nanopolish,0.011317907444668008,0.421875,0.6486625279320717
Nanopolish,0.011569416498993963,0.421875,0.6485281387432712
Nanopolish,0.011569416498993963,0.423828125,0.6481517752318072
Nanopolish,0.011820925553319919,0.423828125,0.6480353676147883
Nanopolish,0.011820925553319919,0.42578125,0.6477943806780555
Nanopolish,0.012072434607645875,0.42578125,0.6477218186828371
Nanopolish,0.012072434607645875,0.427734375,0.6473438108590128
Nanopolish,0.01232394366197183,0.427734375,0.6472475155719357
Nanopolish,0.01232394366197183,0.4326171875,0.645020498602651
Nanopolish,0.013078470824949699,0.4326171875,0.6425724599304277
Nanopolish,0.013078470824949699,0.4365234375,0.6410526127071273
Nanopolish,0.013329979879275655,0.4365234375,0.6400468295744599
Nanopolish,0.013329979879275655,0.44140625,0.6391505589945634
Nanopolish,0.01358148893360161,0.44140625,0.6391116170029729
Nanopolish,0.01358148893360161,0.4482421875,0.6359237787793257
