task_index,task,placeholder_mean_score,n_grader_judgements,in_paper,prompt_quality,follow_instructions,physics_logic,math_derivation,final_answer_accuracy,answer_mean_score
1,"Construct Kinetic Hamiltonian (continuum version, single-particle)",1.28,25,1.0,1.0,1.0,2.0,2.0,1.0,1.3333333333333333
2,Define each term in Kinetic Hamiltonian (continuum version),1.4333333333333333,30,2.0,2.0,1.0,2.0,2.0,1.0,1.6666666666666667
3,Construct Potential Hamiltonian (continuum version),1.1428571428571428,21,1.0,2.0,2.0,2.0,2.0,2.0,1.8333333333333333
4,Define each term in Potential Hamiltonian (continuum version),1.4,15,2.0,2.0,2.0,2.0,2.0,2.0,2.0
5,"Convert from single-particle to second-quantized form, return in matrix",1.6666666666666667,21,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6,"Convert from single-particle to second-quantized form, return in summation (expand the matrix)",1.6666666666666667,12,2.0,2.0,2.0,2.0,1.0,1.0,1.6666666666666667
7,Convert noninteracting Hamiltonian in real space to momentum space (continuum version),1.8,20,2.0,2.0,2.0,2.0,2.0,1.0,1.8333333333333333
8,Particle-hole transformation,1.7916666666666667,24,0.0,2.0,2.0,2.0,2.0,2.0,1.6666666666666667
9,Simplify the Hamiltonian in the particle-hole basis,1.9047619047619047,21,2.0,1.0,2.0,2.0,2.0,2.0,1.8333333333333333
10,Construct interaction Hamiltonian (momentum space),1.52,25,2.0,2.0,2.0,2.0,2.0,2.0,2.0
11,Wick's theorem,2.0,9,0.0,2.0,2.0,2.0,2.0,2.0,1.6666666666666667
12,Extract quadratic term,2.0,12,0.0,2.0,2.0,2.0,2.0,2.0,1.6666666666666667
13,Swap the index to combine Hartree and Fock terms,1.5555555555555556,9,2.0,1.0,2.0,2.0,2.0,2.0,1.8333333333333333
14,Reduce momentum in Hartree term (momentum in BZ + reciprocal lattice),,0,2.0,2.0,2.0,2.0,1.0,2.0,1.8333333333333333
15,Reduce momentum in Fock term (momentum in BZ + reciprocal lattice),,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
16,Combine the Hartree and Fock term,,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
