feature,importance
Feature_3,0.07207694914813384
Feature_4,0.07071294213828616
Feature_1,0.06975645286505161
Feature_0,0.06903148861092269
Feature_2,0.06823509674367964
Feature_5,0.04891973787799465
Feature_8,0.048502487361388645
Feature_6,0.048399527862332016
Feature_7,0.04776793276616123
Feature_9,0.046501800899351874
Feature_11,0.04330717799885069
Feature_19,0.043301840641321254
Feature_14,0.04223539604363588
Feature_18,0.0420550662861949
Feature_16,0.041685088118520695
Feature_17,0.041494612662545526
Feature_10,0.0393340704350363
Feature_13,0.03918498230752329
Feature_15,0.038802047774328885
Feature_12,0.03869530145874025
