dataset,task,n_labeled,positive_rate,skipped
bace,label,700,0.8528571724891663,0
bbbp,label,900,0.507777750492096,0
clintox,FDA_APPROVED,900,0.9422222375869751,0
clintox,CT_TOX,900,0.07111111283302307,0
hiv,label,2000,0.03999999910593033,0
muv,MUV-466,392,0.0,0
muv,MUV-548,408,0.007352941203862429,0
muv,MUV-600,350,0.0057142856530845165,0
muv,MUV-644,377,0.005305039696395397,0
muv,MUV-652,405,0.0,0
muv,MUV-689,344,0.0,0
muv,MUV-692,372,0.0,0
muv,MUV-712,365,0.005479452200233936,0
muv,MUV-713,392,0.0025510203558951616,0
muv,MUV-733,360,0.0,0
muv,MUV-737,345,0.0,0
muv,MUV-810,344,0.0058139534667134285,0
muv,MUV-832,400,0.0,0
muv,MUV-846,357,0.002801120514050126,0
muv,MUV-852,295,0.0,0
muv,MUV-858,356,0.0,0
muv,MUV-859,372,0.005376344081014395,0
