element,full_mean,reduced_mean,marginal_contribution
mut28,0.9427470300116586,0.8662650264849658,0.07648200352669277
mut19,0.9427470300116586,0.8756144490254367,0.06713258098622188
mut15,0.9427470300116586,0.8852249399632537,0.05752209004840492
mut33,0.9427470300116586,0.9140283677603965,0.028718662251262073
mut11,0.9427470300116586,0.9262929785319115,0.0164540514797471
mut20,0.9427470300116586,0.9270064884119701,0.015740541599688518
mut39,0.9427470300116586,0.937408471761469,0.0053385582501895845
mut12,0.9427470300116586,0.9377114469502306,0.0050355830614280395
mut26,0.9427470300116586,0.9407090734462673,0.0020379565653912968
mut44,0.9427470300116586,0.9421157873561423,0.0006312426555162842
