cell_id,sum_log_p_no_response,p_no_response,p_response,rep
0,-3.0641080852508376,0.04669547167649757,0.9533045283235024,0
1,-2.0764000897131814,0.12538076023429726,0.8746192397657028,0
2,-2.169337677039118,0.11425326441691004,0.8857467355830899,0
3,-3.4580509379947717,0.031491080310516256,0.9685089196894837,0
4,-3.560085781762391,0.028436385286310897,0.9715636147136891,0
5,-2.039131938050842,0.13014163285918404,0.869858367140816,0
6,-3.6326319282501025,0.026446487472963614,0.9735535125270364,0
7,-3.02108938222016,0.04874808412940615,0.9512519158705939,0
8,-2.8376391231575187,0.05856376471921508,0.9414362352807849,0
9,-2.9960161351442376,0.04998580893473214,0.9500141910652679,0
10,-2.4364004265738823,0.08747515869330909,0.9125248413066909,0
11,-3.349365200446725,0.0351066327036306,0.9648933672963694,0
12,-3.4946465876571535,0.030359475954416595,0.9696405240455834,0
13,-3.6075586811741798,0.027117969730033175,0.9728820302699668,0
14,-4.14341803917273,0.01586851948171553,0.9841314805182845,0
15,-17.7797056945692,1.8983309436219666e-08,0.9999999810166905,0
16,-2.4364004265738823,0.08747515869330909,0.9125248413066909,0
17,-2.7524813402140316,0.06376943107471565,0.9362305689252843,0
18,-1.9586170679456851,0.1410533533045103,0.8589466466954897,0
19,-3.9975031933612737,0.018361426635291975,0.9816385733647081,0
20,-3.0572291343916227,0.04701779488323211,0.9529822051167679,0
21,-2.8746796371855035,0.056434216032380996,0.943565783967619,0
22,-2.700326459564536,0.06718357643817886,0.9328164235618212,0
23,-3.255526892930915,0.038560498056086814,0.9614395019439131,0
24,-2.724082457359003,0.06560637175358018,0.9343936282464198,0
25,-4.362146576393665,0.01275098728326913,0.9872490127167308,0
26,-2.8784609260111043,0.05622122490618038,0.9437787750938196,0
27,-3.5882566769830477,0.027646485190366638,0.9723535148096334,0
28,-2.8216629575232695,0.05950690293037633,0.9404930970696237,0
29,-3.786782584267841,0.022668418373692968,0.9773315816263071,0
30,-2.7855233386851674,0.061696792262480066,0.93830320773752,0
31,-3.4176851659654663,0.03278824650851701,0.967211753491483,0
32,-4.778905502232136,0.008405193400345646,0.9915948065996544,0
33,-3.0889537224701744,0.045549586991185505,0.9544504130088145,0
34,-3.5430199767032717,0.028925839681772276,0.9710741603182277,0
35,-3.0776593352958543,0.046066957855946215,0.9539330421440538,0
36,-3.4301078831862464,0.03238344695500918,0.9676165530449908,0
37,-2.9802677821443515,0.05077923427187382,0.9492207657281262,0
38,-4.162720151696775,0.015565160684422619,0.9844348393155774,0
39,-2.7728727810522567,0.062482248845525584,0.9375177511544744,0
40,-2.9312496180389664,0.05333035391668844,0.9466696460833116,0
41,-3.5430199767032717,0.028925839681772276,0.9710741603182277,0
42,-3.8639718185938916,0.02098448720846789,0.9790155127915321,0
43,-1.5123304153172599,0.22039576536018185,0.7796042346398182,0
44,-3.2191592586806728,0.039988664254043856,0.9600113357459561,0
45,-3.713819503132993,0.024384209614175197,0.9756157903858248,0
46,-3.0685622538541812,0.04648794469582317,0.9535120553041768,0
47,-3.8431247247091727,0.021426544579405446,0.9785734554205946,0
48,-3.2757294145341445,0.037789295112976545,0.9622107048870234,0
49,-2.8782329105989644,0.05623404567355911,0.943765954326441,0
50,-2.4851907780449043,0.08330965934197555,0.9166903406580245,0
51,-3.5875839722053136,0.027665089369900402,0.9723349106300996,0
52,-2.5621519969588147,0.07713855975126889,0.9228614402487311,0
53,-2.0107330551958134,0.13389048956660532,0.8661095104333947,0
54,-3.2633066973133644,0.038261668847939384,0.9617383311520606,0
55,-2.7118875527725863,0.06641133343699337,0.9335886665630067,0
56,-3.944931553064651,0.019352540946464474,0.9806474590535356,0
57,-2.9068598088661335,0.054647062941643454,0.9453529370583565,0
58,-2.1815325816255347,0.11286841795621151,0.8871315820437885,0
59,-4.284957208734254,0.013774210924603887,0.9862257890753962,0
60,-3.6563490048674336,0.025826633718163187,0.9741733662818368,0
61,-3.365113525668844,0.03455809266471826,0.9654419073352818,0
62,-1.800000089052565e-05,0.9999820001611086,1.7999838891391562e-05,0
63,-1.971039785166465,0.13931192640558734,0.8606880735944127,0
64,-3.129547482133851,0.04373758481385128,0.9562624151861487,0
65,-3.1783376586048644,0.041654842167437936,0.958345157832562,0
66,-3.440985307935662,0.03203310729854891,0.9679668927014511,0
67,-2.9392181388786347,0.05290707855910568,0.9470929214408943,0
68,-3.3371702958603096,0.03553737583733451,0.9644626241626655,0
69,-3.2349078144583356,0.03936383354916864,0.9606361664508314,0
70,-2.6550897870625287,0.0702925270223617,0.9297074729776383,0
71,-3.4704736552155513,0.0311022954071862,0.9688977045928138,0
72,-3.324519563227389,0.03598980542648643,0.9640101945735136,0
73,-3.656804657913928,0.025814868414480607,0.9741851315855194,0
74,-3.6767403207057288,0.025305327793233384,0.9746946722067666,0
75,-4.187793468217114,0.015179742531130141,0.9848202574688698,0
76,-3.8193689296924824,0.021941643245604207,0.9780583567543958,0
77,-4.706359383522191,0.009037620271624917,0.9909623797283751,0
78,-2.987819571114661,0.050397204530152895,0.9496027954698472,0
79,-3.445856236186132,0.03187745572283499,0.968122544277165,0
80,-3.5148489064826065,0.029752297993857743,0.9702477020061423,0
81,-2.7367329872141455,0.06478164400930785,0.9352183559906921,0
