n_eff_m2,n_eff_1e11_cm2,D_s_conv,D_s_geom,D_s_exp_hole,D_s_exp_electron,geom_over_conv,hole_over_conv,electron_over_conv,hole_over_geom,electron_over_geom,hole_electron_asymmetry_pct
500000000000000.0,0.5,1146423680.0,4913244330.0,38560434300.0,36632412600.0,4.285714274499284,33.635413305489294,31.953642653298996,7.848263125151767,7.455849971947151,5.128205087284705
591836735000000.0,0.591836735,1246965640.0,5346281590.0,42426582100.0,40305252900.0,4.287432964071087,34.02385818746377,32.32266520190564,7.935717822899036,7.538931913984725,5.128205363751451
683673469000000.0,0.683673469,1340397780.0,5746277900.0,45242323800.0,42980207600.0,4.286994492038028,33.752908632838825,32.06526319373641,7.873326801684965,7.47966045986046,5.1282051514563545
775510204000000.0,0.775510204,1427821720.0,6119235970.0,49380853200.0,46911800500.0,4.285714304724262,34.58474717697949,32.85550278644031,8.06977430550043,7.666283949497702,5.1282265159964115
867346939000000.0,0.867346939,1510026340.0,6469685590.0,51970402000.0,49371881900.0,4.284485256065136,34.416884410109034,32.69604018960358,8.032909988752637,7.631264489315005,5.128205128205129
959183673000000.0,0.959183673,1587609490.0,6801040470.0,55795644800.0,53005862500.0,4.283824525387537,35.14443895141997,33.38721696605631,8.203986587952182,7.793787249732393,5.128205241325733
1051020410000000.0,1.05102041,1661033850.0,7115996370.0,59034137700.0,56082430800.0,4.28407667309128,35.540598826447756,33.76356887609485,8.295976365148146,7.881177544782812,5.128205154933887
1142857140000000.0,1.14285714,1730665290.0,7416699260.0,63289136500.0,60124679700.0,4.285461378843508,36.56925279873152,34.740790173240256,8.533329218475012,8.106662760922033,5.128205086652202
1234693880000000.0,1.23469388,1796799610.0,7704855340.0,66653475900.0,63320802100.0,4.2880994058096435,37.0956647191169,35.24088148037833,8.650840665880692,8.218298631937715,5.128205136096236
1326530610000000.0,1.32653061,1859679410.0,7981823180.0,70528009100.0,67001608600.0,4.292042562325299,37.92482119270224,36.02858010886941,8.836077611531355,8.394273725316976,5.128205195323538
1418367350000000.0,1.41836735,1919504260.0,8248661410.0,73896121100.0,70201315000.0,4.29728736835416,38.49750304800053,36.57262787215695,8.95855914396176,8.510631181308241,5.128205192264347
1510204080000000.0,1.51020408,1976439910.0,8506185460.0,78618366300.0,74687448000.0,4.303791588584143,39.77776703567982,37.78887869148524,9.242493791100577,8.78036910330897,5.128205108134637
1602040820000000.0,1.60204082,2030624130.0,8755031980.0,81473180000.0,77399521000.0,4.311498051586731,40.12223571872949,38.116123932793016,9.305868920423977,8.84057547440278,5.128205128205129
1693877550000000.0,1.69387755,2082171480.0,8995692580.0,85970919700.0,81672373700.0,4.32034184811714,41.28906793978371,39.224614535590504,9.556898363905628,9.079053444042883,5.128205146559116
1785714290000000.0,1.78571429,2131177270.0,9228547930.0,89416655200.0,84945822400.0,4.330258237973793,41.956460618595095,39.85863756889637,9.689135915881838,9.20467911575337,5.128205175263006
1877551020000000.0,1.87755102,2177720570.0,9453887900.0,94249295000.0,89536820300.0,4.341185012547317,43.27887438745183,41.114926099081664,9.96936879270591,9.470899300593569,5.128216233644936
1969387760000000.0,1.96938776,2221866330.0,9671926980.0,97690438600.0,92805916700.0,4.353064290775764,43.967738869331534,41.76935193936712,10.100411097189653,9.59539054543193,5.128205095900856
2061224490000000.0,2.06122449,2263667300.0,9882814860.0,102049782000.0,96947294300.0,4.365842480474052,45.08161689661727,42.82753667025185,10.325983380811811,9.809684353431265,5.1282036850709245
2153061220000000.0,2.15306122,2303165900.0,10086648200.0,106107094000.0,100801739000.0,4.3794709708058805,46.07010463293157,43.7665992710295,10.51955931208149,9.993581316735128,5.128205425623371
2244897960000000.0,2.24489796,2340395890.0,10283112200.0,110086450000.0,104582127000.0,4.393749042175937,47.03753346618635,44.68565657923797,10.705557603465612,10.17027967466892,5.128205605983963
2336734690000000.0,2.33673469,2375383760.0,10472364600.0,114387728000.0,108668342000.0,4.408704301320979,48.15547278137491,45.747699310700014,10.922817565003418,10.376676724949014,5.12820476035465
2428571430000000.0,2.42857143,2408150000.0,10654643500.0,118191820000.0,112282229000.0,4.424410231920769,49.0799244233125,46.62592820214687,11.092986827762,10.5383374863739,5.128205128205129
2520408160000000.0,2.52040816,2438710160.0,10830185000.0,122351351000.0,116233784000.0,4.440947996870608,50.1705175985325,47.661991944134925,11.297254017359814,10.732391367275813,5.128204655331943
2612244900000000.0,2.6122449,2467075820.0,10999222500.0,126525799000.0,120199509000.0,4.458404727909822,51.28573592034962,48.721449104065236,11.503158427788874,10.928000501853655,5.1282051697752875
2704081630000000.0,2.70408163,2493255360.0,11161985700.0,130167348000.0,123658981000.0,4.4768722366248115,52.20778829489812,49.59739904058604,11.661665898747748,11.078582639646278,5.1282048049475595
2795918370000000.0,2.79591837,2517254660.0,11318700400.0,134355941000.0,127638144000.0,4.496446299159895,53.373996336151386,50.70529653920673,11.870262154831838,11.276749051507716,5.128205089057641
2887755100000000.0,2.8877551,2539077650.0,11469587500.0,137852551000.0,130959923000.0,4.517225969831998,54.29237305916973,51.57775422898153,12.018963280065652,11.418015076828176,5.128205471595786
2979591840000000.0,2.97959184,2558726780.0,11614863000.0,142465133000.0,135341876000.0,4.5393134940339355,55.678134185159074,52.89422733911434,12.265760947847598,11.652472870321414,5.128205386639471
3071428570000000.0,3.07142857,2576203480.0,11754737500.0,145881941000.0,138587844000.0,4.562814075540337,56.62671529346743,53.795379548202455,12.410480540292797,11.789956517531762,5.128205092150648
