I_dc_nA,D_s_dc_exp,R_dc_proxy_norm,f_res_proxy_norm
0.0,100.0,1.0,1.0
1.2244898,99.95173681,1.0004828649460265,0.9997586549262777
2.44897959,99.77122062,1.0022930398022427,0.9988554481004746
3.67346939,99.46074713,1.005421765727289,0.9973000908954135
4.89795918,99.02187532,1.0098778646318207,0.9950973586539159
6.12244898,98.45641968,1.0156778026767264,0.9922520832933535
7.34693878,97.76644627,1.0228458107583416,0.9887691655285373
8.57142857,96.95426875,1.0314141016096314,0.9846535875626514
9.79591837,96.02244633,1.0414231653329302,0.9799104363665079
11.02040816,94.97378175,1.052922166069269,0.9745449284153092
12.24489796,93.81131728,1.065969468284179,0.9685624258662938
13.46938776,92.53833265,1.0806332590648855,0.9619684643999511
14.69387755,91.1583411,1.0969923190056823,0.9547687735781895
15.91836735,89.67508639,1.1151369240403806,0.9469693046239672
17.14285714,88.09253877,1.1351699178643162,0.9385762556659955
18.36734694,86.41489101,1.1572079630167897,0.9295961005189297
19.59183673,84.64655341,1.181383009366406,0.9200356156693066
20.81632653,82.79215086,1.2078439678309378,0.9099019225169271
22.04081633,80.85651697,1.2367586899285157,0.8992025187353514
23.26530612,78.84468821,1.268316259094761,0.8879453148139248
24.48979592,76.76189805,1.3027296424440094,0.8761386765233001
25.71428571,74.61357116,1.3402387587850713,0.8637914746048377
26.93877551,72.4053177,1.381114028313973,0.8509131430410509
28.16326531,70.14292664,1.4256605019239899,0.8375137410216026
29.3877551,67.83235928,1.4742226433141983,0.8236040267021526
30.6122449,65.4797428,1.5271898716132404,0.8091955437346402
31.83673469,63.09136199,1.5850030312525196,0.7943007112548749
33.06122449,60.67365091,1.6481619038935793,0.7789329297827895
34.28571429,58.2331856,1.7172338928337796,0.7631067133763141
35.51020408,55.77667381,1.7928641700766201,0.7468378258363726
36.73469388,53.31094597,1.8757873862578545,0.7301434514532059
37.95918367,50.84294515,1.966841214744225,0.7130423910960694
39.18367347,48.37971824,2.0669818601242023,0.6955553050620777
40.40816327,45.92840824,2.177301670840574,0.6777050113434311
41.63265306,43.49624357,2.2990491084377567,0.6595168198764911
42.85714286,41.09052863,2.4336508517680757,0.6410189437918352
44.08163265,38.71863646,2.582735580146512,0.6222430108888327
45.30612245,36.38799853,2.7481588446683936,0.6032246557460993
46.53061224,34.10609457,2.932027288986667,0.5840042343168412
47.75510204,31.88043854,3.13671971213731,0.564627651997314
48.97959184,29.71856768,3.3648997178049735,0.5451473899781599
50.20408163,27.62803166,3.619512284864668,0.5256237405216777
51.42857143,25.61638179,3.9037519357646957,0.5061262865135538
52.65306122,23.69115947,4.220983786235938,0.48673565176592515
53.87755102,21.85988681,4.574589103281821,0.4675455786337841
55.10204082,20.13005843,4.967695466346443,0.44866533663745406
56.32653061,18.50913233,5.402738400541761,0.43022241143390005
57.55102041,17.00452091,5.880789028357283,0.4123653830039568
58.7755102,15.6235851,6.400579595524461,0.39526680988921903
60.0,14.37362461,6.957187397980891,0.37912563366251034
