P_mw_norm,I_mw_nA,D_s_mw_exp,R_mw_proxy_norm,f_res_proxy_norm
0.0,0.0,100.0,1.0,1.0
0.02040816,2.85773803,99.96555237,1.0003445950048122,0.9998277470144544
0.04081633,4.04081633,99.88725513,1.0011287212753346,0.9994361166677939
0.06122449,4.94974747,99.78282278,1.002176499060152,0.9989135236846081
0.08163265,5.71447606,99.64829843,1.003529428756348,0.9982399432501186
0.10204082,6.38806117,99.49441822,1.00508150898357,0.9974688878356056
0.12244898,7.0,99.3222791,1.006823452966858,0.9966056346419079
0.14285714,7.56497728,99.13731067,1.0087019642167987,0.995677210093713
0.16326531,8.09284713,98.94242671,1.0106887745243982,0.9946980783634801
0.18367347,8.59016994,98.73958297,1.0127650633321283,0.9936779305690552
0.20408163,9.06166058,98.52974471,1.0149219435646297,0.9926215024368553
0.2244898,9.51103601,98.31369853,1.0171522534012434,0.9915326445962331
0.24489796,9.94123006,98.09203829,1.01945072957256,0.9904142481305487
0.26530612,10.35460675,97.86518943,1.021813788768344,0.9892683631350999
0.28571429,10.75309989,97.63344443,1.024239189591398,0.9880963739939541
0.30612245,11.13831958,97.39699898,1.026725679920944,0.9868991791464821
0.32653061,11.51164078,97.15597213,1.0292728054451923,0.9856772906484149
0.34693878,11.8742578,96.91043373,1.031880636078957,0.9844309713230277
0.36734694,12.22721636,96.66041868,1.0345496260579614,0.9831603057487625
0.3877551,12.57142857,96.40594036,1.037280479051177,0.9818652675392892
0.40816327,12.90769231,96.14700201,1.0400740315293373,0.980545776646863
0.42857143,13.23671495,95.88360233,1.0429311954283143,0.9792017275822179
0.44897959,13.55912678,95.61573949,1.0458529164067023,0.977833009720985
0.46938776,13.87549008,95.34341343,1.048840149544455,0.9764395190179471
0.48979592,14.18630837,95.06662679,1.051893849362066,0.9750211627959672
0.51020408,14.4920399,94.78538512,1.0550149674804634,0.9735778608822203
0.53061224,14.79310345,94.4996971,1.0582044500542636,0.9721095468104405
0.55102041,15.08988542,94.20957473,1.0614632354152438,0.9706161688844875
0.57142857,15.3827453,93.91503335,1.0647922535183767,0.9690976903800772
0.59183673,15.67201931,93.61609178,1.0681924239585041,0.9675540903742799
0.6122449,15.95802331,93.3127724,1.0716646545591222,0.9659853642783621
0.63265306,16.24105541,93.00510117,1.0752098405571788,0.9643915240710071
0.65306122,16.52139866,92.69310771,1.0788288630138538,0.9627725988518785
0.67346939,16.79932309,92.37682529,1.0825225881715295,0.9611286349391531
0.69387755,17.07508725,92.05629079,1.086291867093812,0.959459695818433
0.71428571,17.34893957,91.73154466,1.0901375352464278,0.9577658620978302
0.73469388,17.62112057,91.40263086,1.094060412256278,0.9560472313646434
0.75510204,17.89186305,91.06959681,1.098061301497048,0.95430391809947
0.7755102,18.16139318,90.73249335,1.1021409894937049,0.9525360536483646
0.79591837,18.42993055,90.39137467,1.106300245627186,0.9507437860433272
0.81632653,18.69768922,90.04629821,1.1105398221566714,0.9489272796689956
0.83673469,18.96487772,89.69732458,1.114860453957143,0.9470867150372241
0.85714286,19.23170001,89.34451744,1.1192628587104494,0.9452222883533798
0.87755102,19.49835537,88.98794346,1.123747736062132,0.9433342115072473
0.89795918,19.76503831,88.62767222,1.1283157674701254,0.9414227117506779
0.91836735,20.03193944,88.26377613,1.1329676157602209,0.9394880314831051
0.93877551,20.29924533,87.89633036,1.13770392450318,0.9375304280928699
0.95918367,20.56713933,87.52541277,1.1425253173359013,0.935550173801491
0.97959184,20.83580146,87.15110388,1.147432396699093,0.9335475557249346
1.0,21.1054086,86.77348682,1.1524257427552338,0.9315228758329019
