region_id,region_name,region_code,total_mass_change_gt_2000_2023,total_mass_change_error_gt,mean_specific_mass_change_mwe_yr,mean_specific_mass_change_error_mwe_yr,mean_glacier_area_km2
1,Alaska,ALA,-1473.9,172.8,-0.732,0.0827,85059.9
2,Western Canada & US,WNA,-221.8,25.7,-0.6947,0.0731,13661.3
3,Arctic Canada North,ACN,-730.2,63.2,-0.2931,0.0248,104154.5
4,Arctic Canada South,ACS,-552.2,51.6,-0.5701,0.0523,40495.5
5,Greenland Periphery,GRL,-850.5,174.4,-0.4466,0.0811,80888.8
6,Iceland,ISL,-199.1,30.9,-0.7841,0.1163,10542.4
7,Svalbard,SJM,-331.1,35.9,-0.4182,0.0439,33429.2
8,Scandinavia,SCA,-40.0,3.2,-0.5826,0.0443,2869.4
9,Russian Arctic,RUA,-384.4,53.8,-0.3152,0.0434,51138.0
10,North Asia,ASN,-32.5,3.2,-0.5765,0.056,2368.5
11,Central Europe,CEU,-47.3,2.4,-1.0615,0.0457,1916.9
12,Caucasus & Middle East,CAU,-17.7,1.6,-0.6219,0.052,1203.1
13,Central Asia,ASC,-251.6,66.9,-0.2178,0.0566,48681.8
14,South Asia West,ASW,-134.7,41.2,-0.1763,0.0512,32117.9
15,South Asia East,ASE,-176.5,28.8,-0.5269,0.0816,14110.8
16,Low Latitudes,TRP,-20.4,3.7,-0.4207,0.0661,2034.6
17,Southern Andes,SAN,-630.8,162.6,-0.9193,0.2306,28793.3
18,New Zealand,NZL,-20.0,3.4,-0.9608,0.1202,889.4
19,Antarctic & Subantarctic,ANT,-427.7,208.8,-0.1455,0.0656,123539.7
