threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,confusion_matrix,fold,model
0.5,0.9655172413793104,0.943276706017852,0.84,0.9130434782608695,0.875,0.9809242729628562,0.7599564337829671,"[[294, 8], [4, 42]]",0,RandomForest
0.5,0.9482758620689655,0.9162366579486817,0.7735849056603774,0.8723404255319149,0.82,0.9755425178483071,0.781941050040344,"[[289, 12], [6, 41]]",1,RandomForest
0.5,0.9712643678160919,0.9654343677104686,0.8490566037735849,0.9574468085106383,0.9,0.9845903725171415,0.7928573312266022,"[[293, 8], [2, 45]]",2,RandomForest
0.5,0.9481268011527377,0.9148490538783765,0.7692307692307693,0.8695652173913043,0.8163265306122449,0.9739997111079012,0.7511585540708989,"[[289, 12], [6, 40]]",3,RandomForest
0.5,0.9596541786743515,0.9122851365015167,0.8478260869565217,0.8478260869565217,0.8478260869565217,0.9818720208002311,0.8046673318086247,"[[294, 7], [7, 39]]",4,RandomForest
0.5,0.9540229885057471,0.8905845090699683,0.8409090909090909,0.8043478260869565,0.8222222222222222,0.9780449179383818,0.7876948665324889,"[[295, 7], [9, 37]]",0,GradientBoosting
0.5,0.9396551724137931,0.8753445960274263,0.7708333333333334,0.7872340425531915,0.7789473684210526,0.9733512405456988,0.7267901083299784,"[[290, 11], [10, 37]]",1,GradientBoosting
0.5,0.9482758620689655,0.8713508164275111,0.8372093023255814,0.7659574468085106,0.8,0.9786527178907188,0.770976674591253,"[[294, 7], [11, 36]]",2,GradientBoosting
0.5,0.9423631123919308,0.8931099234435937,0.76,0.8260869565217391,0.7916666666666666,0.9725552506138957,0.7120265307593606,"[[289, 12], [8, 38]]",3,GradientBoosting
0.5,0.9567723342939481,0.9014155712841254,0.8444444444444444,0.8260869565217391,0.8351648351648352,0.9809331214791276,0.7977474969321386,"[[294, 7], [8, 38]]",4,GradientBoosting
