group,importance,behavior
acceleration,0.0387488335795507,attack
angle,0.1272076645463898,attack
bbox / size,0.0644534646400242,attack
inter-animal cross-distance,0.0960996586744518,attack
inter-animal distance,0.1672264840259932,attack
inter-center kinematics,0.0535343620442528,attack
probabilities,0.0470618611059095,attack
velocity,0.0957274134098493,attack
within-animal distance,0.3099402579735705,attack
acceleration,0.0277191278788184,sniffing
angle,0.1226158058258317,sniffing
bbox / size,0.0713669163154627,sniffing
inter-animal cross-distance,0.058686182630888,sniffing
inter-animal distance,0.1993199928819264,sniffing
inter-center kinematics,0.0527662181552881,sniffing
probabilities,0.0557746034939649,sniffing
velocity,0.106496247436359,sniffing
within-animal distance,0.3052549053814535,sniffing
