threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,confusion_matrix,fold,model
0.5,0.9109195402298851,0.9223554223554224,0.8115942028985508,0.9572649572649573,0.8784313725490196,0.9166759166759167,0.7157969591749163,"[[205, 26], [5, 112]]",0,RandomForest
0.5,0.9051724137931034,0.9055637435519528,0.8294573643410853,0.9067796610169492,0.8663967611336032,0.9247236551215918,0.7272872276335679,"[[208, 22], [11, 107]]",1,RandomForest
0.5,0.8994252873563219,0.9094694178334561,0.7985611510791367,0.940677966101695,0.8638132295719845,0.9046425939572587,0.6878053508416552,"[[202, 28], [7, 111]]",2,RandomForest
0.5,0.930835734870317,0.9352285395763656,0.8604651162790697,0.9487179487179487,0.9024390243902439,0.9441099962839092,0.8170344726241112,"[[212, 18], [6, 111]]",3,RandomForest
0.5,0.9337175792507204,0.9458008175399479,0.8455882352941176,0.9829059829059829,0.9090909090909091,0.9340765514678557,0.7604184616791105,"[[209, 21], [2, 115]]",4,RandomForest
0.5,0.896551724137931,0.8925518925518925,0.824,0.8803418803418803,0.8512396694214877,0.9352869352869353,0.7947151663224238,"[[209, 22], [14, 103]]",0,GradientBoosting
0.5,0.8879310344827587,0.8801400147383935,0.8211382113821138,0.8559322033898306,0.8381742738589212,0.9290346352247605,0.745941465053308,"[[208, 22], [17, 101]]",1,GradientBoosting
0.5,0.8649425287356322,0.8565585851142226,0.784,0.8305084745762712,0.8065843621399177,0.90759027266028,0.7079110061278484,"[[203, 27], [20, 98]]",2,GradientBoosting
0.5,0.8847262247838616,0.8689520624303233,0.8347826086956521,0.8205128205128205,0.8275862068965517,0.9383500557413601,0.7768909609196049,"[[211, 19], [21, 96]]",3,GradientBoosting
0.5,0.9135446685878963,0.9200854700854701,0.8270676691729323,0.9401709401709402,0.88,0.9355258268301746,0.784836199354532,"[[207, 23], [7, 110]]",4,GradientBoosting
