dataset,model,params,train_time_sec,inference_sec_per_mol
BACE,Fingerprint LR,522,0.06179547309875488,0.0
BACE,GNN-MLP,15841,6.351531028747559,0.00016687935144365623
BACE,KA-GNN,89051,8.221341848373413,0.0002848566366187276
BBBP,Fingerprint LR,522,0.06389689445495605,0.0
BBBP,GNN-MLP,15841,3.3469412326812744,0.00010430111604578355
BBBP,KA-GNN,89051,9.146798610687256,0.00026317281660690806
CLINTOX,Fingerprint LR,1044,0.09232234954833984,0.0
CLINTOX,GNN-MLP,15890,5.619124412536621,0.00011379976530332824
CLINTOX,KA-GNN,89100,6.3165602684021,0.0003025993570551142
HIV,Fingerprint LR,522,0.15809416770935059,0.0
HIV,GNN-MLP,15841,4.897416353225708,0.00010037771860758463
HIV,KA-GNN,89051,11.850197792053223,0.00023782094319661458
MUV,Fingerprint LR,8874,0.7449359893798828,0.0
MUV,GNN-MLP,16625,8.429009675979614,0.0001552459928724501
MUV,KA-GNN,89835,21.039915561676025,0.00038249784045749243
