dataset,task,n_rows,n_labeled,n_missing,n_positive,n_negative,positive_rate,n_unique_smiles,median_smiles_len
BACE,label,1513,1513,0,691,822,0.456708526107072,1513,62.0
BBBP,label,2039,2039,0,1560,479,0.7650809220205983,2039,45.0
CLINTOX,FDA_APPROVED,1477,1477,0,1383,94,0.936357481381178,1477,48.0
CLINTOX,CT_TOX,1477,1477,0,112,1365,0.07582938388625593,1477,48.0
HIV,label,41127,41127,0,1443,39684,0.03508643956524911,41127,40.0
MUV,MUV-466,93087,14841,78246,27,14814,0.0018192844147968466,93087,40.0
MUV,MUV-548,93087,14734,78353,29,14705,0.0019682367313696215,93087,40.0
MUV,MUV-600,93087,14728,78359,30,14698,0.0020369364475828354,93087,40.0
MUV,MUV-644,93087,14623,78464,30,14593,0.002051562606852219,93087,40.0
MUV,MUV-652,93087,14902,78185,29,14873,0.0019460475104012885,93087,40.0
MUV,MUV-689,93087,14601,78486,29,14572,0.001986165331141703,93087,40.0
MUV,MUV-692,93087,14644,78443,30,14614,0.00204862059546572,93087,40.0
MUV,MUV-712,93087,14411,78676,28,14383,0.0019429602387065436,93087,40.0
MUV,MUV-713,93087,14836,78251,29,14807,0.001954704772175789,93087,40.0
MUV,MUV-733,93087,14682,78405,28,14654,0.0019070971257321892,93087,40.0
MUV,MUV-737,93087,14691,78396,29,14662,0.001973997685657886,93087,40.0
MUV,MUV-810,93087,14644,78443,29,14615,0.001980333242283529,93087,40.0
MUV,MUV-832,93087,14667,78420,30,14637,0.0020454080589077522,93087,40.0
MUV,MUV-846,93087,14711,78376,30,14681,0.002039290326966216,93087,40.0
MUV,MUV-852,93087,14651,78436,29,14622,0.0019793870725547742,93087,40.0
MUV,MUV-858,93087,14774,78313,29,14745,0.0019629078110193583,93087,40.0
MUV,MUV-859,93087,14746,78341,24,14722,0.0016275600162756001,93087,40.0
