N,d,r,count_file,amp_file,n_unique_counts,n_matched,total_counts,subset_prob_sum,mean_ideal_prob_observed,xeb_fidelity,xeb_stat_se,xeb_boot_ci_low,xeb_boot_ci_high,mb_intercept,mb_slope,mb_fidelity_surrogate,mean_log_prob_ratio_to_uniform
40,8,1,data/results/N40_verification/N40_d8_XEB/N40_d8_r1_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r1_XEB_amplitudes.json,20,20,20,2.7369397075440884e-11,1.3684698537720444e-12,0.5046485164832852,0.3134258240842232,-0.037284483905260624,1.141216492549304,0.049999999999999996,-6.25449492621974e-06,-343844.49486222997,-0.13297820779596142
40,8,2,data/results/N40_verification/N40_d8_XEB/N40_d8_r2_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r2_XEB_amplitudes.json,20,20,20,3.0395559167417525e-11,1.5197779583708762e-12,0.671013536866448,0.33968410402147814,0.05439712145587006,1.3483318073916757,0.049999999999999996,-3.2898282488184505e-06,-180860.2206480921,-0.045711230273552325
40,8,3,data/results/N40_verification/N40_d8_XEB/N40_d8_r3_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r3_XEB_amplitudes.json,20,20,20,2.35810339560698e-11,1.17905169780349e-12,0.29638105148397176,0.24699424138982043,-0.13970830118619826,0.816100231864116,0.04999999999999999,-1.2671987188646016e-06,-69664.98630472399,-0.08207923288943533
40,8,4,data/results/N40_verification/N40_d8_XEB/N40_d8_r4_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r4_XEB_amplitudes.json,20,20,20,2.6047501967693704e-11,1.3023750983846852e-12,0.4319765643998734,0.23593434456599052,-0.0018445026653685082,0.8751045346450259,0.04999999999999999,-6.969949781255999e-07,-38317.70414752879,0.052587114108386755
40,8,5,data/results/N40_verification/N40_d8_XEB/N40_d8_r5_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r5_XEB_amplitudes.json,20,20,20,3.4132117178246426e-11,1.7066058589123214e-12,0.876432985904745,0.47146490743630337,0.14295939848552885,1.8625830232925238,0.04999999999999999,6.647286413859146e-07,36543.84352597779,-0.047068020282578824
40,8,6,data/results/N40_verification/N40_d8_XEB/N40_d8_r6_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r6_XEB_amplitudes.json,20,20,20,3.261583697932971e-11,1.6307918489664857e-12,0.7930746004209734,0.42379209673527474,0.05735208556171001,1.6671448799895954,0.04999999999999999,1.7478544552020882e-06,96089.31485773908,-0.16193020752514903
40,8,7,data/results/N40_verification/N40_d8_XEB/N40_d8_r7_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r7_XEB_amplitudes.json,20,20,20,2.4869731987604638e-11,1.243486599380232e-12,0.3672279750022016,0.3453075616157609,-0.22165833210376362,1.1074671832267207,0.04999999999999999,5.227045914330732e-07,28735.988808628368,-0.2697709285463949
40,8,8,data/results/N40_verification/N40_d8_XEB/N40_d8_r8_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r8_XEB_amplitudes.json,20,20,20,2.256223657860864e-11,1.128111828930432e-12,0.2403720733406598,0.19661376276065598,-0.11387632059243669,0.6196884361635207,0.04999999999999999,-1.93954594441131e-06,-106627.66592430093,-0.10957544208422676
40,8,9,data/results/N40_verification/N40_d8_XEB/N40_d8_r9_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r9_XEB_amplitudes.json,20,20,20,2.7426464322592603e-11,1.3713232161296305e-12,0.5077858215737094,0.29762467686680066,-0.0013769067705834415,1.0981946936069287,0.04999999999999999,-3.5541035389127707e-07,-19538.890836772112,-0.1821086574804228
40,8,10,data/results/N40_verification/N40_d8_XEB/N40_d8_r10_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r10_XEB_amplitudes.json,20,20,20,3.0640554691967744e-11,1.532027734598387e-12,0.6844823082662501,0.36810067600944624,0.08249925327050245,1.4997262878042061,0.04999999999999999,1.5649687709492758e-06,86035.06803825221,-0.016636299540132855
40,8,11,data/results/N40_verification/N40_d8_XEB/N40_d8_r11_XEB_counts.json,data/amplitudes/N40_verification/N40_d8_XEB/N40_d8_r11_XEB_amplitudes.json,20,20,20,3.023396055418669e-11,1.5116980277093346e-12,0.6621295591524592,0.3445756179383151,0.0669860522885466,1.377133523857689,0.04999999999999999,4.885486405479589e-07,26858.245550831907,0.10957435767730424
