source,mu_ev,fa_crit_GeV_median,fa_crit_GeV_q16,fa_crit_GeV_q84,quartic_lambda_crit_median
M33_X-7,1.57525365623146e-20,,,,
M33_X-7,1.5888031629404278e-20,,,,
M33_X-7,1.6024692154078074e-20,,,,
M33_X-7,1.6162528160991565e-20,,,,
M33_X-7,1.630154976102717e-20,,,,
M33_X-7,1.6441767152035822e-20,,,,
M33_X-7,1.6583190619585013e-20,,,,
M33_X-7,1.6725830537713312e-20,,,,
M33_X-7,1.6869697369691326e-20,,,,
M33_X-7,1.7014801668789237e-20,,,,
M33_X-7,1.716115407905093e-20,,,,
M33_X-7,1.7308765336074773e-20,,,,
M33_X-7,1.7457646267801132e-20,,,,
M33_X-7,1.7607807795306644e-20,,,,
M33_X-7,1.7759260933605325e-20,,,,
M33_X-7,1.7912016792456564e-20,,,,
M33_X-7,1.8066086577180095e-20,,,,
M33_X-7,1.8221481589477927e-20,,,,
M33_X-7,1.83782132282634e-20,,,,
M33_X-7,1.853629299049733e-20,,,,
M33_X-7,1.8695732472031363e-20,,,,
M33_X-7,1.8856543368458598e-20,,,,
M33_X-7,1.9018737475971483e-20,,,,
M33_X-7,1.9182326692227146e-20,,,,
M33_X-7,1.9347323017220126e-20,,,,
M33_X-7,1.9513738554162622e-20,,,,
M33_X-7,1.9681585510372335e-20,,,,
M33_X-7,1.9850876198167906e-20,,,,
M33_X-7,2.00216230357721e-20,,,,
M33_X-7,2.0193838548222722e-20,,,,
M33_X-7,2.0367535368291395e-20,,,,
M33_X-7,2.0542726237410226e-20,,,,
M33_X-7,2.071942400660644e-20,,,,
M33_X-7,2.0897641637445072e-20,,,,
M33_X-7,2.1077392202979746e-20,,,,
M33_X-7,2.1258688888711645e-20,,,,
M33_X-7,2.1441544993556726e-20,,,,
M33_X-7,2.1625973930821255e-20,,,,
M33_X-7,2.181198922918573e-20,,,,
M33_X-7,2.199960453369727e-20,,,,
M33_X-7,2.218883360677055e-20,,,,
M33_X-7,2.237969032919731e-20,,,,
M33_X-7,2.2572188701164603e-20,,,,
M33_X-7,2.2766342843281747e-20,,,,
M33_X-7,2.2962166997616154e-20,,,,
M33_X-7,2.315967552873803e-20,,,,
M33_X-7,2.3358882924774092e-20,,,,
M33_X-7,2.355980379847033e-20,,,,
M33_X-7,2.3762452888263926e-20,,,,
M33_X-7,2.396684505936437e-20,,,,
M33_X-7,2.4172995304843904e-20,,,,
M33_X-7,2.4380918746737318e-20,,,,
M33_X-7,2.4590630637151225e-20,,,,
M33_X-7,2.4802146359382867e-20,,,,
M33_X-7,2.5015481429048548e-20,,,,
M33_X-7,2.5230651495221782e-20,,,,
M33_X-7,2.5447672341581212e-20,,,,
M33_X-7,2.5666559887568412e-20,,,,
M33_X-7,2.5887330189555657e-20,,,,
M33_X-7,2.610999944202394e-20,,,,
M33_X-7,2.6334583978750044e-20,,,,
M33_X-7,2.6561100274006e-20,,,,
M33_X-7,2.6789564943766672e-20,,,,
M33_X-7,2.7019994746928836e-20,,,,
M33_X-7,2.725240658654052e-20,,,,
M33_X-7,2.7486817511040923e-20,,,,
M33_X-7,2.7723244715510965e-20,,,,
M33_X-7,2.796170554293467e-20,,,,
M33_X-7,2.8202217485471314e-20,,,,
M33_X-7,2.8444798185738556e-20,,,,
M33_X-7,2.8689465438106623e-20,,,,
M33_X-7,2.893623719000358e-20,,,,
M33_X-7,2.9185131543231873e-20,,,,
M33_X-7,2.9436166755296174e-20,,,,
M33_X-7,2.9689361240742635e-20,,,,
M33_X-7,2.9944733572509694e-20,,,,
M33_X-7,3.0202302483290474e-20,,,,
M33_X-7,3.0462086866906904e-20,,,,
M33_X-7,3.072410577969568e-20,,,,
M33_X-7,3.098837844190612e-20,,,,
M33_X-7,3.125492423911007e-20,,,,
M33_X-7,3.152376272362388e-20,,,,
M33_X-7,3.17949136159427e-20,,,,
M33_X-7,3.2068396806187055e-20,,,,
M33_X-7,3.234423235556186e-20,,,,
M33_X-7,3.2622440497828e-20,,,,
M33_X-7,3.2903041640786574e-20,,,,
M33_X-7,3.31860563677759e-20,,,,
M33_X-7,3.3471505439181386e-20,,,,
M33_X-7,3.3759409793958394e-20,,,,
M33_X-7,3.404979055116822e-20,,,,
M33_X-7,3.434266901152725e-20,,,,
M33_X-7,3.463806665896948e-20,,,,
M33_X-7,3.493600516222246e-20,,,,
M33_X-7,3.523650637639676e-20,,,,
M33_X-7,3.553959234458919e-20,,,,
M33_X-7,3.584528529949971e-20,,,,
M33_X-7,3.615360766506232e-20,,,,
M33_X-7,3.646458205808996e-20,,,,
M33_X-7,3.6778231289933546e-20,,,,
M33_X-7,3.709457836815528e-20,,,,
M33_X-7,3.7413646498216357e-20,,,,
M33_X-7,3.773545908517921e-20,,,,
M33_X-7,3.806003973542433e-20,,,,
M33_X-7,3.838741225838196e-20,,,,
M33_X-7,3.871760066827855e-20,,,,
M33_X-7,3.9050629185898377e-20,,,,
M33_X-7,3.9386522240360204e-20,,,,
M33_X-7,3.972530447090927e-20,,,,
M33_X-7,4.0067000728724705e-20,,,,
M33_X-7,4.0411636078742456e-20,,,,
M33_X-7,4.0759235801493926e-20,,,,
M33_X-7,4.1109825394960386e-20,,,,
M33_X-7,4.14634305764434e-20,,,,
M33_X-7,4.182007728445129e-20,,,,
M33_X-7,4.2179791680601825e-20,,,,
M33_X-7,4.2542600151541315e-20,,,,
M33_X-7,4.290852931088018e-20,,,,
M33_X-7,4.3277606001145157e-20,,,,
M33_X-7,4.364985729574835e-20,,,,
M33_X-7,4.402531050097318e-20,,,,
M33_X-7,4.440399315797739e-20,,,,
M33_X-7,4.4785933044813347e-20,,,,
M33_X-7,4.517115817846568e-20,,,,
M33_X-7,4.555969681690642e-20,,,,
M33_X-7,4.595157746116788e-20,,,,
M33_X-7,4.6346828857433336e-20,,,,
M33_X-7,4.6745479999145654e-20,,,,
M33_X-7,4.714756012913412e-20,,,,
M33_X-7,4.7553098741759493e-20,,,,
M33_X-7,4.7962125585077614e-20,,,,
M33_X-7,4.837467066302148e-20,,,,
M33_X-7,4.879076423760221e-20,,,,
M33_X-7,4.9210436831128904e-20,,,,
M33_X-7,4.963371922844755e-20,,,,
M33_X-7,5.0060642479199273e-20,,,,
M33_X-7,5.049123790009794e-20,,,,
M33_X-7,5.092553707722738e-20,,,,
M33_X-7,5.1363571868358374e-20,,,,
M33_X-7,5.1805374405285555e-20,,,,
M33_X-7,5.2250977096184414e-20,,,,
M33_X-7,5.2700412627988595e-20,,,,
M33_X-7,5.3153713968787633e-20,,,,
M33_X-7,5.3610914370245275e-20,,,,
M33_X-7,5.407204737003868e-20,,,,
M33_X-7,5.453714679431852e-20,,,,
M33_X-7,5.50062467601903e-20,,,,
M33_X-7,5.5479381678217e-20,,,,
M33_X-7,5.595658625494324e-20,,,,
M33_X-7,5.643789549544113e-20,,,,
M33_X-7,5.692334470587809e-20,,,,
M33_X-7,5.741296949610671e-20,,,,
M33_X-7,5.790680578227683e-20,,,,
M33_X-7,5.840488978947026e-20,,,,
M33_X-7,5.890725805435792e-20,,,,
M33_X-7,5.941394742788009e-20,,,,
M33_X-7,5.99249950779495e-20,,,,
M33_X-7,6.044043849217779e-20,,,,
M33_X-7,6.09603154806254e-20,,,,
M33_X-7,6.148466417857514e-20,,,,
M33_X-7,6.20135230493295e-20,,,,
M33_X-7,6.254693088703215e-20,,,,
M33_X-7,6.308492681951368e-20,,,,
M33_X-7,6.362755031116178e-20,,,,
M33_X-7,6.41748411658161e-20,,,,
M33_X-7,6.472683952968812e-20,,,,
M33_X-7,6.528358589430594e-20,,,,
M33_X-7,6.58451210994846e-20,,,,
M33_X-7,6.641148633632184e-20,,,,
M33_X-7,6.698272315021964e-20,,,,
M33_X-7,6.755887344393175e-20,,,,
M33_X-7,6.813997948063747e-20,,,,
M33_X-7,6.872608388704183e-20,,,,
M33_X-7,6.931722965650242e-20,,,,
M33_X-7,6.991346015218319e-20,,,,
M33_X-7,7.051481911023532e-20,,,,
