entity,electricity_mean,heat_mean,cooling_mean,pv_mean,ghg_mean,electricity_cv,daily_peak_hour_mean,summer_cooling_mean,winter_heat_mean,pv_daylight_mean,corr_elec_temp,corr_heat_temp,corr_cooling_temp,corr_elec_humidity,corr_pv_precip,cluster
BN001,52.01793732694303,10.995809748842248,21.504178269879926,3.4386664690239304,31.88921400758821,0.22009385010778967,7.30958904109589,21.563752874055748,10.958180806476689,6.494044881662327,-0.7959987764538671,-0.7330355689688395,-0.6432843338446446,-0.1376059280856715,0.0046025262072768485,2
BN002,53.973319289298715,12.019623571040821,22.97776365607487,2.5527084508003046,33.91174522177642,0.2120310576929242,8.446575342465753,23.008318690180882,12.051223868274766,4.27002856229343,0.5039416103372447,-0.3497646084243185,0.7798363265001572,0.09320470131573472,0.011902314772090678,2
BN003,56.023289861570184,13.004142539574659,24.50991751119656,2.863706868353562,35.383017760720016,0.20431668920614857,7.616438356164384,24.507230538651584,13.001717064884796,4.390164991772305,0.6030703446796964,-0.26718607485573564,-0.2609662010885929,0.11218150856405223,-5.6858675759910455e-05,2
BN004,58.01679934574985,13.994710557937722,25.986159344980233,3.5173409393575157,36.64537423957353,0.1973105998946287,3.9232876712328766,26.072649368444917,13.949346577408603,6.559001337423558,-0.13823304438166842,0.7803989150719022,-0.31892577069327793,-0.01808559423033884,0.008969157860969577,2
BN005,59.95736173865727,14.999712240669284,27.523961249269192,4.847196159603415,37.55978871158155,0.19195021466973206,3.106849315068493,27.574017525634936,15.019520496868028,9.913117999544621,-0.04823939463913196,0.38532380673667016,-0.8418791686848868,-0.00051180049842891,0.005288455965476132,2
BN006,61.955990150055825,15.993817923875277,28.999888619574957,4.899069073514461,39.12658363934826,0.18494186395705073,11.046575342465754,29.05434026136435,16.02607661891765,9.325406707278344,-0.6435568962372201,0.7961758761448597,0.888531656117933,-0.11416988811489506,0.00440481837269947,1
BN007,64.03640337168734,16.99392121786504,30.501313459706516,4.142707415986755,41.14528703515111,0.18024296860559375,6.7753424657534245,30.507968500893877,16.960091847920896,7.503168958608875,-0.7912208451835248,0.7450261264166229,-0.22404432105910962,-0.1312083252662654,0.008024620989874241,1
BN008,65.93124626220471,18.020995862406433,31.983656202933677,4.7794253297381255,42.37894046554195,0.1735488174028761,6.791780821917809,32.072863508298624,18.002972975596997,9.082366970620612,-0.6455856411702419,-0.8078514475019175,0.6093824151577975,-0.10753709779951431,0.00743185248493715,1
BN009,68.0078879205728,19.001314534318237,33.52606851082261,5.824812722853679,43.49714566131956,0.1686375793605302,12.706849315068494,33.548361744738195,18.950260129460418,11.16390087634189,-0.4628609896434558,0.81102732324117,-0.89322910216486,-0.09162915757046727,0.004176459555925486,1
BN010,70.04137110300552,20.00630332838855,34.95340655373632,4.466696027791937,45.77990984687062,0.16358534200418914,5.756164383561644,34.9061808930709,20.019574304117143,7.339478850809587,-0.621904714178521,0.04460128152506967,0.909568581046374,-0.10156590749481048,0.008007673021418502,1
