entity,rows,missing_values,Electricity [kW] min,Electricity [kW] max,Electricity [kW] mean,Heat [mmBTU] min,Heat [mmBTU] max,Heat [mmBTU] mean,Cooling Energy [Ton] min,Cooling Energy [Ton] max,Cooling Energy [Ton] mean,PV Power Generation [kW] min,PV Power Generation [kW] max,PV Power Generation [kW] mean,Greenhouse Gas Emission [Ton] min,Greenhouse Gas Emission [Ton] max,Greenhouse Gas Emission [Ton] mean
BN001,8760,0,24.062064419019244,80.27959210349414,52.01793732694303,0.2444178054183048,19.88671206519433,10.995809748842248,3.410272421940705,39.43030981137966,21.504178269879926,0.0,11.034878855815666,3.4386664690239304,16.08731179709554,49.48214731236883,31.88921400758821
BN002,8760,0,26.8096260266747,80.52551503715893,53.973319289298715,2.4916518302765605,20.797298507784408,12.019623571040821,4.64432640672394,42.3185646373883,22.97776365607487,0.0,10.271732258780126,2.5527084508003046,17.65949667011926,50.388138785296185,33.91174522177642
BN003,8760,0,30.00670304919887,82.81470831013894,56.023289861570184,4.465354135199229,22.32270253011072,13.004142539574659,7.193959903265137,43.007354888732586,24.50991751119656,0.0,11.04077534362584,2.863706868353562,21.48307327081749,49.22485513608963,35.383017760720016
BN004,8760,0,31.00241236075219,84.9850057635353,58.01679934574985,4.818728857399718,22.801752114197555,13.994710557937722,8.151241747402448,44.36367517582549,25.986159344980233,0.0,12.29939508500568,3.5173409393575157,22.48989117240944,49.14692731768269,36.64537423957353
BN005,8760,0,31.841969441571933,87.06515864609901,59.95736173865727,5.896498993245107,23.76216240079473,14.999712240669284,9.356239768223563,45.897827033894266,27.523961249269192,0.0,12.7701014658839,4.847196159603415,18.964425415396125,54.86294936567612,37.55978871158155
BN006,8760,0,34.69045951812957,90.30289435522236,61.955990150055825,5.4560126445747335,25.050082200442663,15.993817923875277,10.85066760169136,46.92787914919211,28.999888619574957,0.0,13.39137492378552,4.899069073514461,28.650616851139148,50.44511602555245,39.12658363934826
BN007,8760,0,35.5306766957758,90.48395285696392,64.03640337168734,8.080390793035072,26.366498694682264,16.99392121786504,12.806107706239384,49.15232036569629,30.501313459706516,0.0,13.200464370709728,4.142707415986755,25.931282138753804,55.11571637231566,41.14528703515111
BN008,8760,0,39.895182847992665,92.671884293349,65.93124626220471,9.120397244350666,26.744797125892894,18.020995862406433,12.711347433340716,49.38967034647015,31.983656202933677,0.0,13.762329546819087,4.7794253297381255,25.64063831019801,58.76909112711531,42.37894046554195
BN009,8760,0,40.60928061463419,96.30704842288549,68.0078879205728,9.75054477572328,28.65097760578828,19.001314534318237,15.034236269313212,52.15068408757151,33.52606851082261,0.0,14.832720810868128,5.824812722853679,31.93004792018025,54.91059230868804,43.49714566131956
BN010,8760,0,39.08803994953183,95.96763786465472,70.04137110300552,11.000584383441854,29.15920886965828,20.00630332838855,15.57090108019332,53.187280094149685,34.95340655373632,0.0,12.130554818641498,4.466696027791937,30.06080303621944,58.66392943112483,45.77990984687062
CN01,8760,0,494.85523176199706,719.9462950473616,609.9616063697451,125.92659532092156,187.13196227878103,155.03035152491825,236.4260274332009,330.8059650061211,282.46631337817485,0.0,86.72296869916829,41.33232945702369,312.24025628744056,460.9347694841688,387.31700658947125
Total,8760,0,494.85523176199706,719.9462950473616,609.9616063697451,125.92659532092156,187.13196227878103,155.03035152491825,236.4260274332009,330.8059650061211,282.46631337817485,0.0,86.72296869916829,41.33232945702369,312.24025628744056,460.9347694841688,387.31700658947125
