midpoint_year,global_mwe,global_mwe_uncertainty,global_Gt,global_Gt_uncertainty,n_estimates
2000,0.0034230888108305554,1.439092016342393,2.1596267307529975,41.33790484644661,260
2001,0.032820094300476214,1.6674126091616264,20.70619749417044,52.84128238101347,289
2002,0.02136650515666792,15.225144531662755,13.480128103341793,138.69389691438724,513
2003,0.018491698688226556,14.81617791100303,11.666412702402136,135.0971162315461,1027
2004,0.015370513315915704,15.28563885165347,9.697256851011218,134.742836833017,1031
2005,0.021610946392425463,16.569608113854322,13.634346078981228,132.3709209179935,1027
2006,0.02801377984749407,16.176699944733524,17.67389370578401,143.57091109737993,1045
2007,0.02674368859114467,13.990601990765677,16.87259313215317,156.3026780095072,1054
2008,0.06081434700265749,15.615901440475177,38.367771523976614,158.2007641325942,1055
2009,0.025201837983168694,15.031370036202226,15.89983958358113,140.61150647220086,1034
2010,0.027097484361669193,17.03851222680661,17.095802883777097,121.24929782476814,1031
2011,0.025088482458035598,15.853391832368809,15.828323582774656,151.71615949258765,1138
2012,0.03422726439822312,23.12625364292876,21.593981108838967,143.29433694462915,1194
2013,0.008912561343883909,21.166168956326462,5.62293495185636,162.24149737299885,1172
2014,0.011191674608423558,13.798316338090936,7.0608275104544225,128.31299371689687,1187
2015,0.01870932049805552,25.888169458355,11.803710302223223,151.6327855061009,1174
2016,0.028123104159631426,11.661627034214423,17.742866414311464,101.0526203061971,1170
2017,0.02553096391645007,21.173065685886122,16.10748513488835,154.17819138664913,1161
2018,0.00443036245800688,3.8894562534823773,2.7951156747565404,97.19249158303619,1057
2019,0.003908264432449311,14.353990522381437,2.4657240304322694,115.54389967356698,1147
2020,0.024858665405545266,15.118982647688076,15.683332004358508,130.704874950047,1122
2021,0.027153098983447352,15.489816194896434,17.130890148656935,128.54826603077058,1031
2022,0.018939548781431753,15.924952347123511,11.948961326205294,137.05445994485143,851
2023,0.013788111359046862,13.244647648760635,8.698919456422663,109.43234584933303,488
