dataset,method,success_rate,runtime_sec_mean,runtime_sec_std,soc_mean,soc_std,makespan_mean,remaining_conflicts_mean
empty,hybrid,1.0,0.025584177199925763,0.011540174511151977,280.05,31.455022191259562,32.35,0.0
empty,prioritized,1.0,0.012891720999868994,0.002980268382289986,275.5,30.962626027621038,32.35,0.0
maps_60_10_10_0.175,hybrid,0.6,0.021261423999385444,0.026488021700762823,66.71428571428571,11.34377885368534,13.642857142857142,0.14285714285714285
maps_60_10_10_0.175,prioritized,0.6,0.015646096250566188,0.02454841391078247,61.0,10.421870495039967,14.785714285714286,0.21428571428571427
maze,hybrid,0.9,0.055576003149690224,0.09474344366144193,261.2,37.35547588971887,36.4,0.1
maze,prioritized,0.6,0.02420560380069219,0.018442849629156828,258.65,34.46474170877581,39.9,0.6
random_large,hybrid,0.95,0.10118926925024425,0.031802978941478516,687.9473684210526,76.05588127175565,68.63157894736842,0.0
random_large,prioritized,0.95,0.06124436529989907,0.02832617487521636,684.5263157894736,75.95639715656505,68.63157894736842,0.0
random_medium,hybrid,0.95,0.014922774400292837,0.005625423293941614,215.6315789473684,29.021468157815296,31.157894736842106,0.0
random_medium,prioritized,0.95,0.008690813199063997,0.003317366122114213,212.68421052631578,27.876817592119934,31.263157894736842,0.0
random_small,hybrid,0.65,0.016218140350429167,0.024215430950487723,68.86666666666666,15.860402925284744,15.666666666666666,0.13333333333333333
random_small,prioritized,0.65,0.011583755199899315,0.023340180239809032,63.30769230769231,16.715185787104968,16.23076923076923,0.0
room,hybrid,0.85,1.7492530039997292,6.764621467338708,353.2,246.45349726832748,70.45,0.4
room,prioritized,0.75,0.09348402875039027,0.10714654661809231,315.2,83.78832979912127,57.8,0.65
warehouse,hybrid,1.0,0.01851378025039594,0.008072069470215224,268.3,39.318001769646116,34.55,0.0
warehouse,prioritized,0.95,0.008427195900367224,0.00206121715734362,259.6,40.05443664236014,35.2,0.05
