comparison_to,model,parameter,delta_mean,combined_sigma,z_shift
LambdaCDM,EDE,H0,2.780000000000001,1.0384603988597736,2.6770399748054263
LambdaCDM,EDE,ln10As,0.01100000000000012,0.022022715545545243,0.4994842701051552
LambdaCDM,EDE,ns,0.014500000000000068,0.007158910531638176,2.0254478577317863
LambdaCDM,EDE,ombh2,0.00011999999999999858,0.00021633307652783938,0.5547001962252225
LambdaCDM,EDE,omega_m,-0.0038000000000000256,0.005303772242470447,-0.7164711881047934
LambdaCDM,EDE,sigma8,0.018199999999999994,0.010804628637764465,1.6844632620122768
LambdaCDM,EDE,tau,-0.0039000000000000007,0.01053612832116238,-0.3701549450728159
LambdaCDM,w0wa,H0,-4.6200000000000045,1.9205207627099479,-2.4055975283917057
LambdaCDM,w0wa,ln10As,-0.019000000000000128,0.0191049731745428,-0.9945054529214127
LambdaCDM,w0wa,ns,-0.0040000000000000036,0.005024937810560445,-0.796029752167992
LambdaCDM,w0wa,ombh2,-0.00011000000000000246,0.00017691806012954132,-0.6217567608386575
LambdaCDM,w0wa,omega_m,0.049299999999999955,0.021323461257497574,2.31200738963828
LambdaCDM,w0wa,sigma8,-0.030100000000000016,0.01691892431568863,-1.7790729149422815
LambdaCDM,w0wa,tau,-0.010100000000000005,0.010327632836231157,-0.9779588566091761
