Bus1,Bus2,Bus3,Bus4,Bus5,Bus6,Bus7,Bus8,Bus9,Bus10,Bus11,Bus12,Bus13,Bus14,Bus15,Bus16,Bus17,Bus18,Bus19,Bus20
0.002265773202824301,0.002331263519753204,0.002366571060600096,0.0022227801304798944,0.0020464234773801488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0022625807854947237,0.0021983923308597436,0.002108552934256768,0.0018248381433274737,0.0016026510947026792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021476744495048227,0.0021849298062879092,0.002094729640804004,0.002059498208160619,0.0018886355534156619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002302446249563372,0.0023399348708533028,0.002251400747646581,0.00175931323288148,0.0014622503440911228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002117745014728687,0.002150494719516245,0.0019974981788992243,0.0016179314226432212,0.0015756785185265974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0022297277803963503,0.0022941204567946444,0.0021896902544708335,0.001736689375026175,0.0016372962389930377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0022904837363419495,0.0021020503534652257,0.0015702672147223208,0.001645327197312149,0.0016550665297574757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023905768779274713,0.0021819417945610907,0.001880206892129445,0.0016784080024553208,0.001632122624290806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023775154266603834,0.0023776869973065164,0.002120933823304291,0.001911462836362268,0.0019141382439801483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023839674851705898,0.0023038596982564437,0.0021152754331418546,0.002001326667193477,0.0019337810905146826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
