l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22
-136.2794155376905,-28.526286427947767,502.7135864439976,456.22789347051884,-155.52395881906503,-177.02743235015643,220.18693257843705,-137.91451597332136,415.8271805825098,9.238395251459341,-4.120914398882627,-239.07046497513954,-14.258770610191362,82.6604611384631,-354.5528654711544,57.63484384242391,-24.245917487556724,122.63640972893235,900.0000011297008,900.0000011313966,900.0000011163003,900.0000011223988,900.0000011181082
240.66076620598062,372.70712366475203,891.3251263390435,794.4625616035747,-227.77004246270656,-228.02203876862868,337.4340710538843,-52.58863397673827,500.8945153018481,106.91336575585217,58.159637396177104,-218.40838420278402,-20.59646470443844,59.291832267211916,-352.6697211850621,21.13978725307995,-23.515073000674466,119.62065135925923,900.0000011230812,900.0000011285358,900.0000011228196,900.0000011298483,900.0000011274154
-15.31511352133693,230.56037678881563,225.573542790901,327.81224339707137,-229.19807362973683,-309.4139036903053,418.39305558651233,15.511919965543218,685.3629485413401,204.20816583392303,87.50399856701145,-282.38757240749925,79.40963258203104,46.21316606130784,-402.87518308885444,32.536404955478375,-55.36725582672803,114.24351421924483,900.0000011252391,900.0000011274799,900.000001125712,900.0000011268154,900.0000011260179
21.900073732839527,472.4208086514019,1270.0965576028545,1123.3884170363058,-250.71749409346103,-288.62652330841485,436.92485722122524,34.36157797399747,721.9368144077011,224.3515172297235,93.36617177223664,-292.53380489357977,87.42454338092217,44.8040871707761,-408.0285121686063,15.591233286471937,-58.7528645255202,112.92871920311745,900.0000011285373,900.000001129584,900.0000011228406,900.0000011347648,900.0000011371128
55.95222673561995,493.2177078649881,1049.9971609932852,-56.323730589752756,-230.178996076591,-261.6737255388122,398.95706771483987,-44.1620457512915,640.4725185647396,162.17621698239796,112.74691239849795,-242.79928359330938,30.223412072403416,52.740990902252946,-412.53862296944135,52.16205203181738,-55.27467855723786,117.25524108938376,900.0000011235543,900.0000011267543,900.0000011246412,900.0000011350629,900.0000011281735
-52.87945332355214,418.36688121262813,1160.9986629094838,262.400808471635,-198.71989692905757,-198.36179674168042,273.7264710949318,-110.49798419145598,446.7735182951161,25.23425968977009,37.216787536648695,-204.4090421516162,-14.379901750753914,53.83047922543126,-365.9767652786174,70.87145277603364,-46.924153888957136,137.88273296256958,900.0000011274082,900.0000011305626,900.0000011214822,900.0000011326863,900.0000011254415
640.8563249803832,1429.3497130449225,1530.0244877383666,29.102325792026093,-182.49223082324482,-161.41710710712417,135.48662764267533,-230.20826509498485,399.0634729172304,-47.27222225719626,-20.349576305937795,-196.30031741498007,-25.296636356136997,80.58648564033045,-337.57499926695095,88.23059388336918,-42.87813171939512,127.57021916439949,900.0000011354508,900.0000011324904,900.0000011265045,900.0000011384425,900.0000011361444
589.3571290728067,825.8633363523346,893.1223842734018,3.236144105308655,-163.64640358753715,-155.25320894780538,117.89417361495384,-266.0773344426575,429.48537955583305,-40.49169515245802,-27.033115279240953,-196.88912338626193,-15.470149438695463,89.38435013459146,-350.1768392034406,79.17334782232997,-46.151029730151876,141.1080953821332,900.000001137254,900.0000011309946,900.0000011173828,900.0000011272203,900.0000011293325
127.62461382158209,718.0209017114652,721.7740831794052,-113.47039871084257,-222.88032742671916,-167.50575168101602,214.86594383295002,-149.09159753798727,418.8485670266427,6.029562589621841,-7.116573131274375,-214.6477723536271,-10.553154850677638,75.32787849119066,-354.1117844826588,83.7118796493843,-43.52259429794821,106.87132362995007,900.0000011291952,900.0000011310478,900.0000011222821,900.0000011268718,900.000001122302
294.48723901284075,521.352556114646,399.28185953940647,120.30149146834651,-211.6952053975755,-196.28772551800316,326.28744374993187,-69.8930035588469,542.6982132053193,107.2131377202502,67.67755650172502,-242.02996087081596,45.5582340261336,34.95371232661722,-369.24026178185386,49.468235069517156,-84.06120074250744,116.19529396301597,900.0000011195604,900.0000011251987,900.0000011254964,900.0000011260405,900.0000011195344
939.0793974306057,961.5361714445584,1116.0417425637804,932.1341091979846,-216.34996692078485,-233.30791703019784,338.5333012213039,-69.67142865258171,632.1109213553052,159.19880280065848,82.07287073981423,-216.1484599191522,23.967752762398195,45.75871705204763,-385.34983119806697,48.33115433514884,-77.73211545469539,126.79814895417455,900.0000011217536,900.0000011311176,900.0000011350618,900.0000011371756,900.0000011343996
449.7609591478185,947.5858958002608,1266.6903878506257,546.061340022416,-192.54170570837903,-180.327172211542,263.8624998131412,-106.82214693648329,539.156421250607,90.6527666332928,50.50630341105109,-210.41759456955538,8.101303793168427,51.595529373192704,-350.29075976920075,53.84803406576674,-76.97505717424396,134.0669048523595,900.0000011236325,900.0000011296254,900.000001131018,900.0000011380598,900.0000011308823
863.9506749699704,1052.0552311966526,426.3257013331399,149.79582032522075,-208.88501526451074,-140.69720226395336,175.082689967487,-209.22209398395376,442.02489254113556,-48.2429254425508,-24.419075934526614,-181.34385790413688,-23.62896481676274,60.955626277088804,-318.85992079892407,82.1965374482517,-58.12663666556645,141.6642918531285,900.0000011349994,900.0000011347946,900.0000011306923,900.0000011328685,900.0000011293497
