sample,raw_atom_count,coord_mean,coord_std,coord_min,coord_max,centroid_x,centroid_y,centroid_z,spread_x,spread_y,spread_z,pairdist_mean,pairdist_std,pairdist_min,pairdist_max,target_property,graph_nodes,graph_edges,graph_density,degree_mean,degree_std,degree_min,degree_max
0,5.0,0.0,1.2909944487358056,-2.0,2.0,-0.5,0.0,0.5,1.224744871391589,1.224744871391589,1.224744871391589,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,-1.2345,5,10,1.0,4.0,0.0,4.0,4.0
1,5.0,0.19999999999999998,1.2909944487358056,-1.8,2.2,-0.30000000000000004,0.19999999999999996,0.7000000000000001,1.224744871391589,1.224744871391589,1.224744871391589,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,-0.8765,5,10,1.0,4.0,0.0,4.0,4.0
2,5.0,0.3999999999999999,1.2909944487358056,-1.6,2.4,-0.10000000000000009,0.3999999999999999,0.9,1.224744871391589,1.224744871391589,1.224744871391589,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,0.1234,5,10,1.0,4.0,0.0,4.0,4.0
3,5.0,0.6000000000000001,1.2909944487358056,-1.4,2.6,0.10000000000000009,0.6,1.1,1.224744871391589,1.224744871391589,1.224744871391589,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,-0.5678,5,10,1.0,4.0,0.0,4.0,4.0
4,5.0,0.7999999999999999,1.2909944487358056,-1.2,2.8,0.30000000000000004,0.7999999999999999,1.3,1.224744871391589,1.224744871391589,1.224744871391589,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,0.9876,5,10,1.0,4.0,0.0,4.0,4.0
5,5.0,1.0,1.2909944487358056,-1.0,3.0,0.5,1.0,1.5,1.224744871391589,1.224744871391589,1.224744871391589,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,-0.3456,5,10,1.0,4.0,0.0,4.0,4.0
6,5.0,1.2000000000000002,1.2909944487358058,-0.8,3.2,0.7000000000000001,1.2,1.7,1.224744871391589,1.2247448713915892,1.2247448713915892,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,0.6543,5,10,1.0,4.0,0.0,4.0,4.0
7,5.0,1.4,1.2909944487358056,-0.6,3.4,0.9,1.3999999999999997,1.8999999999999997,1.224744871391589,1.224744871391589,1.224744871391589,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,-0.789,5,10,1.0,4.0,0.0,4.0,4.0
8,5.0,1.6,1.2909944487358056,-0.4,3.6,1.1,1.6000000000000003,2.1,1.224744871391589,1.224744871391589,1.224744871391589,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,0.4321,5,10,1.0,4.0,0.0,4.0,4.0
9,5.0,1.7999999999999998,1.2909944487358054,-0.2,3.8,1.3,1.8,2.3,1.224744871391589,1.224744871391589,1.224744871391589,3.464101615137755,1.2247448713915892,2.5980762113533156,5.196152422706632,-0.2109,5,10,1.0,4.0,0.0,4.0,4.0
10,5.0,2.0,1.2909944487358056,0.0,4.0,1.5,2.0,2.5,1.224744871391589,1.224744871391589,1.224744871391589,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,0.8765,5,10,1.0,4.0,0.0,4.0,4.0
11,5.0,2.2,1.2909944487358058,0.2,4.2,1.7,2.2,2.7000000000000006,1.2247448713915892,1.2247448713915892,1.2247448713915892,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,-0.5432,5,10,1.0,4.0,0.0,4.0,4.0
12,5.0,2.4000000000000004,1.2909944487358058,0.4,4.4,1.8999999999999997,2.4,2.9,1.224744871391589,1.224744871391589,1.2247448713915894,3.464101615137755,1.224744871391589,2.598076211353316,5.196152422706632,0.321,5,10,1.0,4.0,0.0,4.0,4.0
