temperature_C,time_min,surrogate_yield,gp_mean,gp_std,ucb
425.0,25.5,6.880626214385875,3.5087981919188973,3.2007525293589443,9.782273149462428
425.0,24.5,7.641059642342802,3.5087981919188884,3.200752529358945,9.782273149462421
432.5,25.0,6.730582131845835,3.505185630231467,3.201045816121383,9.779235429829377
417.5,25.0,7.75968726333369,3.5051856302314577,3.201045816121384,9.77923542982937
425.0,25.0,7.2826116585347185,9.685199804041783,0.014938972056742845,9.714480189272999
432.5,25.5,6.35923859978162,2.358946038075913,3.255692186960105,8.740102724517719
417.5,25.5,7.331349965827502,2.3589460380759113,3.255692186960105,8.740102724517717
432.5,24.5,7.061770463157518,2.3589460380759113,3.255692186960105,8.740102724517717
417.5,24.5,8.141545697334085,2.35894603807591,3.255692186960105,8.740102724517715
282.5,15.0,2.4744743295752882,2.3002666282632864,3.201045816121384,8.574316427861199
267.5,15.0,2.3246312710681996,2.3002666282632878,3.201045816121383,8.574316427861199
275.0,15.5,2.398857196643061,2.300788252458245,3.200752529358945,8.574263210001778
275.0,14.5,2.3982697474863035,2.300788252458246,3.2007525293589443,8.574263210001778
267.5,15.5,2.2875180125951102,2.1347590587821053,3.255692186960105,8.51591574522391
267.5,14.5,2.3272635987716894,2.1347590587821057,3.255692186960105,8.51591574522391
282.5,14.5,2.4334991636207426,2.1347590587821053,3.255692186960105,8.51591574522391
282.5,15.5,2.4866012346507613,2.1347590587821053,3.255692186960105,8.51591574522391
425.0,24.0,7.9473034019134134,2.106019401776774,3.257632421745326,8.490978948397613
425.0,26.0,6.444450999620788,2.106019401776774,3.257632421745326,8.490978948397613
440.0,25.0,6.125898582361911,2.1059266834343187,3.2576324692030294,8.490886323072257
