iteration,temperature,time,score
0,350.0,20.0,102.9499125305214
1,350.17176754906825,20.51033159862169,103.4307269245681
2,350.34223477809024,20.90379196944231,103.71952481942687
3,350.51140724802616,21.19913692502277,103.88789103260157
4,350.6792906033872,21.417291095865203,103.98635900066408
5,350.84589056920163,21.576964039234646,104.04601336247437
6,351.0112129480228,21.693250260070684,104.0846040617143
7,351.1752636169799,21.777712048260007,104.11186968975012
8,351.3380485248727,21.83897161214412,104.13304132045147
9,351.49957368930933,21.883369381745872,104.15089794289457
10,351.65984519388894,21.915533872143996,104.16690776978344
